50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fdac95ca-398d-4a2b-b239-df2173a27c44,1,,,,3825845,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 23974, 'name': 'Roberto Antonio Correa Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5598, 'name': 'Óscar Esau Duarte Gaitán'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 25}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1b1ae826-fbb4-431d-a484-3f0e06c42fc7,2,,,,3825845,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10881, 'name': 'Diogo José Rosário Gomes Figueiras'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 6349, 'name': 'Federico Julián Fazio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 10476, 'name': 'Timothée Kolodziejczak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 23972, 'name': 'José Joaquín Matos García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 23936, 'name': 'Antonio Jesús Cotán Pérez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 7154, 'name': 'Sebastián Carlos Cristóforo Pepe'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6672, 'name': 'Jorge Andújar Moreno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 3497, 'name': 'Vicente Iborra De La Fuente'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 30454, 'name': 'Francisco José Sánchez Rodríguez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 36}, {'player': {'id': 3486, 'name': 'Fernando Llorente Torres'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Sevilla,213,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bcf5723c-6a19-45a4-8917-52e26b25ed86,3,,,,3825845,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['428b89fc-87e7-43b2-a837-d16085e37e86'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,428b89fc-87e7-43b2-a837-d16085e37e86,4,,,,3825845,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['bcf5723c-6a19-45a4-8917-52e26b25ed86'],0,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0f228fb1-6e72-48fc-ae39-0c474e168017,1746,,,,3825845,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,104,Sevilla,213,['cc4e8b7c-954a-4cb9-b28c-1a0a5dda0638'],0,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cc4e8b7c-954a-4cb9-b28c-1a0a5dda0638,1747,,,,3825845,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,104,Sevilla,213,['0f228fb1-6e72-48fc-ae39-0c474e168017'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.488613,,,,,,,,,,,,,,fe36ba1f-bfce-4184-be77-3fa05db75a83,5,,,"[61.0, 40.1]",3825845,0,,True,,,-2.7572608,,Right Foot,,,"[38.5, 31.0]",Ground Pass,,24.270557,,,,Timothée Kolodziejczak,10476.0,,,,,Kick Off,1,From Kick Off,Fernando Llorente Torres,3486.0,Center Forward,2,Sevilla,213,['1b2ccc05-bb35-4df0-838c-374aeb7b3051'],0,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.794,Pass,
,,,,,,,,,,,,,,,,,3.027224,,,,,,,,,,,,,,acb3dab7-d891-41ed-be6e-30a384fb5aaa,7,,,"[38.7, 33.1]",3825845,0,,,,,0.7507645,,Right Foot,,,"[82.0, 73.5]",High Pass,,59.220352,,Incomplete,,,,,True,,,,1,From Kick Off,Timothée Kolodziejczak,10476.0,Left Center Back,2,Sevilla,213,['823b239c-b621-4959-8968-15e3098cb607'],3,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:03.971,Pass,
,,,,,,,,,,,,,,,,,1.190966,,,,,,,,,,,,,,0a076431-7dac-4457-8f8c-0066674396b6,10,,,"[84.7, 80.0]",3825845,0,,,,,-1.8360034,,,,,"[82.5, 71.9]",Low Pass,,8.39345,,,,Sebastián Carlos Cristóforo Pepe,7154.0,,,,,Throw-in,1,From Throw In,Diogo José Rosário Gomes Figueiras,10881.0,Right Back,3,Sevilla,213,['f8ffc919-7a65-46a7-afae-f81b33e03920'],18,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:18.536,Pass,
,,,,,,,,,,,,,,,,,0.974203,,,,,,,,,,,,,,19fe4968-b86a-4923-8c54-1b25b6e4cc59,13,,,"[82.5, 71.9]",3825845,0,,,,,1.6797383,,Right Foot,,,"[81.8, 78.3]",Ground Pass,,6.4381676,,,,Diogo José Rosário Gomes Figueiras,10881.0,,,,,,1,From Throw In,Sebastián Carlos Cristóforo Pepe,7154.0,Left Defensive Midfield,3,Sevilla,213,['48878b8c-edce-4588-ae21-c9d21a1ee214'],19,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:19.807,Pass,
