bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b5f7e6da-803c-4ed1-949a-15f3a950a680,1,,,3825796,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6927, 'name': 'David García Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 26448, 'name': 'Javier Garrido Behovide'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6934, 'name': 'Jerónimo Figueroa Cabrera'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 12}, {'player': {'id': 6721, 'name': 'Willian José da Silva'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Las Palmas,208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e0ae3ddd-250a-47c4-be8d-982d5fd338af,2,,,3825796,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11813, 'name': 'Emiliano Buendía'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 32}, {'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6861, 'name': 'Juan Torres Ruiz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27402, 'name': 'Álvaro Daniel Pereira Barragán'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 6736, 'name': 'Álvaro Medrán Just'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 27092, 'name': 'Abdoul Karim Yoda'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 16426, 'name': 'Wanderson Maciel Sousa Campos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 30}, {'player': {'id': 23416, 'name': 'Stefan Šćepović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Getafe,216,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1fc69b70-ea25-4496-8121-81631adaebfa,3,,,3825796,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['eed26f0f-7579-4181-b907-2f5515fd84fe'],0,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,eed26f0f-7579-4181-b907-2f5515fd84fe,4,,,3825796,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['1fc69b70-ea25-4496-8121-81631adaebfa'],0,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c45bf870-2e54-4c25-bf8c-d4da8b942529,1575,,,3825796,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,91,Getafe,216,['ba7e935c-f1c0-4540-b5fb-530fa1b68e24'],0,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ba7e935c-f1c0-4540-b5fb-530fa1b68e24,1576,,,3825796,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,91,Getafe,216,['c45bf870-2e54-4c25-bf8c-d4da8b942529'],0,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.473523,,,,,,,,,,,,,f0350d73-8260-4539-81a0-af0fe0fb2a57,5,,"[61.0, 40.1]",3825796,0,,True,,,1.6991196,,Right Foot,,,"[60.6, 43.2]",,Ground Pass,,3.1257,,,,Pablo Sarabia García,6720.0,,,,,Kick Off,1,From Kick Off,Stefan Šćepović,23416.0,Center Forward,2,Getafe,216,['04b88f50-de3b-418d-b576-b9d510743087'],0,,,,,,,,,,,,,,,,Getafe,216,00:00:00.760,Pass,
,,,,,,,,,,,,,,,1.091928,,,,,,,,,,,,,bcb60519-f997-416d-8ebc-1849e198a634,7,,"[58.8, 42.8]",3825796,0,,True,,,-2.8828218,,Right Foot,,,"[55.4, 41.9]",,Ground Pass,,3.517101,,,,Mehdi Lacen,6745.0,,,,,,1,From Kick Off,Pablo Sarabia García,6720.0,Center Attacking Midfield,2,Getafe,216,['45a7dac9-5c68-4679-9719-e3690bfeb4a5'],1,,,,,,,,,,,,,,,,Getafe,216,00:00:01.234,Pass,
,,,,,,,,,,,,,,,1.792077,,,,,,,,,,,,,cbf33a45-4644-4a9b-a013-a3959b5d2d52,9,,"[55.4, 41.9]",3825796,0,,,,,0.6678612,,Left Foot,,,"[85.7, 65.8]",,High Pass,,38.59145,,Incomplete,,,,,,,,,1,From Kick Off,Mehdi Lacen,6745.0,Left Defensive Midfield,2,Getafe,216,['de1871ab-d7c6-40dd-ab96-4891e5912b7b'],2,,,,,,,,,,,,,,,,Getafe,216,00:00:02.326,Pass,
,,,,,,,,,,,,,,,0.959533,,,,,,,,,,,,,e64117aa-6925-4d25-b600-f322435e9b85,13,,"[34.1, 12.5]",3825796,0,,,,,0.8685394,,Left Foot,,,"[39.6, 19.0]",,Ground Pass,,8.514693,,,,Roque Mesa Quevedo,3610.0,,,,,,1,Regular Play,Javier Garrido Behovide,26448.0,Left Back,3,Las Palmas,208,"['014652a4-c6d2-404b-aa62-906d096d98a2', 'b5a7096e-34ec-4c6c-adef-6718da33aee4']",6,,,,,,,,,,,,,,,,Las Palmas,208,00:00:06.318,Pass,True
