50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a2b541e3-4ed7-424b-ac51-295385f1a241,1,,,3825626,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11634, 'name': 'Cristiano Piccini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 27349, 'name': 'Heiko Westermann'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 24132, 'name': 'Francisco Miguel Varela Martín'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 27346, 'name': 'Petros Matheus dos Santos Araújo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 26723, 'name': 'Álvaro Cejudo Carmona'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 6873, 'name': 'Francisco Portillo Soler'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Real Betis,218,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e6825b66-85df-45b0-bed2-ef4973630f7a,2,,,3825626,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6709, 'name': 'Anaitz Arbilla Zabala'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4741, 'name': 'Juan Rafael Fuentes Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 18407, 'name': 'José Alberto Cañas Ruiz Herrera'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 5}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a4b4e2d0-9e53-414a-a627-877a0ab2735f,3,,,3825626,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,['ae57a4b5-068b-4516-b7be-8da758e6d10c'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ae57a4b5-068b-4516-b7be-8da758e6d10c,4,,,3825626,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,['a4b4e2d0-9e53-414a-a627-877a0ab2735f'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,54bc448b-6b18-4347-9d8f-4d396b44acaf,1527,,,3825626,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,109,Real Betis,218,['aaece974-b9d2-43f1-998f-4912af33be78'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,aaece974-b9d2-43f1-998f-4912af33be78,1528,,,3825626,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,109,Real Betis,218,['54bc448b-6b18-4347-9d8f-4d396b44acaf'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.463032,,,,,,,,,,,30fcbf62-fc9e-4976-9694-cac85ef50a12,5,,"[60.0, 40.0]",3825626,0,,,,,2.3996453,,Right Foot,,,,"[58.8, 41.1]",,Ground Pass,,1.627882,,,Joaquín Sánchez Rodríguez,6651.0,,,,,Kick Off,1,From Kick Off,Rubén Castro Martín,6832.0,Center Forward,2,Real Betis,218,['a36400d3-8bab-47b1-b4ad-572567ab7d08'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.458,Pass,
,,,,,,,,,,,,,,,,,,,,1.894584,,,,,,,,,,,8b112256-1a33-4a10-abe9-0ef7c48eb129,8,,"[57.0, 41.6]",3825626,0,,,,,-2.946056,,Right Foot,,,,"[36.3, 37.5]",,Ground Pass,,21.102133,,,Heiko Westermann,27349.0,,,,,,1,From Kick Off,Joaquín Sánchez Rodríguez,6651.0,Left Wing,2,Real Betis,218,['4894b56a-ef6e-45a6-a8c4-97f49c1f4641'],1,,,,,,,,,,,,,,,,,Real Betis,218,00:00:01.376,Pass,
,,,,,,,,,,,,,,,,,,,,3.105166,,,,,,,,,,,dbd8daf6-1d9d-4462-b0f5-c89bcef9a7fe,11,,"[40.8, 36.1]",3825626,0,,,,,0.3112492,,Left Foot,,,,"[92.4, 52.7]",,High Pass,,54.20443,Incomplete,,,,,,,,,1,From Kick Off,Heiko Westermann,27349.0,Left Center Back,2,Real Betis,218,['ed6d28ea-3b84-467e-8f60-675ff9bec10f'],5,,,,,,,,,,,,,,,,,Real Betis,218,00:00:05.249,Pass,
,,,,,,,,,,,,,,,,,,,,2.269262,,,,,,,,,,,ed6d28ea-3b84-467e-8f60-675ff9bec10f,12,,"[27.7, 27.4]",3825626,0,,,,,0.14090401,,Head,,,,"[41.8, 29.4]",,High Pass,,14.2411375,Incomplete,,,,,,,,Recovery,1,From Kick Off,Álvaro González Soberón,6762.0,Right Center Back,2,Real Betis,218,"['1479b33a-ab1e-4030-86e5-4e7b8b705277', 'dbd8daf6-1d9d-4462-b0f5-c89bcef9a7fe']",8,,,,,,,,,,,,,,,,,Espanyol,214,00:00:08.354,Pass,
