bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e68eefc8-43a6-4456-b6c1-e0196e83c8cc,1,,,3825789,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6605, 'name': 'Joseba Zaldúa Bengoetxea'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 16622, 'name': 'Mikel González de Martín Martínez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 8522, 'name': 'Armindo Tué Na Bangna'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 28}]}",Real Sociedad,210,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0c976f7b-efb9-4265-bc6e-46e9e7913109,2,,,3825789,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6727, 'name': 'Raúl Albentosa Redal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6844, 'name': 'Federico Ricca Rostagnol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6764, 'name': 'Pablo Fornals Malla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6563, 'name': 'Juan Pablo Añor Acosta'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 28}, {'player': {'id': 10868, 'name': 'Ricardo Jorge Luz Horta'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 8419, 'name': 'Duje Čop'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Málaga,223,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,30f50ac7-6fe0-4985-9568-0d111a180997,3,,,3825789,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['4f4d79ad-5daf-49f3-81d3-4c8f007b9bd9'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4f4d79ad-5daf-49f3-81d3-4c8f007b9bd9,4,,,3825789,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['30f50ac7-6fe0-4985-9568-0d111a180997'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,22d18c6a-6c1e-4661-831e-e48c65622516,1642,,,3825789,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Real Sociedad,210,['25cf2a32-c390-41b3-a628-bc2973985636'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,25cf2a32-c390-41b3-a628-bc2973985636,1643,,,3825789,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Real Sociedad,210,['22d18c6a-6c1e-4661-831e-e48c65622516'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,2.360438,,,,,,,,,,,,,,72905f34-d6a9-4a5d-8963-01da2a27fd8a,5,,"[60.0, 40.0]",3825789,0,,,,,-2.9557617,,Right Foot,,,"[35.0, 35.3]",,Ground Pass,,25.437963,,,,,Weligton Róbson Pena de Oliveira,26669.0,,,,,Kick Off,1,From Kick Off,Charles Días Barbosa de Oliveira,6707.0,Right Center Forward,2,Málaga,223,['36f5b9f7-a32e-4834-a3c3-425f97563ceb'],1,,,,,,,,,,,,,,,,,Málaga,223,00:00:01.852,Pass,
,,,,,,,,,,,,,,,,,2.923482,,,,,,,,,,,,,,225a5e0a-2493-4664-b7ba-78ca19de54ad,8,,"[37.4, 33.4]",3825789,0,,,,,0.16223417,,Left Foot,,,"[87.5, 41.6]",,High Pass,,50.766624,,,Incomplete,,,,,,,,,1,From Kick Off,Weligton Róbson Pena de Oliveira,26669.0,Left Center Back,2,Málaga,223,['1070a0c4-5b56-4e48-8534-0d5ec4df8e46'],5,,,,,,,,,,,,,,,,,Málaga,223,00:00:05.368,Pass,
,,,,,,,,,,,,,,,,,0.410024,,,,,,,,,,,,,,bf135ac0-4bee-4326-ac05-6d7c1e6e60c2,15,,"[79.4, 41.4]",3825789,0,,,,,1.0164888,,Left Foot,,,"[83.3, 47.7]",,Low Pass,,7.4094534,,,,,Juan Pablo Añor Acosta,6563.0,,,,,,1,From Kick Off,José Luis García del Pozo,6580.0,Left Defensive Midfield,2,Málaga,223,"['ac173c2c-510b-4f20-a1f5-b6e493e8c565', 'b0f28341-ad8d-47f3-8aef-82610d8a8ab8']",13,,,,,,,,,,,,,,,,,Málaga,223,00:00:13.273,Pass,True
,,,,,,,,,,,,,,,,,1.980941,,,,,,,,,,,,,,c6801eee-ff1b-4714-9d4d-2ae934ffb04b,18,,"[86.1, 51.2]",3825789,0,,,True,,1.5359672,,Left Foot,,,"[87.1, 79.9]",,High Pass,,28.717417,,,Injury Clearance,,,,,,,,,1,From Kick Off,Juan Pablo Añor Acosta,6563.0,Right Midfield,2,Málaga,223,,17,,,,,,,,,,,,,,,,,Málaga,223,00:00:17.051,Pass,
