bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,733070f7-31f1-4786-bed8-4a6a291c45f9,1,,,,3825640,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 6730, 'name': 'Rubén Iván Martínez Andrade'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 24}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 11}, {'player': {'id': 6784, 'name': 'Antonio García Aranda'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 6659, 'name': 'Víctor Camarasa Ferrando'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 23970, 'name': 'José María Martín-Bejarano Serrano'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 6684, 'name': 'Roger Martí Salvador'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Levante UD,221,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f6def682-1d59-4a23-a630-17c0199846d5,2,,,,3825640,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6605, 'name': 'Joseba Zaldúa Bengoetxea'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 16622, 'name': 'Mikel González de Martín Martínez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6669, 'name': 'David Zurutuza Veillet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6677, 'name': 'Imanol Agirretxe Arruti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Sociedad,210,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0540eb29-973b-496a-ab14-ea51815295ad,3,,,,3825640,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['1f9dfa8b-b243-4767-a38f-0072e6739e8f'],0,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1f9dfa8b-b243-4767-a38f-0072e6739e8f,4,,,,3825640,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['0540eb29-973b-496a-ab14-ea51815295ad'],0,,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,87cbf10f-4ceb-41f0-88c9-418390157eff,1346,,,,3825640,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Levante UD,221,['17b387df-efe5-47c8-b60b-927b6c107f3c'],0,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,17b387df-efe5-47c8-b60b-927b6c107f3c,1347,,,,3825640,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Levante UD,221,['87cbf10f-4ceb-41f0-88c9-418390157eff'],0,,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.455823,,,,,,,,,,,,,,cdc30aa9-0cb0-4c47-8423-0d7129714aa7,5,,,"[61.0, 40.1]",3825640,0,,True,,,2.4634733,,Right Foot,,,"[57.4, 43.0]",,Ground Pass,,4.62277,,,,Imanol Agirretxe Arruti,6677.0,,,,,Kick Off,1,From Kick Off,Carlos Alberto Vela Garrido,5560.0,Right Wing,2,Real Sociedad,210,['69becf8a-8634-4a7b-8b55-b11d3843381d'],1,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:01.518,Pass,
,,,,,,,,,,,,,,,,1.505752,,,,,,,,,,,,,,245aaa28-6e27-44ad-9c7d-92cb1e3432f0,7,,,"[57.4, 43.0]",3825640,0,,True,,,-2.8753407,,Right Foot,,,"[42.0, 38.8]",,Ground Pass,,15.962456,,,,Asier Illarramendi Andonegi,6671.0,,,,,,1,From Kick Off,Imanol Agirretxe Arruti,6677.0,Center Forward,2,Real Sociedad,210,['df52b303-88ed-4745-b5e4-b6470f9572f0'],2,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:02.091,Pass,
,,,,,,,,,,,,,,,,1.390495,,,,,,,,,,,,,,5f0cb5c3-e7a8-4b53-be7a-e99e89bed033,10,,,"[42.9, 40.5]",3825640,0,,,,,2.3261607,,Left Foot,,,"[31.6, 52.5]",,Ground Pass,,16.48302,,,,Mikel González de Martín Martínez,16622.0,,,,,,1,From Kick Off,Asier Illarramendi Andonegi,6671.0,Right Defensive Midfield,2,Real Sociedad,210,"['1e03de73-a06a-44da-9a1c-99a2fb69e6a1', 'e58e0e46-9287-497d-8abc-9b2f9b8979cb']",4,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:04.183,Pass,True
,,,,,,,,,,,,,,,,1.757529,,,,,,,,,,,,,,e995c5cc-815f-4814-9ebf-d328578f80f8,13,,,"[31.6, 52.5]",3825640,0,,,,,-2.782822,,Right Foot,,,"[12.4, 45.3]",,Ground Pass,,20.50561,,,,Gerónimo Rulli,6694.0,,,,,,1,From Kick Off,Mikel González de Martín Martínez,16622.0,Right Center Back,2,Real Sociedad,210,['f1406bb5-5835-4887-af3e-51697a629f5b'],5,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:05.813,Pass,
