50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2175a033-e2df-4013-b771-8f87bda886b3,1,,,3825879,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6927, 'name': 'David García Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 7692, 'name': 'Mauricio Lemos Merladet'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 26448, 'name': 'Javier Garrido Behovide'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 27251, 'name': 'Francisco José Perdomo Borges'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 29}, {'player': {'id': 24144, 'name': 'Ángel Montoro Sánchez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 6934, 'name': 'Jerónimo Figueroa Cabrera'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 6721, 'name': 'Willian José da Silva'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Las Palmas,208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b7ec30c8-9d7d-4ff2-9ea9-1f2ab27939a6,2,,,3825879,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 20215, 'name': 'Álvaro Arbeloa Coca'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5200, 'name': 'Lucas Vázquez Iglesias'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Real Madrid,220,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,409a839c-3157-4af0-b93a-c47187443259,3,,,3825879,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['163cdcaf-bcd5-4c71-bd5f-bc504e5967bf'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,163cdcaf-bcd5-4c71-bd5f-bc504e5967bf,4,,,3825879,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['409a839c-3157-4af0-b93a-c47187443259'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,41b2d031-e5cc-4354-bc97-2a579125ce8f,1954,,,3825879,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Real Madrid,220,['ff96351f-e784-43e6-863b-fe1fa4413351'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ff96351f-e784-43e6-863b-fe1fa4413351,1955,,,3825879,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Real Madrid,220,['41b2d031-e5cc-4354-bc97-2a579125ce8f'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.156776,,,,,,,,,,,,,,339e7f89-a445-4fcd-8f04-819d8ce44bd5,5,,"[60.0, 40.0]",3825879,0,,,,1.9237868,,Right Foot,,,,"[59.3, 41.9]",,Ground Pass,,2.0248456,,,,,Jonathan Viera Ramos,10755.0,,,,,Kick Off,1,From Kick Off,Willian José da Silva,6721.0,Center Forward,2,Las Palmas,208,['1e6559d3-7d1f-4072-85d3-04c0841e8284'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.443,Pass,
,,,,,,,,,,,,,,,,,1.120737,,,,,,,,,,,,,,0584a046-70c0-4bf4-982f-243cc4ecb90c,7,,"[59.3, 41.3]",3825879,0,,,,-2.9078496,,Left Foot,,,,"[46.7, 38.3]",,Ground Pass,,12.95222,,,,,Roque Mesa Quevedo,3610.0,,,,,,1,From Kick Off,Jonathan Viera Ramos,10755.0,Left Center Midfield,2,Las Palmas,208,['7cf6a8f8-da04-49e8-b8ca-ed0941a7d461'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.600,Pass,
,,,,,,,,,,,,,,,,,1.467062,,,,,,,,,,,,,,072c395b-8e5f-401f-b634-ae70ff4d96f2,10,,"[50.1, 30.6]",3825879,0,,,,-1.9866633,,Right Foot,,,,"[41.4, 10.9]",,Ground Pass,,21.535551,,,,,Javier Garrido Behovide,26448.0,,,,,,1,From Kick Off,Roque Mesa Quevedo,3610.0,Center Defensive Midfield,2,Las Palmas,208,['23395229-f77b-4d3f-bd18-6b3ff74ae2e0'],3,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:03.461,Pass,
,,,,,,,,,,,,,,,,,0.910787,,,,,,,,,,,,,,5f165372-0d74-441d-a251-b20fb73ef351,13,,"[41.4, 10.9]",3825879,0,,,,-0.73605555,,Left Foot,,,,"[49.9, 3.2]",,Ground Pass,,11.469089,,,,,Jerónimo Figueroa Cabrera,6934.0,,,,,,1,From Kick Off,Javier Garrido Behovide,26448.0,Left Back,2,Las Palmas,208,['2ad730bf-8410-414e-b25b-8104729237e1'],5,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:05.579,Pass,
