50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.54566,,,,,,,,,,,,,,,014893b5-7f49-4f0a-a376-328b17842f62,15,,"[65.1, 51.7]",3825620,0,,,,,-0.24220859,,Head,,,"[73.6, 49.6]",,Low Pass,,8.755569,,,Francisco Portillo Soler,6873.0,,,,,,Recovery,1,From Kick Off,Petros Matheus dos Santos Araújo,27346.0,Right Defensive Midfield,2,Real Betis,218,"['2e7daeeb-7537-4c95-86a6-e7b9687a52e9', '4fd8a6cc-5592-48f0-9c13-c29ebb79115e']",13,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:13.448,Pass,
,,,,,,,,,,,,,,,2.653801,,,,,,,,,,,,,,,1c6e7de8-1eaf-4c7d-92fb-a420758fe2b8,26,,"[36.4, 32.4]",3825620,0,,,,,0.24702366,,Right Foot,,,"[82.4, 44.0]",,High Pass,,47.440067,Incomplete,,Javier Guerra Rodríguez,11542.0,,,,,,Recovery,1,Regular Play,Diego Javier Llorente Ríos,6713.0,Left Center Back,3,Rayo Vallecano,360,"['326fa43e-f934-4781-9d1a-de95c2efe0a8', '3d38fb25-5118-4d0f-95fd-3e840d35307f']",16,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:16.358,Pass,
,,,,,,,,,,,,,,,1.036811,,,,,,,,,,,,,,,326fa43e-f934-4781-9d1a-de95c2efe0a8,28,,"[37.7, 36.1]",3825620,0,,,,True,0.5473518,,,,,"[54.6, 46.4]",,Low Pass,,19.791412,Incomplete,,Petros Matheus dos Santos Araújo,27346.0,,,,,,Recovery,1,Regular Play,Heiko Westermann,27349.0,Left Center Back,3,Rayo Vallecano,360,"['1c6e7de8-1eaf-4c7d-92fb-a420758fe2b8', '209803b7-9660-49c6-98e3-1b4c8d536d99', '37992b4a-144a-40d8-bcea-ffcc7a3df761', 'e206d7f3-b19c-40c4-84ce-482b32c1e6c1']",19,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:19.012,Pass,True
,,,,,,,,,,,,,,,1.723101,,,,,,,,,,,,,,,c6dbce3f-3e2e-4846-92dd-f1aee44ef814,36,,"[74.5, 49.3]",3825620,0,,,,,1.2924967,,Right Foot,,,"[81.3, 73.1]",,Ground Pass,,24.752373,,,Adrián Embarba Blázquez,11539.0,,,,,,,1,Regular Play,Jozabed Sánchez Ruiz,6852.0,Center Attacking Midfield,3,Rayo Vallecano,360,['307f4409-59a7-400e-8c08-4abcb4b25d9c'],22,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:22.266,Pass,
,,,,,,,,,,,,,,,5.022172,,,,,,,,,,,,,,,95a0e322-bddc-4507-955b-8f799dfe6d91,39,,"[108.3, 73.1]",3825620,0,,,,,-1.4806305,,Right Foot,True,,"[114.9, 0.1]",,High Pass,,73.29775,Out,,Tiago Manuel Dias Correia,7900.0,,,True,,,,1,Regular Play,Adrián Embarba Blázquez,11539.0,Right Wing,3,Rayo Vallecano,360,['a27984c7-fe34-4251-b792-57e54fa11f61'],27,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:27.362,Pass,
,,,,,,,,,,,,,,,1.980653,,,,,,,,,,,,,,,e8cd885d-57e1-4a6b-aaed-66e7eae01143,41,,"[5.2, 80.0]",3825620,0,,,,,-0.2636764,,,,,"[31.5, 72.9]",,High Pass,,27.241512,Incomplete,,,,,,,,,Throw-in,1,From Throw In,Cristiano Piccini,11634.0,Right Back,4,Real Betis,218,['0036b962-2fbb-49b4-9562-192fdb94a2f5'],44,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:44.391,Pass,
,,,,,,,,,,,,,,,0.644472,,,,,,,,,,,,,,,4de35190-01d0-42ed-b34d-b905f69b0770,52,,"[37.0, 79.1]",3825620,1,,True,,,-2.0118783,,Right Foot,,,"[15.0, 32.5]",,Ground Pass,,51.532127,,,Antonio Adán Garrido,6654.0,,,True,,,Free Kick,1,From Free Kick,Cristiano Piccini,11634.0,Right Back,5,Real Betis,218,['69b27508-e146-44fa-82ee-27633e14a931'],5,,,,,,,,,,,,,,,,,,Real Betis,218,00:01:05.152,Pass,
,,,,,,,,,,,,,,,4.165074,,,,,,,,,,,,,,,d9fd3667-74e3-4233-b7e1-259690aa4a67,54,,"[15.9, 32.0]",3825620,1,,True,,,0.40079346,,Right Foot,,,"[86.7, 62.0]",,High Pass,,76.89369,Incomplete,,Álvaro Cejudo Carmona,26723.0,,,,,,,1,From Free Kick,Antonio Adán Garrido,6654.0,Goalkeeper,5,Real Betis,218,"['e193f0a3-46cd-448a-a876-7586e026b39b', 'f25edad5-785a-4168-b73f-308fe5a0830b']",5,,,,,,,,,,,,,,,,,,Real Betis,218,00:01:05.859,Pass,
,,,,,,,,,,,,,,,1.507271,,,,,,,,,,,,,,,e193f0a3-46cd-448a-a876-7586e026b39b,56,,"[33.4, 18.1]",3825620,1,,,,,-0.023947516,,Head,,,"[50.1, 17.7]",,High Pass,,16.70479,,,Tiago Manuel Dias Correia,7900.0,,,,,,Recovery,1,From Free Kick,Răzvan Dincă Raț,10727.0,Left Back,5,Real Betis,218,"['1f931061-7cd7-4357-afd0-94ecb55f0840', 'd9fd3667-74e3-4233-b7e1-259690aa4a67']",10,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:10.024,Pass,
,,,,,,,,,,,,,,,2.342733,,,,,,,,,,,,,,,c7f2878c-4ab4-4d5e-8a53-ce133abfe468,58,,"[50.8, 17.7]",3825620,1,,,,,0.49488744,,Head,,,"[63.4, 24.5]",,Low Pass,,14.3178215,Incomplete,,,,,,,,,,1,From Free Kick,Tiago Manuel Dias Correia,7900.0,Left Wing,5,Real Betis,218,['55b0b573-4070-4eb3-8d24-b7c5f7306605'],11,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:11.531,Pass,
