50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.264889,,,,,,,,,,,,,,d5fa2fbd-0ca0-41a1-a1d6-ac3c76e1d349,15,,"[81.0, 0.1]",3825823,0,,,,,3.0218365,,,,,,"[56.9, 3.0]",,Low Pass,,24.273853,,,,Íñigo Martínez Berridi,6665.0,,,,Throw-in,1,From Throw In,Yuri Berchiche Izeta,3023.0,Left Back,3,Real Sociedad,210,['b57d38fd-38d7-486a-8ca5-5ed1784ec849'],23,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:23.481,Pass,
,,,,,,,,,,,,,,,,,,1.65109,,,,,,,,,,,,,,834449ba-599c-4e5b-a6dd-8a186b1515ab,18,,"[49.3, 11.4]",3825823,0,,,,,2.2982883,,Left Foot,,,,"[36.3, 26.0]",,Ground Pass,,19.548914,,,,Diego Antonio Reyes Rosales,16539.0,,,,,1,From Throw In,Íñigo Martínez Berridi,6665.0,Left Center Back,3,Real Sociedad,210,['6e9a21c7-db64-46ce-9fc0-269fab967d05'],28,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:28.329,Pass,
,,,,,,,,,,,,,,,,,,1.65462,,,,,,,,,,,,,,4db8f3c8-cfc7-4177-9423-45f837514f98,21,,"[36.6, 31.6]",3825823,0,,,,,1.4432268,,Right Foot,,,,"[42.0, 73.7]",,Ground Pass,,42.444904,,,,Carlos Martínez Díez,8724.0,,True,,,1,From Throw In,Diego Antonio Reyes Rosales,16539.0,Right Center Back,3,Real Sociedad,210,['415c2c42-85da-44a0-a659-0d34ddb375c6'],31,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:31.803,Pass,
,,,,,,,,,,,,,,,,,,3.528249,,,,,,,,,,,,,,e9037b12-a24b-4192-9b5a-08ac19bb73e9,24,,"[45.2, 68.0]",3825823,0,,,,,-2.815951,,Right Foot,,,,"[14.4, 57.6]",,Ground Pass,,32.50846,,,,Diego Antonio Reyes Rosales,16539.0,,,,,1,From Throw In,Carlos Martínez Díez,8724.0,Right Back,3,Real Sociedad,210,['35267599-2f5d-44eb-bc27-e9004eaebdb1'],35,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:35.439,Pass,
,,,,,,,,,,,,,,,,,,2.073407,,,,,,,,,,,,,,4c0c7107-689e-4444-bc40-926181e88a51,26,,"[14.4, 57.6]",3825823,0,,,,,-2.7329059,,Left Foot,,,,"[1.7, 52.1]",,Ground Pass,,13.839798,,,,Gerónimo Rulli,6694.0,,,,,1,From Throw In,Diego Antonio Reyes Rosales,16539.0,Right Center Back,3,Real Sociedad,210,['1a39d84b-b07d-4a3a-a6ab-b63e09481669'],38,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:38.967,Pass,
,,,,,,,,,,,,,,,,,,4.494052,,,,,,,,,,,,,,511e792d-41fc-481c-9793-05c29c71d3d1,30,,"[2.6, 51.9]",3825823,0,,,,,0.24322197,,Right Foot,,,,"[56.2, 65.2]",,High Pass,,55.22545,,,,Carlos Alberto Vela Garrido,5560.0,,,,,1,From Throw In,Gerónimo Rulli,6694.0,Goalkeeper,3,Real Sociedad,210,"['e139d842-02b9-4ac2-bd1b-cbe597a2f047', 'ee8fb624-ff73-443f-bbda-c0ccd1682f5a']",42,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:42.374,Pass,True
,,,,,,,,,,,,,,,,,,1.16545,,,,,,,,,,,,,,1e4a3730-ac7c-470a-8358-0101ca94ea82,38,,"[90.9, 64.5]",3825823,1,,,,,-0.9059509,43ca5597-2d3e-4791-a2b2-e748a372ba21,Right Foot,True,,,"[109.4, 40.9]",True,High Pass,,29.98683,,,,Markel Bergara Larrañaga,6633.0,,,,Free Kick,1,From Free Kick,Asier Illarramendi Andonegi,6671.0,Left Center Midfield,4,Real Sociedad,210,['1e512d31-0a79-419e-9fe7-ae3115d71fb3'],31,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:31.648,Pass,
,,,,,,,,,,,,,,,,,,0.559999,,,,,,,,,,,,,,1a593745-78cd-48ea-8cd9-1ac52675463c,43,,"[61.0, 40.1]",3825823,2,,,,,-1.7681919,,Right Foot,,,,"[60.4, 37.1]",,Ground Pass,,3.0594118,,,,Éver Maximiliano David Banega,5504.0,,,,Kick Off,1,From Kick Off,Kevin Gameiro,6401.0,Center Forward,5,Sevilla,213,['f87245f2-16c8-4c2d-ae8a-631b50122aa4'],17,,,,,,,,,,,,,,,,,Sevilla,213,00:02:17.247,Pass,
,,,,,,,,,,,,,,,,,,0.959995,,,,,,,,,,,,,,1a4f14b3-c68a-440e-8f2f-a78da4ed9c4a,46,,"[64.7, 34.8]",3825823,2,,,,,-1.1014508,,Right Foot,,,,"[71.8, 20.8]",,Ground Pass,,15.697452,,,,Víctor Machín Pérez,6841.0,,,,,1,From Kick Off,Éver Maximiliano David Banega,5504.0,Center Attacking Midfield,5,Sevilla,213,['eddd7fb6-e603-4b8a-b413-0157d7151297'],19,,,,,,,,,,,,,,,,,Sevilla,213,00:02:19.127,Pass,
,,,,,,,,,,,,,,,,,,2.039999,,,,,,,,,,,,,,94609e33-cfad-4b89-87fd-778f18fbb41b,48,,"[71.8, 20.8]",3825823,2,,True,,,-2.1873627,,Right Foot,,,,"[64.5, 10.5]",,Ground Pass,,12.624579,,,,Éver Maximiliano David Banega,5504.0,,,,,1,From Kick Off,Víctor Machín Pérez,6841.0,Left Wing,5,Sevilla,213,['acc1e666-b7cc-4957-b069-b6a9467e3f00'],20,,,,,,,,,,,,,,,,,Sevilla,213,00:02:20.527,Pass,
,,,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,,a07d808e-1123-42a1-9fab-ce6fab353733,58,,"[65.4, 38.3]",3825823,2,,,,,0.82444084,,Right Foot,,,,"[77.7, 51.6]",,Ground Pass,,18.11574,,,,José Antonio Reyes Calderón,23816.0,,,,Free Kick,1,From Free Kick,Grzegorz Krychowiak,3637.0,Left Defensive Midfield,6,Sevilla,213,['d6515ab8-22ea-4360-9335-99ef9d9317e6'],35,,,,,,,,,,,,,,,,,Sevilla,213,00:02:35.925,Pass,
,,,,,,,,,,,,,,,,,,1.253507,,,,,,,,,,,,,,32d08497-91b1-406f-905b-b7f87ec10f25,65,,"[77.7, 69.8]",3825823,2,,,,,-0.0685619,,Left Foot,,,,"[101.0, 68.2]",,Ground Pass,,23.354872,,Incomplete,,Mariano Ferreira Filho,21210.0,,,,Free Kick,1,From Free Kick,José Antonio Reyes Calderón,23816.0,Right Wing,7,Sevilla,213,"['90c4898f-bcbd-4da4-9ea8-26c5ad82369c', 'f6d4bf12-d21b-4ae3-a77b-6218133566d5']",48,,,,,,,,,,,,,,,,,Sevilla,213,00:02:48.645,Pass,
,,,,,,,,,,,,,,,,,,0.928513,,,,,,,,,,,,,,9973f8b9-2283-43de-921c-977e29d40804,70,,"[21.4, 10.4]",3825823,2,,,,,-0.03602045,,Right Foot,,,,"[32.5, 10.0]",,Ground Pass,,11.107204,,,,Carlos Alberto Vela Garrido,5560.0,,,,,1,From Free Kick,David Zurutuza Veillet,6669.0,Left Wing,7,Sevilla,213,['84c862de-1cea-4aea-85bd-a4b93b61e23e'],53,,,,,,,,,,,,,,,,,Real Sociedad,210,00:02:53.440,Pass,
,,,,,,,,,,,,,,,,,,2.56552,,,,,,,,,,,,,,8d5f1199-a800-49ae-bb62-af6c2c4d0742,76,,"[36.7, 4.0]",3825823,3,,,,,-0.09237295,,Left Foot,,,,"[78.8, 0.1]",,High Pass,,42.280254,,Out,,David Zurutuza Veillet,6669.0,,,,Free Kick,1,From Free Kick,Íñigo Martínez Berridi,6665.0,Left Center Back,8,Real Sociedad,210,['9a2bfa69-93a9-4a74-b194-0d0958a50901'],22,,,,,,,,,,,,,,,,,Real Sociedad,210,00:03:22.880,Pass,
,,,,,,,,,,,,,,,,,,0.559999,,,,,,,,,,,,,,471d7271-3e15-46cd-8353-169e8e0acf14,78,,"[46.4, 80.0]",3825823,3,,True,,,-1.821799,,,,,,"[44.4, 72.2]",,Low Pass,,8.052329,,,,Sebastián Carlos Cristóforo Pepe,7154.0,,,,Throw-in,1,From Throw In,Mariano Ferreira Filho,21210.0,Right Back,9,Sevilla,213,['f1039def-083f-49fb-97b4-71de3945332c'],30,,,,,,,,,,,,,,,,,Sevilla,213,00:03:30.074,Pass,
,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,869254c5-be2c-4f02-b624-1fe84aa8ea66,80,,"[44.4, 72.2]",3825823,3,,,,,1.8370484,,Right Foot,,,,"[42.9, 77.7]",,Low Pass,,5.700877,,,,Mariano Ferreira Filho,21210.0,,,,,1,From Throw In,Sebastián Carlos Cristóforo Pepe,7154.0,Right Defensive Midfield,9,Sevilla,213,['c4eef7da-441f-4a82-b08d-39b6ee1f03ed'],30,,,,,,,,,,,,,,,,,Sevilla,213,00:03:30.687,Pass,
