50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.108962,,,,,,,,,,,,,29aeef9b-8148-4254-af02-bc95c4b3acc5,17,,"[57.5, 62.4]",3825891,0,,,,-0.7853982,,Head,,,"[64.5, 55.4]",,Low Pass,,9.899495,,,,Felipe Salvador Caicedo Corozo,7781.0,,,,,,,1,From Kick Off,Hernán Arsenio Pérez González,6838.0,Right Wing,2,Espanyol,214,['8b1f75cc-98b8-460e-9e3a-62c18ed967ce'],9,,,,,,,,,,,,,,,,,Espanyol,214,00:00:09.912,Pass,
,,,,,,,,,,,,,,,,,,1.279532,,,,,,,,,,,,,36078a99-ea61-4a02-a5de-3f933a894c0c,22,,"[65.8, 57.4]",3825891,0,,,,0.85117143,,Left Foot,,,"[81.4, 75.2]",,Ground Pass,,23.668545,,,,Hernán Arsenio Pérez González,6838.0,,,,,,,1,From Kick Off,Felipe Salvador Caicedo Corozo,7781.0,Center Forward,2,Espanyol,214,['b693c1e8-8c9c-43d2-a211-9e2947c041a7'],15,,,,,,,,,,,,,,,,,Espanyol,214,00:00:15.278,Pass,
,,,,,,,,,,,,,,,,,,0.382072,,,,,,,,,,,,,bb4579ee-098c-42cb-86bd-610f3c0e4d4f,25,,"[86.8, 75.2]",3825891,0,,,,-0.35877067,,Right Foot,,,"[91.6, 73.4]",,Ground Pass,,5.1264024,,Incomplete,,Marco Asensio Willemsen,5719.0,,,,,,,1,From Kick Off,Hernán Arsenio Pérez González,6838.0,Right Wing,2,Espanyol,214,"['664585bc-20b4-43bf-80f1-f11cff00b196', 'a97c562b-8da1-48a4-8053-592699ddfb2a']",17,,,,,,,,,,,,,,,,,Espanyol,214,00:00:17.510,Pass,
,,,,,,,,,,,,,,,,,,0.566401,,,,,,,,,,,,,80dfc1af-ebba-4ed4-a051-abca686f0549,28,,"[120.0, 80.0]",3825891,0,,,,-2.2618253,,Left Foot,,,"[109.0, 66.7]",,Low Pass,,17.259491,,Incomplete,,,,,True,,Straight,,Corner,1,From Corner,Rubén Duarte Sánchez,6612.0,Left Back,3,Espanyol,214,['530cde23-7880-4f2d-8ccc-49be10957f61'],47,,,,,,,,,,,,,,,,,Espanyol,214,00:00:47.440,Pass,
,,,,,,,,,,,,,,,,,,0.325659,,,,,,,,,,,,,565dc112-f524-4051-8a8c-4943f2e2cbf0,32,,"[105.5, 72.5]",3825891,0,,,,-1.0436504,,Left Foot,,,"[109.4, 65.8]",,Ground Pass,,7.752419,,Incomplete,,Rubén Duarte Sánchez,6612.0,,,,,,,1,From Corner,Marco Asensio Willemsen,5719.0,Center Attacking Midfield,3,Espanyol,214,"['15ec9a2f-e4af-40fd-bad4-eb4681665485', '735e6268-a9b6-4131-a7e0-c3fe2d0c1a0b']",49,,,,,,,,,,,,,,,,,Espanyol,214,00:00:49.868,Pass,
,,,,,,,,,,,,,,,,,,3.487466,,,,,,,,,,,,,c210f699-e31c-4514-a692-bcb5935f1104,39,,"[23.8, 14.9]",3825891,1,,,,0.17141351,,Right Foot,,,"[78.1, 24.3]",,High Pass,,55.10762,,,,Sergio Ezequiel Araújo,8167.0,,,,,,Free Kick,1,From Free Kick,Javier Varas Herrera,26753.0,Goalkeeper,4,Las Palmas,208,['985518bb-9e5a-4b28-93ad-55a154c48f59'],21,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:21.323,Pass,
,,,,,,,,,,,,,,,,,,1.422693,,,,,,,,,,,,,3f29bef9-ca0c-4a66-9d70-1590f9e8efa0,41,,"[78.1, 24.3]",3825891,1,,,True,0.413999,,,,,"[91.3, 30.1]",,Low Pass,,14.418044,,Incomplete,,Pedro Taunausú Domínguez Placeres,6928.0,,,,,,,1,From Free Kick,Sergio Ezequiel Araújo,8167.0,Center Forward,4,Las Palmas,208,"['9e606532-802a-4fb4-ac7f-0689a30df122', 'b2ea535e-aec6-4f7f-88de-e30b7bc82e4b', 'e8ed3d98-f569-4e66-8165-3a2f9f8da7d5']",24,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:24.811,Pass,True
,,,,,,,,,,,,,,,,,,3.256072,,,,,,,,,,,,,b2ea535e-aec6-4f7f-88de-e30b7bc82e4b,44,,"[28.8, 50.0]",3825891,1,,,,0.30714336,,Right Foot,,,"[51.5, 57.2]",,High Pass,,23.814491,,Incomplete,,,,,,,,,Recovery,1,From Free Kick,Enzo Pablo Roco Roco,16456.0,Left Center Back,4,Las Palmas,208,"['3f29bef9-ca0c-4a66-9d70-1590f9e8efa0', '882dd602-9b7d-49ec-8198-629deb8a3116']",26,,,,,,,,,,,,,,,,,Espanyol,214,00:01:26.233,Pass,
,,,,,,,,,,,,,,,,,,1.367915,,,,,,,,,,,,,882dd602-9b7d-49ec-8198-629deb8a3116,46,,"[68.6, 22.9]",3825891,1,,,True,0.4514531,,,,,"[81.8, 29.3]",,High Pass,,14.669697,,Pass Offside,,Pedro Taunausú Domínguez Placeres,6928.0,,,,,,Recovery,1,From Free Kick,José Vicente Gómez Umpiérrez,6929.0,Left Defensive Midfield,4,Las Palmas,208,"['4b76027f-2149-4139-8054-abd8333ba10b', '5e654c64-3395-438b-a756-f21eb43cd1c9', 'b2ea535e-aec6-4f7f-88de-e30b7bc82e4b']",29,,,,,,,,,,,,,,,,,Las Palmas,208,00:01:29.490,Pass,True
,,,,,,,,,,,,,,,,,,1.752855,,,,,,,,,,,,,e4a02dfe-c5fe-4de8-a8e6-8fd90ab3a181,48,,"[38.7, 50.8]",3825891,1,True,,,-1.5281256,,Right Foot,,,"[40.6, 6.3]",,Ground Pass,,44.540543,,,,Rubén Duarte Sánchez,6612.0,,,True,,,Free Kick,1,From Free Kick,Papa Kouly Diop,6867.0,Left Defensive Midfield,5,Espanyol,214,['ddcf3fe8-c124-4f39-b76a-39caf4ced85c'],45,,,,,,,,,,,,,,,,,Espanyol,214,00:01:45.590,Pass,
