50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,517dd614-3b69-40f0-b452-86cf2fa587b5,1,,,3825659,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 26087, 'name': 'Carlos Gurpegi Nausia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6389, 'name': 'Mikel San José Domínguez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 6666, 'name': 'Sabin Merino Zuloaga'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Athletic Club,215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ef6d635d-6e79-4208-a073-8b7be2f25d49,2,,,3825659,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4741, 'name': 'Juan Rafael Fuentes Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 5}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0fe20283-a9ad-474f-9981-47b0360f1fab,3,,,3825659,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['b27d2d79-ec93-4fc7-981a-9aea23be9ee7'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b27d2d79-ec93-4fc7-981a-9aea23be9ee7,4,,,3825659,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['0fe20283-a9ad-474f-9981-47b0360f1fab'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,09fb6070-a49d-4a5a-a4e1-e34525431135,1485,,,3825659,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,104,Espanyol,214,['f9d349fd-022e-4472-810d-1c32aa89abff'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f9d349fd-022e-4472-810d-1c32aa89abff,1486,,,3825659,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,104,Espanyol,214,['09fb6070-a49d-4a5a-a4e1-e34525431135'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.611629,,,,,,,,,,,,,7d38894d-657e-49ce-ae06-cc484b3488a2,5,,"[61.0, 40.1]",3825659,0,,True,,,1.6162196,,Left Foot,,,"[60.9, 42.3]",,Ground Pass,,2.2022715,,,Raúl García Escudero,6391.0,,,,,Kick Off,1,From Kick Off,Beñat Etxebarria Urkiaga,6396.0,Right Defensive Midfield,2,Athletic Club,215,['72442920-699b-4e0e-90f1-7072af5be44a'],2,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:02.462,Pass,
,,,,,,,,,,,,,,,,1.558702,,,,,,,,,,,,,e27b2fa9-df78-465f-a9c9-b6c6ac66c382,7,,"[60.9, 42.0]",3825659,0,,True,,,2.8857841,,Right Foot,,,"[41.4, 47.1]",,Ground Pass,,20.155893,,,Carlos Gurpegi Nausia,26087.0,,,,,,1,From Kick Off,Raúl García Escudero,6391.0,Center Attacking Midfield,2,Athletic Club,215,['fa9e91c6-9e8d-45a2-bd24-5d775344b219'],3,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:03.084,Pass,
,,,,,,,,,,,,,,,,0.965797,,,,,,,,,,,,,5d321172-0f51-4d75-8728-691397e0c449,10,,"[42.8, 47.7]",3825659,0,,,,,-0.4499966,,Right Foot,,,"[66.4, 36.3]",,Low Pass,,26.209158,Incomplete,,Beñat Etxebarria Urkiaga,6396.0,,,,,,1,From Kick Off,Carlos Gurpegi Nausia,26087.0,Right Center Back,2,Athletic Club,215,"['205ffa72-a609-4f20-86bb-7665146118f9', '8a8d7259-05f3-4df2-b2b0-d8abd9b55986', 'c0acc270-d33f-4b41-b6d9-2a079fbb61ed']",6,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:06.489,Pass,True
,,,,,,,,,,,,,,,,0.469753,,,,,,,,,,,,,f8932ef4-da6d-4064-9d69-5ea0c472ece4,13,,"[63.1, 26.4]",3825659,0,,,,,-0.06548002,,Right Foot,,,"[69.2, 26.0]",,Ground Pass,,6.1131005,,,Felipe Salvador Caicedo Corozo,7781.0,,,,,Recovery,1,Regular Play,Víctor Guillermo Álvarez Delgado,27241.0,Left Wing,3,Espanyol,214,['02f05437-b111-4efc-ae9b-935977c14cab'],9,,,,,,,,,,,,,,,,,Espanyol,214,00:00:09.271,Pass,
