bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0a48867a-bd66-4d46-b61e-a7cbdcb28d36,1,,,,3825687,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4741, 'name': 'Juan Rafael Fuentes Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 5}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,da58599f-1900-40f5-876a-a6f66121416e,2,,,,3825687,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6730, 'name': 'Rubén Iván Martínez Andrade'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6787, 'name': 'Pedro López Muñoz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 26012, 'name': 'David Navarro Pedrós'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6784, 'name': 'Antonio García Aranda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6659, 'name': 'Víctor Camarasa Ferrando'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 23943, 'name': 'Rubén García Santos'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Levante UD,221,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e4a2a660-5619-4139-93ef-4b414cf67309,3,,,,3825687,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['db7758f7-898c-49a2-bc57-1fe5736b8fca'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,db7758f7-898c-49a2-bc57-1fe5736b8fca,4,,,,3825687,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['e4a2a660-5619-4139-93ef-4b414cf67309'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,792766bc-5c45-47f4-853f-a0328317afe9,1621,,,,3825687,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,102,Espanyol,214,['3958901e-887b-4883-aab7-39a124bf5ef2'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3958901e-887b-4883-aab7-39a124bf5ef2,1622,,,,3825687,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,102,Espanyol,214,['792766bc-5c45-47f4-853f-a0328317afe9'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,3.036071,,,,,,,,,,,,8be8bce6-9f3c-4e47-9604-3178327f1c21,5,,,"[61.0, 40.1]",3825687,0,,,,,-2.937214,,Right Foot,,,"[33.5, 34.4]",,Ground Pass,28.084515,,,,Enzo Pablo Roco Roco,16456.0,,,,,Kick Off,1,From Kick Off,Felipe Salvador Caicedo Corozo,7781.0,Center Forward,2,Espanyol,214,['02d8482d-a1d3-4b27-bc81-40749cadcb78'],1,,,,,,,,,,,,,,,,,Espanyol,214,00:00:01.011,Pass,
,,,,,,,,,,,,,,,,,3.197882,,,,,,,,,,,,05a3965f-f7da-4d0d-84b1-aa62056e3121,8,,,"[33.5, 35.0]",3825687,0,,,,,0.790071,,Right Foot,,,"[76.1, 78.0]",,High Pass,60.529003,,,,Hernán Arsenio Pérez González,6838.0,,,True,,,1,From Kick Off,Enzo Pablo Roco Roco,16456.0,Left Center Back,2,Espanyol,214,['f2341df4-d71f-4658-8088-5cf76d32005f'],5,,,,,,,,,,,,,,,,,Espanyol,214,00:00:05.655,Pass,
,,,,,,,,,,,,,,,,,1.594183,,,,,,,,,,,,1c5f409e-8a23-43d7-bf0d-be921ff02552,10,,,"[76.1, 78.0]",3825687,0,,,,,-1.2245686,,Head,,,"[81.8, 62.2]",,High Pass,16.796726,,,,Marco Asensio Willemsen,5719.0,,,,,,1,From Kick Off,Hernán Arsenio Pérez González,6838.0,Right Wing,2,Espanyol,214,['510ad2d1-04c3-445a-8ae6-a206051713c1'],8,,,,,,,,,,,,,,,,,Espanyol,214,00:00:08.973,Pass,
,,,,,,,,,,,,,,,,,0.001898,,,,,,,,,,,,d8c63d94-c696-4a32-908a-c204478350e9,12,,,"[81.5, 62.1]",3825687,0,,,,,0.0,,Head,,,"[81.5, 62.1]",,High Pass,0.0,,Incomplete,,,,,,,,,1,From Kick Off,Marco Asensio Willemsen,5719.0,Center Attacking Midfield,2,Espanyol,214,['aa07105f-d16c-4a3d-b580-f6a2f5450a7c'],10,,,,,,,,,,,,,,,,,Espanyol,214,00:00:10.647,Pass,
