50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cf8caca2-8553-470a-b9c5-f4ab48e01906,1,,,3825597,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 7905, 'name': 'Raúl Lizoáin Cruz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 27522, 'name': 'Antolín Alcáraz Viveros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 7906, 'name': 'David Simón Rodríguez Santana'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 23}, {'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 27521, 'name': 'Juan Emmanuel Culio'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 8167, 'name': 'Sergio Ezequiel Araújo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Las Palmas,208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e312a064-71c5-4e67-bf43-b4d1d4539e6c,2,,,3825597,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26070, 'name': 'Antonio Rodríguez Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 11298, 'name': 'José Ignacio Martínez García'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 27144, 'name': 'Antonio Amaya Carazo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 10727, 'name': 'Răzvan Dincă Raț'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 26607, 'name': 'José Raúl Baena Urdiales'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 11539, 'name': 'Adrián Embarba Blázquez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 7900, 'name': 'Tiago Manuel Dias Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 11542, 'name': 'Javier Guerra Rodríguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b33fa417-98cb-4dc9-b335-755c80ac9533,3,,,3825597,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['6a0ba48b-ef22-4302-bfd0-4646c34b8a50'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6a0ba48b-ef22-4302-bfd0-4646c34b8a50,4,,,3825597,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['b33fa417-98cb-4dc9-b335-755c80ac9533'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,119200d2-94c9-48bd-92a0-ad60e4f99e88,1419,,,3825597,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,105,Las Palmas,208,['90e922e0-bddf-4cf6-944b-1c9e2281e279'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,90e922e0-bddf-4cf6-944b-1c9e2281e279,1420,,,3825597,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,105,Las Palmas,208,['119200d2-94c9-48bd-92a0-ad60e4f99e88'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.645624,,,,,,,,,,,,,bc006c7b-7538-4f17-a2b9-ade75bacf27d,5,,"[61.0, 40.1]",3825597,0,,,,,-2.967322,,Right Foot,,,"[46.8, 37.6]",,Ground Pass,,14.418391,,,Roberto Trashorras Gayoso,26848.0,,,,,Kick Off,1,From Kick Off,Javier Guerra Rodríguez,11542.0,Center Forward,2,Rayo Vallecano,360,['3df07ec0-d872-4aae-bfac-e79de0dda5d7'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.437,Pass,
,,,,,,,,,,,,,,,,,1.606199,,,,,,,,,,,,,fea7f8d7-00f8-4e91-b36f-1591c57bb352,8,,"[35.3, 36.5]",3825597,0,,,,,1.5874153,,Right Foot,,,"[34.7, 72.6]",,Ground Pass,,36.104984,,,Răzvan Dincă Raț,10727.0,,,,,,1,From Kick Off,Roberto Trashorras Gayoso,26848.0,Left Defensive Midfield,2,Rayo Vallecano,360,['46124fef-f452-4b7b-bb92-95b266cef411'],2,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:02.894,Pass,
,,,,,,,,,,,,,,,,,2.124426,,,,,,,,,,,,,fc49b6c3-84a9-4a4b-bd73-4f4c821e012e,12,,"[58.5, 7.5]",3825597,0,,,,,2.7003164,,Left Foot,,,"[35.0, 18.6]",,Ground Pass,,25.989613,,,Antonio Amaya Carazo,27144.0,,,,,,1,From Kick Off,Răzvan Dincă Raț,10727.0,Left Back,2,Rayo Vallecano,360,"['b5d94c44-bff4-4df0-9691-000af814fe1a', 'e976d65a-810e-4536-a9cd-eeb27a4f69c3']",8,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:08.237,Pass,True
,,,,,,,,,,,,,,,,,2.83181,,,,,,,,,,,,,5ed5bc40-df72-4dea-9bea-e2bb5f2eaa2f,15,,"[29.3, 24.6]",3825597,0,,,,,2.2968817,,Right Foot,,,"[9.5, 46.9]",,Ground Pass,,29.821636,,,Antonio Rodríguez Martínez,26070.0,,,,,,1,From Kick Off,Antonio Amaya Carazo,27144.0,Left Center Back,2,Rayo Vallecano,360,['a3b11b23-8e6f-4150-a573-5451e401a020'],11,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:11.328,Pass,
