bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.026986,,,,,,,,,,,,2efcc8ba-231f-4185-860d-653439087d03,15,,"[68.9, 75.5]",3825825,0,,,,,-0.62707067,,Right Foot,,,"[75.8, 70.5]",Low Pass,,8.521151,,,,Arnaldo Antonio Sanabria Ayala,6880.0,,,,,1,Regular Play,Carlos Carmona Bonet,23848.0,Right Wing,4,Sporting Gijón,1041,['aaed584a-75f7-4e53-b451-9d966d0d06cf'],22,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:22.969,Pass,
,,,,,,,,,,,,,,,,,0.679519,,,,,,,,,,,,b7282c7f-08a2-4a17-bb95-1ccd32df9dac,18,,"[74.1, 69.5]",3825825,0,,,,,2.9889433,,Right Foot,,,"[70.2, 70.1]",Ground Pass,,3.945884,,,,Pablo Pérez Rodríguez,23838.0,,,,,1,Regular Play,Arnaldo Antonio Sanabria Ayala,6880.0,Center Forward,4,Sporting Gijón,1041,['68641b5b-0bbc-4099-a141-02d999359a61'],24,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:24.027,Pass,
,,,,,,,,,,,,,,,,,0.814612,,,,,,,,,,,,566cfed5-2648-415e-aa4b-160ba9652f9b,22,,"[69.1, 71.0]",3825825,0,,,,,1.2055949,,Right Foot,,,"[71.7, 77.8]",Ground Pass,,7.28011,,,,Carlos Carmona Bonet,23848.0,,,,,1,Regular Play,Pablo Pérez Rodríguez,23838.0,Center Attacking Midfield,4,Sporting Gijón,1041,"['7d1b2a35-401f-492e-a974-7b3f21fd7fb3', 'e8f6cce5-c44d-4352-b54b-d6c4f14bbbb2']",25,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:25.015,Pass,True
,,,,,,,,,,,,,,,,,1.137848,,,,,,,,,,,,c75db063-5497-4d2d-9351-1457046ca0d6,25,,"[71.7, 77.8]",3825825,0,,,,,-0.699317,,Right Foot,,,"[82.4, 68.8]",Ground Pass,,13.981773,,Incomplete,,,,,,,,1,Regular Play,Carlos Carmona Bonet,23848.0,Right Wing,4,Sporting Gijón,1041,['c61b8ffd-4f0e-45b7-bb39-925631eeb445'],26,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:26.069,Pass,
,,,,,,,,,,,,,,,,,4.410321,,,,,,,,,,,,c61b8ffd-4f0e-45b7-bb39-925631eeb445,26,,"[37.7, 11.3]",3825825,0,,,,,-0.0039919945,,Left Foot,,,"[87.8, 11.1]",High Pass,,50.1004,,Incomplete,,,,,,,Recovery,1,Regular Play,Zouhair Feddal,6647.0,Left Center Back,4,Sporting Gijón,1041,"['3c9b7353-a025-4bb3-a2ed-51c0818b043e', 'c75db063-5497-4d2d-9351-1457046ca0d6']",27,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:27.207,Pass,
,,,,,,,,,,,,,,,,,1.805191,,,,,,,,,,,,3c9b7353-a025-4bb3-a2ed-51c0818b043e,27,,"[32.3, 69.0]",3825825,0,,,,,-2.2771516,,Head,,,"[13.7, 47.2]",High Pass,,28.656588,,,,Iván Cuéllar Sacristán,6610.0,,,,Recovery,1,Regular Play,Luis Hernández Rodríguez,6561.0,Right Center Back,4,Sporting Gijón,1041,"['4e6879b0-9e33-4d38-a990-7ee4897a41cd', 'c61b8ffd-4f0e-45b7-bb39-925631eeb445']",31,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:31.618,Pass,
,,,,,,,,,,,,,,,,,3.622884,,,,,,,,,,,,af46a83e-fb79-4578-90e8-e43d118ec349,30,,"[13.5, 47.4]",3825825,0,,,,,-0.31917325,,Drop Kick,,,"[83.4, 24.3]",High Pass,,73.618065,,Unknown,,Arnaldo Antonio Sanabria Ayala,6880.0,,,,,1,Regular Play,Iván Cuéllar Sacristán,6610.0,Goalkeeper,4,Sporting Gijón,1041,['a7452439-9b1c-4d3f-98d8-087b1fb11174'],42,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:42.641,Pass,
,,,,,,,,,,,,,,,,,0.915242,,,,,,,,,,,,13124bc0-98da-4a18-9eda-d973f8a89213,34,,"[41.2, 55.2]",3825825,1,,True,,,-1.5448282,,Right Foot,,,"[42.0, 24.4]",Ground Pass,,30.810389,,,,Zouhair Feddal,6647.0,,,,Free Kick,1,From Free Kick,Carl Medjani,27656.0,Right Center Back,5,Levante UD,221,['f36f89d1-b5ec-4cbf-aed8-0760f766eb0a'],11,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:11.281,Pass,
,,,,,,,,,,,,,,,,,0.859802,,,,,,,,,,,,ede08326-323b-4021-abfb-a3f6e1d41258,36,,"[42.0, 24.4]",3825825,1,,,,,-1.4584509,,Left Foot,,,"[44.2, 4.9]",Ground Pass,,19.62371,,,,Juan Francisco García García,26023.0,,,,,1,From Free Kick,Zouhair Feddal,6647.0,Left Center Back,5,Levante UD,221,['11f6135e-df9a-44d1-a647-e06ebec7c00a'],14,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:14.027,Pass,
,,,,,,,,,,,,,,,,,0.251756,,,,,,,,,,,,2224018f-f9c9-4e56-9968-db4b9729d97e,39,,"[45.4, 4.9]",3825825,1,,,,,0.23109066,,Left Foot,,,"[48.8, 5.7]",Low Pass,,3.4928498,,Incomplete,,,,,,,,1,From Free Kick,Juan Francisco García García,26023.0,Left Back,5,Levante UD,221,['079b191b-91a8-4263-869b-9dbf0bfafd9a'],16,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:16.530,Pass,
,,,,,,,,,,,,,,,,,1.218446,,,,,,,,,,,,82eab75e-1860-4fa4-9f94-0671d006cb81,41,,"[55.4, 0.1]",3825825,1,,,,,1.539678,,,,,"[56.2, 25.8]",Low Pass,,25.712448,,,,José Antonio García Rabasco,24149.0,,,,Throw-in,1,From Throw In,Juan Francisco García García,26023.0,Left Back,6,Levante UD,221,['b3773691-908f-4e71-b78e-9ccfdf144750'],25,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:25.153,Pass,
,,,,,,,,,,,,,,,,,1.238427,,,,,,,,,,,,062915ce-5f5f-4493-9f11-d95a24653152,44,,"[56.8, 36.3]",3825825,1,,,,,1.5173713,,Right Foot,,,"[57.8, 55.0]",Ground Pass,,18.726719,,,,Jefferson Andrés Lerma Solís,5678.0,,,,,1,From Throw In,José Antonio García Rabasco,24149.0,Left Defensive Midfield,6,Levante UD,221,['6b6dc9f8-d1dd-4504-886a-2359f2120827'],28,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:28.334,Pass,
,,,,,,,,,,,,,,,,,0.783951,,,,,,,,,,,,ac617623-fb86-4e84-9b58-bb76ae228e88,47,,"[62.7, 75.2]",3825825,1,,,,,-1.3258177,,Right Foot,,,"[63.9, 70.4]",Ground Pass,,4.9477267,,,,Joan Verdú Fernández,26211.0,,,,,1,From Throw In,Jefferson Andrés Lerma Solís,5678.0,Right Back,6,Levante UD,221,['f1ff2e97-f280-49e2-b921-659485a577fa'],31,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:31.907,Pass,
,,,,,,,,,,,,,,,,,2.683144,,,,,,,,,,,,a867c1d9-7a3f-4644-9c36-26d322bf5a27,51,,"[55.2, 76.0]",3825825,1,,,,,-2.0223167,,Left Foot,,,"[37.5, 39.5]",Ground Pass,,40.565254,,,,Zouhair Feddal,6647.0,,,,,1,From Throw In,Joan Verdú Fernández,26211.0,Right Midfield,6,Levante UD,221,"['0876ce4e-41d3-4d23-b885-5a680f73f32b', '5dd7bb7a-a3e7-4f85-a0e3-a3a4d12c9de0']",35,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:35.321,Pass,True
,,,,,,,,,,,,,,,,,1.544482,,,,,,,,,,,,c0693147-f918-4b5f-843f-77cfcf82483e,54,,"[57.6, 32.3]",3825825,1,,,,,1.4153651,,Left Foot,,,"[63.1, 67.4]",Ground Pass,,35.528297,,,,Jefferson Andrés Lerma Solís,5678.0,,,,,1,From Throw In,Zouhair Feddal,6647.0,Left Center Back,6,Levante UD,221,['157e6096-edfe-43d5-a93a-d86ea861407a'],44,,,,,,,,,,,,,,,,,,Levante UD,221,00:01:44.938,Pass,
