50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.028648,,,,,,,,,,,,,,f6205bdb-149b-45e7-95af-b4e7a0b8ea92,936,,"[11.6, 28.8]",3825826,25,,,,,-0.6224717,,Right Foot,,,,"[20.1, 22.7]",Ground Pass,,10.462314,,,,,Weligton Róbson Pena de Oliveira,26669.0,,,,,,,1,From Throw In,Francisco Guillermo Ochoa Magaña,5577.0,Goalkeeper,47,Granada,1049,['ed5ff5ec-f4b3-44ce-99aa-ebc86c6a4d91'],37,,,,,,,,,,,,,,,,,Málaga,223,00:25:37.257,Pass,
,,,,,,,,,,,,,,,,7.49757,,,,,,,,,,,,,,6b710df9-36e3-4645-bbeb-569ffedf8bb3,939,,"[26.9, 19.7]",3825826,25,,,,,0.43451393,,Left Foot,,,,"[102.1, 54.6]",High Pass,,82.90386,,,Incomplete,,,,,,,,,,1,From Throw In,Weligton Róbson Pena de Oliveira,26669.0,Left Center Back,47,Granada,1049,['e2b9ab10-0efb-4408-8103-68ed67e8c23f'],41,,,,,,,,,,,,,,,,,Málaga,223,00:25:41.290,Pass,
,,,,,,,,,,,,,,,,3.394237,,,,,,,,,,,,,,1ef00ad7-c97a-4ad0-b39f-abff267efbf9,943,,"[20.7, 39.5]",3825826,26,,,,,0.5962973,,Right Foot,,,,"[70.5, 73.3]",High Pass,,60.187042,,,,,Isaac Ajayi Success,6918.0,,,,,,,1,From Throw In,Andrés Eduardo Fernández Moreno,8697.0,Goalkeeper,47,Granada,1049,['79c201cd-45f9-4540-a5ea-64092e3ac52c'],6,,,,,,,,,,,,,,,,,Granada,1049,00:26:06.928,Pass,
,,,,,,,,,,,,,,,,0.743327,,,,,,,,,,,,,,d404d6a6-5c13-4856-9021-a6098631eb0b,950,,"[53.0, 7.8]",3825826,26,,,,,0.7631796,,Left Foot,,,,"[57.6, 12.2]",Ground Pass,,6.3655324,,,,,Duje Čop,8419.0,,,,,,,1,From Throw In,Gonzalo Castro Irizábal,6740.0,Left Midfield,47,Granada,1049,"['1d8c9f45-8440-405b-8f66-b2dd72e90a6a', 'c512b1c8-6a40-4710-936b-50fbabe97cb7']",12,,,,,,,,,,,,,,,,,Málaga,223,00:26:12.514,Pass,True
,,,,,,,,,,,,,,,,1.983794,,,,,,,,,,,,,,8456dad0-6d5c-43a2-8042-60bc35a723b0,955,,"[56.9, 80.0]",3825826,26,,,,,-0.23770984,,,,,,"[79.6, 74.5]",High Pass,,23.356798,,,,,Isaac Ajayi Success,6918.0,,,,,,Throw-in,1,From Throw In,Hugo Miguel Almeida Costa Lopes,20064.0,Right Back,48,Granada,1049,['04daf1b5-ebc6-4f0c-a2f9-cca284b84890'],28,,,,,,,,,,,,,,,,,Granada,1049,00:26:28.959,Pass,
,,,,,,,,,,,,,,,,2.529491,,,,,,,,,,,,,,a385260e-b049-418e-8d6e-db82926b6aad,958,,"[79.7, 74.4]",3825826,26,,,,True,0.23489836,,,,,,"[103.1, 80.0]",High Pass,,24.060757,,,Out,,,,,,,,,,1,From Throw In,Isaac Ajayi Success,6918.0,Right Wing,48,Granada,1049,['7d702ae1-cc38-4a80-bf18-bc0df0eb02c0'],30,,,,,,,,,,,,,,,,,Granada,1049,00:26:30.943,Pass,True
,,,,,,,,,,,,,,,,1.73791,,,,,,,,,,,,,,ab75fdb0-01b8-4fcc-8b50-0ffe6bbe9318,959,,"[23.2, 0.1]",3825826,27,,,,,0.42260787,,,,,,"[40.1, 7.7]",High Pass,,18.530245,,,,,Roque Luis Santa Cruz Cantero,26783.0,,,,,,Throw-in,1,From Throw In,Federico Ricca Rostagnol,6844.0,Left Back,49,Málaga,223,['e9e72d75-a3de-4002-9603-c8ce712d2a20'],3,,,,,,,,,,,,,,,,,Málaga,223,00:27:03.473,Pass,
,,,,,,,,,,,,,,,,1.388861,,,,,,,,,,,,,,f60271d3-8c26-4698-b46d-2c0cc65e79d6,962,,"[40.1, 7.7]",3825826,27,,,,,0.38416937,,Right Foot,,,,"[49.5, 11.5]",High Pass,,10.139033,,,,,Duje Čop,8419.0,,,,,,,1,From Throw In,Roque Luis Santa Cruz Cantero,26783.0,Right Center Forward,49,Málaga,223,['b2b07bf5-4f03-44af-b84e-2b1741fa7f6b'],5,,,,,,,,,,,,,,,,,Málaga,223,00:27:05.220,Pass,
,,,,,,,,,,,,,,,,2.99579,,,,,,,,,,,,,,fb3c7b7d-5ffd-452c-8b43-cfd2354653f4,966,,"[49.9, 11.6]",3825826,27,,,,,0.56789947,,Right Foot,,,,"[72.0, 25.7]",Ground Pass,,26.214882,,,Incomplete,,Juan Pablo Añor Acosta,6563.0,,,,,,,1,From Throw In,Duje Čop,8419.0,Left Center Forward,49,Málaga,223,"['127f8294-18e4-480b-a6b7-d5b63c49a739', '51cdde45-4405-4de2-b4f9-40af50d58c16', 'dc43d768-f182-4b21-8b13-3d3cf9815c78']",6,,,,,,,,,,,,,,,,,Málaga,223,00:27:06.656,Pass,True
,,,,,,,,,,,,,,,,2.912897,,,,,,,,,,,,,,dc43d768-f182-4b21-8b13-3d3cf9815c78,968,,"[48.1, 54.4]",3825826,27,,,,,-2.909105,,Left Foot,,,,"[12.2, 45.9]",Ground Pass,,36.892548,,,,,Andrés Eduardo Fernández Moreno,8697.0,,,,,,Recovery,1,Regular Play,Cristiano Biraghi,7158.0,Left Back,50,Granada,1049,"['e200a394-da6b-43ee-9c9b-794afda04370', 'fb3c7b7d-5ffd-452c-8b43-cfd2354653f4']",9,,,,,,,,,,,,,,,,,Granada,1049,00:27:09.652,Pass,
