ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,29d3aa4f-c85a-48a2-862c-c702baeec666,1,,,,3825860,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6787, 'name': 'Pedro López Muñoz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 27656, 'name': 'Carl Medjani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 26012, 'name': 'David Navarro Pedrós'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 27463, 'name': 'Mauricio Andrés Cuero Castillo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 26211, 'name': 'Joan Verdú Fernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 23791, 'name': 'Víctor Casadesús Castaño'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Levante UD,221,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0ae96530-f714-4b0c-8a78-c0b864bc2f33,2,,,,3825860,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6376, 'name': 'Stefan Savić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 19668, 'name': 'Augusto Matías Fernández'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 6}, {'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 6382, 'name': 'Fernando José Torres Sanz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6377, 'name': 'Ángel Martín Correa'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 16}]}",Atlético Madrid,212,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,59f44d94-2b94-4347-8fb6-37dd4e34de93,3,,,,3825860,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['00131b7d-a4cb-4161-8cdd-dcb0472f84ff'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,00131b7d-a4cb-4161-8cdd-dcb0472f84ff,4,,,,3825860,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['59f44d94-2b94-4347-8fb6-37dd4e34de93'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,85e1f61b-f2e4-4f65-b872-c00b0ebec2c7,2016,,,,3825860,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,94,Atlético Madrid,212,['f572a700-261a-42a7-997a-5bf87f851a6d'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f572a700-261a-42a7-997a-5bf87f851a6d,2017,,,,3825860,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,94,Atlético Madrid,212,['85e1f61b-f2e4-4f65-b872-c00b0ebec2c7'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.58828,,,,,,,,,,,,,977764b3-c5b0-4eaf-b7b8-3f418285b520,5,,,"[60.0, 40.0]",3825860,0,,,,1.8692952,,Right Foot,,,,"[59.2, 42.6]",,Ground Pass,,2.720294,,,,Víctor Casadesús Castaño,23791.0,,,,,Kick Off,1,From Kick Off,Joan Verdú Fernández,26211.0,Center Attacking Midfield,2,Levante UD,221,['6412e941-6745-47b8-a810-4f84503c556c'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.497,Pass,
,,,,,,,,,,,,,,,0.970059,,,,,,,,,,,,,279ddf04-d6e6-4afa-a7f8-52af73b8f25a,7,,,"[59.0, 42.8]",3825860,0,,,,-2.9035463,,Right Foot,,,,"[45.4, 39.5]",,Ground Pass,,13.994642,,,,José Antonio García Rabasco,24149.0,,,,,,1,From Kick Off,Víctor Casadesús Castaño,23791.0,Center Forward,2,Levante UD,221,['c08bbec0-b38d-4014-aa97-4c270d891b3a'],1,,,,,,,,,,,,,,,,,Levante UD,221,00:00:01.085,Pass,
,,,,,,,,,,,,,,,2.114089,,,,,,,,,,,,,27fd8f3f-6d8e-43c5-8231-4719672b8ecb,10,,,"[45.2, 34.5]",3825860,0,,,,-1.7021117,,Right Foot,,,,"[42.4, 13.3]",,Ground Pass,,21.384106,,,,Juan Francisco García García,26023.0,,,,,,1,From Kick Off,José Antonio García Rabasco,24149.0,Right Defensive Midfield,2,Levante UD,221,['449d22ec-092b-4ee7-b372-3b69f3f62d1e'],2,,,,,,,,,,,,,,,,,Levante UD,221,00:00:02.827,Pass,
,,,,,,,,,,,,,,,3.161219,,,,,,,,,,,,,c445aed2-618e-430c-baa6-b56b341eb8a5,13,,,"[45.2, 10.2]",3825860,0,,,,0.3426633,,Left Foot,,,,"[97.9, 29.0]",,High Pass,,55.952927,,,,Víctor Casadesús Castaño,23791.0,,,,,,1,From Kick Off,Juan Francisco García García,26023.0,Left Back,2,Levante UD,221,['33b51abb-6980-4d2f-a21a-c9c437b4b63b'],6,,,,,,,,,,,,,,,,,Levante UD,221,00:00:06.581,Pass,
