bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b97077e2-4035-4988-8739-b74b7c7bacbd,1,,,3825854,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26633, 'name': 'Alberto Lora Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8818, 'name': 'Jorge Meré Pérez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 24263, 'name': 'Ismael López Blanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 13107, 'name': 'Sergio Álvarez Díaz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 18925, 'name': 'Ignacio Cases Mora'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 23848, 'name': 'Carlos Carmona Bonet'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 6880, 'name': 'Arnaldo Antonio Sanabria Ayala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,759ea08a-c8c9-453a-8c5f-90972a1b854d,2,,,3825854,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 6837, 'name': 'Mauro Javier Dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6675, 'name': 'Antonio Manuel Luna Rodríguez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 9462, 'name': 'José Ignacio Peleteiro Ramallo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 6557, 'name': 'Adrián González Morales'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 9403, 'name': 'Izet Hajrović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Eibar,322,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9ee7be9c-2992-4c0b-b660-9a1ae794de00,3,,,3825854,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['66fd9f3a-0763-47a6-9b98-b0eff6a364fa'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,66fd9f3a-0763-47a6-9b98-b0eff6a364fa,4,,,3825854,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['9ee7be9c-2992-4c0b-b660-9a1ae794de00'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8cb467a6-4e60-4dbb-8940-6c7f53cbd6eb,1733,,,3825854,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Eibar,322,['e5657215-e178-4102-a9c1-df5702d1e9d5'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e5657215-e178-4102-a9c1-df5702d1e9d5,1734,,,3825854,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Eibar,322,['8cb467a6-4e60-4dbb-8940-6c7f53cbd6eb'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.969816,,,,,,,,,,,,,,e845ce1b-e88b-4cb5-ba80-c007aeb309be,5,,"[61.0, 40.1]",3825854,0,,,,,2.639686,,Right Foot,,,,"[52.8, 44.6]",,Ground Pass,,9.353609,,,Sergio Álvarez Díaz,13107.0,,,,,Kick Off,1,From Kick Off,Alen Halilović,6926.0,Center Attacking Midfield,2,Sporting Gijón,1041,['bb6f1e85-aef0-46c3-87f8-136d1d24592a'],5,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:05.204,Pass,
,,,,,,,,,,,,,,,,2.13133,,,,,,,,,,,,,,4d177b3b-9f5e-4917-b43f-7c38cdb26162,8,,"[53.0, 44.4]",3825854,0,,,,,-0.7121031,,Right Foot,,,,"[83.7, 17.9]",,High Pass,,40.555393,Incomplete,,Jonathan Rodríguez Menéndez,6581.0,,,,,,1,From Kick Off,Sergio Álvarez Díaz,13107.0,Right Defensive Midfield,2,Sporting Gijón,1041,"['4f36fae4-aaaa-410b-b471-ad4615e13d8e', '5fb4c805-0990-4935-a4e8-706d5e8998c0']",7,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:07.214,Pass,
,,,,,,,,,,,,,,,,0.323918,,,,,,,,,,,,,,64b5daec-f11b-40df-a0f0-0d4738e579da,11,,"[64.8, 10.7]",3825854,0,,,,,0.9723774,,Left Foot,,,,"[70.8, 19.5]",,Ground Pass,,10.650822,,,Ignacio Cases Mora,18925.0,,,,,Recovery,1,From Kick Off,Ismael López Blanco,24263.0,Left Back,2,Sporting Gijón,1041,['ef08051b-8931-434f-b30e-02ae312ddb7d'],11,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:11.221,Pass,
,,,,,,,,,,,,,,,,0.040662,,,,,,,,,,,,,,3527e9db-7617-4289-873c-c6d0d9a6b9a6,15,,"[71.6, 20.3]",3825854,0,,,,,-2.1815224,,Right Foot,,,,"[70.2, 18.3]",,Ground Pass,,2.4413111,Incomplete,,,,,,,,,1,From Kick Off,Ignacio Cases Mora,18925.0,Left Defensive Midfield,2,Sporting Gijón,1041,"['c0257f7e-8b88-4a45-8b65-7b41a9724f83', 'f4934916-4c1d-44b1-985a-3676cd31b9a4']",12,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:12.305,Pass,True
