ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7fde2bcf-09ca-4312-934f-e0397e77f66b,1,,,3825843,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5577, 'name': 'Francisco Guillermo Ochoa Magaña'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6727, 'name': 'Raúl Albentosa Redal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6844, 'name': 'Federico Ricca Rostagnol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8234, 'name': 'Ignacio Camacho Barnola'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6563, 'name': 'Juan Pablo Añor Acosta'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 28}, {'player': {'id': 6740, 'name': 'Gonzalo Castro Irizábal'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 8419, 'name': 'Duje Čop'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Málaga,223,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f3ef2268-69e7-4b72-9fc4-c7ae38994187,2,,,3825843,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 24255, 'name': 'Juan Carlos Martín Corral'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 24138, 'name': 'Joaquín José Marín Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 26222, 'name': 'José Eduardo Rosa Vale de Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 26607, 'name': 'José Raúl Baena Urdiales'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 11539, 'name': 'Adrián Embarba Blázquez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 26685, 'name': 'Nicolás Ladislao Fedor Flores'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 11542, 'name': 'Javier Guerra Rodríguez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4290245b-511f-4383-a7dd-c9a82abc3aab,3,,,3825843,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['0e43e5ee-79aa-4fae-b3f9-0018180362da'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0e43e5ee-79aa-4fae-b3f9-0018180362da,4,,,3825843,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['4290245b-511f-4383-a7dd-c9a82abc3aab'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,72cccb69-0b6f-43ca-9333-c0bcc5a42f34,1624,,,3825843,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Rayo Vallecano,360,['9c0d7645-d263-47ae-8986-e2e1ba89713b'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9c0d7645-d263-47ae-8986-e2e1ba89713b,1625,,,3825843,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Rayo Vallecano,360,['72cccb69-0b6f-43ca-9333-c0bcc5a42f34'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.447729,,,,,,,,,,,,,,15b16e9c-d7bb-49a3-9c7c-fc892f532570,5,,"[60.0, 40.0]",3825843,0,,True,,,1.8313987,,Right Foot,,,"[59.6, 41.5]",,Ground Pass,,1.5524175,,,,,Charles Días Barbosa de Oliveira,6707.0,,,,Kick Off,1,From Kick Off,Duje Čop,8419.0,Left Center Forward,2,Málaga,223,['bc3afa0f-eeb4-4f06-9070-c052e312c7dc'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.879,Pass,
,,,,,,,,,,,,,,,3.180933,,,,,,,,,,,,,,fed37f7d-cbf9-4476-91ca-c1464cbb183a,7,,"[58.2, 41.2]",3825843,0,,,,,-2.9665086,,Right Foot,,,"[30.5, 36.3]",,Ground Pass,,28.130054,,,,,Weligton Róbson Pena de Oliveira,26669.0,,,,,1,From Kick Off,Charles Días Barbosa de Oliveira,6707.0,Right Center Forward,2,Málaga,223,['9ed13056-2874-4d8c-a0f1-786f459e1a2f'],1,,,,,,,,,,,,,,,,,,Málaga,223,00:00:01.529,Pass,
,,,,,,,,,,,,,,,3.323014,,,,,,,,,,,,,,fe05b221-556f-4f8d-b91f-1ea91a984915,10,,"[30.9, 37.1]",3825843,0,,,,,0.15346014,,Right Foot,,,"[86.5, 45.7]",,High Pass,,56.261177,,,Incomplete,,Duje Čop,8419.0,,,,,1,From Kick Off,Weligton Róbson Pena de Oliveira,26669.0,Left Center Back,2,Málaga,223,"['b36052ce-d89f-4c53-9c44-648561d9d4b0', 'bcf2f6a2-e18b-4777-9861-bf4fa74cb202']",4,,,,,,,,,,,,,,,,,,Málaga,223,00:00:04.790,Pass,
,,,,,,,,,,,,,,,0.969364,,,,,,,,,,,,,,c6964b10-4f60-4408-8c46-d44c50aecdb2,15,,"[45.9, 43.0]",3825843,0,,,,,1.6799498,,Right Foot,,,"[45.1, 50.3]",,Ground Pass,,7.3437047,,,,,Pablo Hernández Domínguez,4711.0,,,,Recovery,1,Regular Play,José Raúl Baena Urdiales,26607.0,Right Defensive Midfield,3,Rayo Vallecano,360,"['3793a15f-88aa-4597-8ed6-f218b14c598d', 'd3a3328e-1127-4665-805f-5dbdbcd7e686']",10,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:10.071,Pass,True
,,,,,,,,,,,,,,,1.317985,,,,,,,,,,,,,,1a4495bf-a982-4163-a9eb-54cdd44f40c1,18,,"[45.1, 50.6]",3825843,0,,,,,0.49598134,,Right Foot,,,"[59.7, 58.5]",,Low Pass,,16.600302,,,,,Javier Guerra Rodríguez,11542.0,,,,,1,Regular Play,Pablo Hernández Domínguez,4711.0,Right Midfield,3,Rayo Vallecano,360,['537cd8fd-27b7-40a7-859f-c781fc2d57bf'],12,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:12.178,Pass,
,,,,,,,,,,,,,,,0.677971,,,,,,,,,,,,,,75bd517d-74cf-4bdb-b053-64efd8f30d48,22,,"[65.0, 64.3]",3825843,0,,,,,-0.63274884,,Right Foot,,,"[74.0, 57.7]",,Ground Pass,,11.1606455,,,,,Nicolás Ladislao Fedor Flores,26685.0,,,,,1,Regular Play,Javier Guerra Rodríguez,11542.0,Left Center Forward,3,Rayo Vallecano,360,['cf0c32c2-26d8-492d-b6f4-54ed71ec4f51'],15,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:15.118,Pass,
,,,,,,,,,,,,,,,1.081771,,,,,,,,,,,,,,0207511c-615b-4cdc-91d3-a96076e89c3a,26,,"[71.8, 58.5]",3825843,0,,,,,-2.0928879,,Right Foot,,,"[67.6, 51.2]",,Ground Pass,,8.421995,,,Incomplete,,Roberto Trashorras Gayoso,26848.0,,,,,1,Regular Play,Nicolás Ladislao Fedor Flores,26685.0,Right Center Forward,3,Rayo Vallecano,360,"['244fa39b-92f1-4c9d-9de0-8b69ebe6a76f', 'c9e3d368-d7d2-44df-869f-4d10456bcd8c', 'ee6c41f2-1ced-4c78-81ad-397545cc01d8']",16,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:16.019,Pass,True
,,,,,,,,,,,,,,,0.132507,,,,,,,,,,,,,,244fa39b-92f1-4c9d-9de0-8b69ebe6a76f,28,,"[52.5, 28.9]",3825843,0,,,,,-1.9359977,,Left Foot,,,"[51.2, 25.5]",,Ground Pass,,3.640055,,,Incomplete,,,,,,,Recovery,1,Regular Play,Juan Pablo Añor Acosta,6563.0,Right Midfield,3,Rayo Vallecano,360,"['0207511c-615b-4cdc-91d3-a96076e89c3a', 'b052c61f-727f-48b7-ae4e-6a6faddb2be9']",17,,,,,,,,,,,,,,,,,,Málaga,223,00:00:17.101,Pass,
