ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f08f563e-4435-42ad-924f-71efe0f3a8d4,1,,,3825656,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6730, 'name': 'Rubén Iván Martínez Andrade'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6787, 'name': 'Pedro López Muñoz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 26012, 'name': 'David Navarro Pedrós'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6784, 'name': 'Antonio García Aranda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6659, 'name': 'Víctor Camarasa Ferrando'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 23943, 'name': 'Rubén García Santos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 6684, 'name': 'Roger Martí Salvador'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Levante UD,221,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fc2c4790-3868-469e-b0e8-382f38b7bb25,2,,,3825656,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 27305, 'name': 'Germán Darío Lux'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23800, 'name': 'Laureano Sanabria Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 6869, 'name': 'Alejandro Arribas Garrido'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5582, 'name': 'Celso Borges Mora'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6733, 'name': 'Pedro Mosquera Parada'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6728, 'name': 'Federico Nicolás Cartabia'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5724, 'name': 'Fayçal Fajr'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 25997, 'name': 'Jonás Manuel Gutiérrez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 24}, {'player': {'id': 6732, 'name': 'Lucas Pérez Martínez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,09fdcb02-4488-45b6-b186-96aa95d09450,3,,,3825656,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['be414a40-a373-41c2-881f-1e49550043a0'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,be414a40-a373-41c2-881f-1e49550043a0,4,,,3825656,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['09fdcb02-4488-45b6-b186-96aa95d09450'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,84372f21-0cd4-409b-8093-1515b4fc76c7,1658,,,3825656,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,89,Levante UD,221,['fcd0c4f3-f1a7-4e60-a250-11b88f333bac'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fcd0c4f3-f1a7-4e60-a250-11b88f333bac,1659,,,3825656,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,89,Levante UD,221,['84372f21-0cd4-409b-8093-1515b4fc76c7'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,2.696408,,,,,,,,,,,,,b2d1e3ea-f197-49c4-9a03-82048837e7ba,5,,"[60.0, 40.0]",3825656,0,,True,,,-2.6599913,,Right Foot,,,"[31.3, 25.0]",,Ground Pass,,32.383484,,,Zouhair Feddal,6647.0,,,,,,Kick Off,1,From Kick Off,Roger Martí Salvador,6684.0,Center Forward,2,Levante UD,221,['6ae225f1-14ea-460d-9361-b2d930654fe8'],1,,,,,,,,,,,,,,,,,Levante UD,221,00:00:01.003,Pass,
,,,,,,,,,,,,,,,1.362254,,,,,,,,,,,,,e281fdc3-c57d-4bac-b40b-7e9792051403,7,,"[34.8, 24.2]",3825656,0,,,,,1.8299836,,Left Foot,,,"[31.3, 37.4]",,Ground Pass,,13.656135,,,David Navarro Pedrós,26012.0,,,,,,,1,From Kick Off,Zouhair Feddal,6647.0,Left Center Back,2,Levante UD,221,['a1fcaf7a-2dd7-4eba-bf00-bf728002ea8e'],4,,,,,,,,,,,,,,,,,Levante UD,221,00:00:04.451,Pass,
,,,,,,,,,,,,,,,1.850988,,,,,,,,,,,,,612901b3-6b8e-4097-95d0-76884945c58b,10,,"[27.2, 35.6]",3825656,0,,,,,-1.3865464,,Right Foot,,,"[31.3, 13.6]",,Ground Pass,,22.378784,,,Zouhair Feddal,6647.0,,,,,,,1,From Kick Off,David Navarro Pedrós,26012.0,Right Center Back,2,Levante UD,221,['0f8a6968-3254-4b3d-a39d-3bd2aefe4409'],8,,,,,,,,,,,,,,,,,Levante UD,221,00:00:08.093,Pass,
,,,,,,,,,,,,,,,3.894623,,,,,,,,,,,,,2ddc28e6-0554-4cfb-bcb3-8c143a12454f,14,,"[40.0, 5.8]",3825656,0,,,,,0.3643163,,Left Foot,,,"[89.3, 24.6]",,High Pass,,52.762962,Incomplete,,Rubén García Santos,23943.0,,,,,,,1,From Kick Off,Zouhair Feddal,6647.0,Left Center Back,2,Levante UD,221,"['09359c00-cb66-41ef-bc4f-c1143a63a5fe', '26b17b75-2c6f-4871-9c6b-f55e83180149', 'f53f66ea-f7d3-48a5-ac88-e823de36f1de']",13,,,,,,,,,,,,,,,,,Levante UD,221,00:00:13.437,Pass,True
