50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7d317533-6df9-41ab-8f72-3c9e90735073,1,,,3825754,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 7906, 'name': 'David Simón Rodríguez Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6927, 'name': 'David García Santana'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 24144, 'name': 'Ángel Montoro Sánchez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 6721, 'name': 'Willian José da Silva'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Las Palmas,208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ae38f003-42ee-41f4-baa1-a491bb7cf7da,2,,,3825754,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 7577, 'name': 'Carles Planas Antolínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6796, 'name': 'Nemanja Radoja'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6600, 'name': 'Claudio Beauvue'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 23785, 'name': ""Théo Bongonda Mbul''Ofeko Batombo""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Celta Vigo,209,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,25e3c9f6-f668-4bdd-8033-438889f7fa3d,3,,,3825754,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['43a73aee-85eb-4e83-8743-5a9d9f9d3d8c'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,43a73aee-85eb-4e83-8743-5a9d9f9d3d8c,4,,,3825754,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['25e3c9f6-f668-4bdd-8033-438889f7fa3d'],0,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cbfd3618-17eb-4a73-b328-fcb895406da3,1485,,,3825754,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,108,Las Palmas,208,['743c5378-baba-423b-a095-075f751bc208'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,743c5378-baba-423b-a095-075f751bc208,1486,,,3825754,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,108,Las Palmas,208,['cbfd3618-17eb-4a73-b328-fcb895406da3'],0,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.601352,,,,,,,,,,,,,,,792091c3-e25d-4fb7-8e49-5d6fc48f51b3,5,,"[61.0, 40.1]",3825754,0,,True,,,-2.0542433,,Right Foot,,"[58.9, 36.1]",,Ground Pass,,4.5177426,,,,,Fabián Ariel Orellana Valenzuela,7105.0,,,,,Kick Off,1,From Kick Off,Iago Aspas Juncal,5217.0,Center Forward,2,Celta Vigo,209,['c152a54e-c138-49bf-a222-e2fddfdee2c9'],0,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.660,Pass,
,,,,,,,,,,,,,,,,,2.023149,,,,,,,,,,,,,,,53252a3e-8107-49b9-b155-4e5dc9caeb76,7,,"[55.7, 37.2]",3825754,0,,True,,,-2.6870773,,Right Foot,,"[29.3, 24.3]",,Ground Pass,,29.383158,,,,,Gustavo Daniel Cabral Cáceres,6794.0,,,,,,1,From Kick Off,Fabián Ariel Orellana Valenzuela,7105.0,Center Attacking Midfield,2,Celta Vigo,209,['a7c0250f-5c33-4bb2-9f8f-82870ff41dfe'],1,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:01.918,Pass,
,,,,,,,,,,,,,,,,,2.449347,,,,,,,,,,,,,,,b9fd65d9-474e-4328-8669-9b65d336519f,9,,"[28.5, 22.4]",3825754,0,,,,,0.13165413,,Left Foot,,"[72.3, 28.2]",,High Pass,,44.18235,,,Incomplete,,Iago Aspas Juncal,5217.0,,,,,,1,From Kick Off,Gustavo Daniel Cabral Cáceres,6794.0,Left Center Back,2,Celta Vigo,209,"['5bd10add-62c7-415f-8eaf-029aca9826ca', '736650b6-0856-4ba9-bddd-0d7b9b85c29a']",5,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:05.523,Pass,
,,,,,,,,,,,,,,,,,1.329367,,,,,,,,,,,,,,,736650b6-0856-4ba9-bddd-0d7b9b85c29a,11,,"[47.8, 51.9]",3825754,0,,,,,0.7195907,,Right Foot,,"[66.4, 68.2]",,Low Pass,,24.731558,,,Incomplete,,Mubarak Wakaso,6626.0,,,,,Interception,1,From Kick Off,David García Santana,6927.0,Right Center Back,2,Celta Vigo,209,"['698671d1-2791-4503-b408-7ecd5ac3e12d', 'a5cef2f1-f1a2-4793-886a-24e4afc6512b', 'b9fd65d9-474e-4328-8669-9b65d336519f']",7,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:07.973,Pass,
,,,,,,,,,,,,,,,,,2.749131,,,,,,,,,,,,,,,a5cef2f1-f1a2-4793-886a-24e4afc6512b,13,,"[53.7, 11.9]",3825754,0,,,,,1.1140181,,Left Foot,,"[73.8, 52.8]",,High Pass,,45.57214,,,Incomplete,,Claudio Beauvue,6600.0,,True,,,Interception,1,From Kick Off,Carles Planas Antolínez,7577.0,Left Back,2,Celta Vigo,209,"['0720b8e1-eceb-43c5-b51e-af7ae5a31812', '51680e80-827b-4cfd-b095-4d690c378984', '736650b6-0856-4ba9-bddd-0d7b9b85c29a']",9,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:09.302,Pass,
,,,,,,,,,,,,,,,,,0.868793,,,,,,,,,,,,,,,51680e80-827b-4cfd-b095-4d690c378984,15,,"[46.3, 27.3]",3825754,0,,,,,1.3463804,,Left Foot,,"[48.4, 36.5]",,Low Pass,,9.436631,,,,,Roque Mesa Quevedo,3610.0,,,,,Recovery,1,Regular Play,Dani Castellano Betancor,6932.0,Left Back,3,Las Palmas,208,"['a5cef2f1-f1a2-4793-886a-24e4afc6512b', 'fd7fef5c-0f0a-47d0-831b-87179933eeb0']",12,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:12.051,Pass,
,,,,,,,,,,,,,,,,,3.315377,,,,,,,,,,,,,,,b2812c35-ff4f-435d-bb78-2256c538114e,19,,"[47.3, 30.9]",3825754,0,,,,,2.9601014,,Right Foot,,"[9.7, 37.8]",,Ground Pass,,38.22787,,,,,Javier Varas Herrera,26753.0,,,,,,1,Regular Play,Roque Mesa Quevedo,3610.0,Left Defensive Midfield,3,Las Palmas,208,['b4109322-a8ba-46c5-ae92-ab54f4301c56'],13,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:13.481,Pass,
,,,,,,,,,,,,,,,,,2.893269,,,,,,,,,,,,,,,1e679314-ba8e-4e0d-8b80-afc2f6a2c6e4,22,,"[12.0, 33.1]",3825754,0,,,,,0.04454416,,Left Foot,,"[63.6, 35.4]",,High Pass,,51.651234,,,,,Jonathan Viera Ramos,10755.0,,,,,,1,Regular Play,Javier Varas Herrera,26753.0,Goalkeeper,3,Las Palmas,208,['15b20a39-af21-463f-986f-3ebb8749e126'],18,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:18.891,Pass,
,,,,,,,,,,,,,,,,,2.283816,,,,,,,,,,,,,,,19ad2405-62cf-469b-ac33-786085fdfe3d,25,,"[64.7, 35.4]",3825754,0,,,,,0.86768615,,Right Foot,,"[73.6, 45.9]",,Low Pass,,13.764447,,,Incomplete,,,,,,,,,1,Regular Play,Jonathan Viera Ramos,10755.0,Left Wing,3,Las Palmas,208,['81afe061-94e1-463b-a138-a3abafb83730'],21,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:21.857,Pass,
,,,,,,,,,,,,,,,,,0.964799,,,,,,,,,,,,,,,81afe061-94e1-463b-a138-a3abafb83730,26,,"[46.5, 34.2]",3825754,0,,,,,-2.2867095,,Right Foot,,"[33.8, 19.6]",,Ground Pass,,19.35071,,,,,Carles Planas Antolínez,7577.0,,,,,Recovery,1,Regular Play,Nemanja Radoja,6796.0,Left Defensive Midfield,3,Las Palmas,208,"['19ad2405-62cf-469b-ac33-786085fdfe3d', '613b161f-d985-4519-8d0f-625ca48ca4a9']",24,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:24.141,Pass,
,,,,,,,,,,,,,,,,,2.444119,,,,,,,,,,,,,,,26dde9b3-dedf-411f-89a6-39f95f9f5887,29,,"[32.6, 11.3]",3825754,0,,,,,0.034390107,,Left Foot,,"[76.2, 12.8]",,High Pass,,43.625793,,,Incomplete,,,,,,,,,1,Regular Play,Carles Planas Antolínez,7577.0,Left Back,3,Las Palmas,208,['121a0207-dbb8-40ab-a773-7bc9e0d27f97'],27,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:27.351,Pass,
,,,,,,,,,,,,,,,,,1.382249,,,,,,,,,,,,,,,bc8010ae-0f09-4897-83b7-8add65155b9e,32,,"[49.0, 68.2]",3825754,0,,,,,0.18261169,,Right Foot,,"[77.7, 73.5]",,Ground Pass,,29.18527,,,Incomplete,,Mubarak Wakaso,6626.0,,,,,,1,Regular Play,David García Santana,6927.0,Right Center Back,3,Las Palmas,208,"['95404ca9-3fd8-45b6-8995-4357af1c71f4', 'db6d144a-271e-412d-a55b-a512db4be739']",31,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:31.853,Pass,
,,,,,,,,,,,,,,,,,1.028324,,,,,,,,,,,,,,,4e8b659e-95c8-47bf-b6a4-be100dc92338,37,,"[45.0, 6.2]",3825754,0,,,,,0.38812688,,Left Foot,,"[65.3, 14.5]",,High Pass,,21.931255,,,Incomplete,,,,,,,,,1,Regular Play,Carles Planas Antolínez,7577.0,Left Back,3,Las Palmas,208,['4f0bf3c5-61df-48b7-919e-90a1f7658225'],35,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:35.127,Pass,
,,,,,,,,,,,,,,,,,0.198324,,,,,,,,,,,,,,,a91e6f5d-c953-4856-83a3-d1a5dabb7a1a,42,,"[55.7, 67.3]",3825754,0,,,,,1.9222411,,Right Foot,,"[54.6, 70.3]",,Ground Pass,,3.1953092,,,Incomplete,,David Simón Rodríguez Santana,7906.0,,,,,,1,Regular Play,Ángel Montoro Sánchez,24144.0,Right Defensive Midfield,3,Las Palmas,208,"['64de27e2-10a7-4ab3-bb8b-1d6c7eb4a888', 'b38131cb-286c-412e-a654-68782a045a39', 'fb3de8a0-253a-430c-a0f9-09e6b5b6f2b3']",37,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:37.149,Pass,True
