50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,633b9c75-ab22-44c5-943f-022127c0aca6,1,,,3825662,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 27305, 'name': 'Germán Darío Lux'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6738, 'name': 'Juan Francisco Moreno Fuertes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6869, 'name': 'Alejandro Arribas Garrido'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 23806, 'name': 'Alejandro Bergantiños García'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6733, 'name': 'Pedro Mosquera Parada'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 25921, 'name': 'Rubén Gracia Calmache'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 6}, {'player': {'id': 6732, 'name': 'Lucas Pérez Martínez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 6734, 'name': 'Luis Carlos Correia Pinto'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 26288, 'name': 'Jonathan Javier Rodríguez Portillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,932e451b-476f-47c0-a4d9-df85303ea75a,2,,,3825662,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 6890, 'name': 'Andreu Fontàs Prat'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 19668, 'name': 'Augusto Matías Fernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Celta Vigo,209,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d9b12d22-d2be-41c8-88aa-138244da136b,3,,,3825662,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,['46329a10-de69-4d4a-8c35-009f26a23be3'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,46329a10-de69-4d4a-8c35-009f26a23be3,4,,,3825662,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,['d9b12d22-d2be-41c8-88aa-138244da136b'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,956a4910-8c28-4420-b1f3-a2c004a15c90,1653,,,3825662,45,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Celta Vigo,209,['3b84890c-63d0-47d6-9cc3-10a554b13586'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3b84890c-63d0-47d6-9cc3-10a554b13586,1654,,,3825662,45,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Celta Vigo,209,['956a4910-8c28-4420-b1f3-a2c004a15c90'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.082106,,,,,,,,,,,,,,,a694d16b-e98f-4f7e-a01c-24c3faba2ed0,5,,"[60.0, 40.0]",3825662,0,,,,,-2.0344439,,Right Foot,,"[59.0, 38.0]",Ground Pass,,2.236068,,,Pedro Pablo Hernández,6801.0,,,,,Kick Off,1,From Kick Off,Iago Aspas Juncal,5217.0,Center Forward,2,Celta Vigo,209,['347b7f58-aa6b-4611-875c-99544bb9b7f4'],1,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:01.347,Pass,
,,,,,,,,,,,,,,,,,1.516948,,,,,,,,,,,,,,,14dd09ef-216c-496e-9319-08efc92cc2cd,8,,"[58.2, 38.6]",3825662,0,,,,,-2.7687569,,Left Foot,,"[33.4, 28.9]",Ground Pass,,26.629496,,,Andreu Fontàs Prat,6890.0,,,,,,1,From Kick Off,Pedro Pablo Hernández,6801.0,Center Attacking Midfield,2,Celta Vigo,209,['7cc54865-f4c5-49df-861f-77877d09791a'],2,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:02.175,Pass,
,,,,,,,,,,,,,,,,,3.266643,,,,,,,,,,,,,,,0daa9d2a-7900-4758-9f02-919c98daa2e4,11,,"[33.4, 28.9]",3825662,0,,,,,0.4117462,,Left Foot,,"[80.8, 49.6]",High Pass,,51.72282,Incomplete,,,,,,,,,1,From Kick Off,Andreu Fontàs Prat,6890.0,Left Center Back,2,Celta Vigo,209,['2182f071-692b-4a19-9b62-932e9cd33732'],5,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:05.993,Pass,
,,,,,,,,,,,,,,,,,2.223235,,,,,,,,,,,,,,,34c55b39-32d8-4bea-8511-71dfe16f71b4,14,,"[64.9, 41.7]",3825662,0,,,,,0.15851027,,Head,,"[91.8, 46.0]",High Pass,,27.241512,Incomplete,,,,,,,,Recovery,1,From Kick Off,Augusto Matías Fernández,19668.0,Right Defensive Midfield,2,Celta Vigo,209,['22dd0d9f-2c8e-4809-a001-6c60856613d2'],10,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:10.550,Pass,
