50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8f9a2436-0f82-4d3b-a361-bac8e7a1ee54,1,,,3825594,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 21210, 'name': 'Mariano Ferreira Filho'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 7948, 'name': 'Marco Andreolli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 10476, 'name': 'Timothée Kolodziejczak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6672, 'name': 'Jorge Andújar Moreno'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5737, 'name': ""Steven N''Kemboanza Mike Christopher Nzonzi""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6841, 'name': 'Víctor Machín Pérez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 23816, 'name': 'José Antonio Reyes Calderón'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 6401, 'name': 'Kevin Gameiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sevilla,213,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,970cdbb6-4a15-43f2-a05b-4ff1441a6e05,2,,,3825594,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 19668, 'name': 'Augusto Matías Fernández'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Celta Vigo,209,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ec5ad7e3-064d-42e8-ac97-6cd1d4c271e4,3,,,3825594,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['0ea48136-ee2d-40d1-8ef8-6904315928b4'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0ea48136-ee2d-40d1-8ef8-6904315928b4,4,,,3825594,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['ec5ad7e3-064d-42e8-ac97-6cd1d4c271e4'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7c67c12c-a2dc-4a40-a024-0bcee65947de,1903,,,3825594,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Sevilla,213,['693399b6-a8b7-468a-8eff-12bee7f9dc17'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,693399b6-a8b7-468a-8eff-12bee7f9dc17,1904,,,3825594,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Sevilla,213,['7c67c12c-a2dc-4a40-a024-0bcee65947de'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.474323,,,,,,,,,,,,,fe20caac-4d97-4e2d-acca-926c736b8d6d,5,,"[61.0, 40.1]",3825594,0,,True,,,-2.946201,,Right Foot,,,"[41.8, 36.3]",,Ground Pass,,19.57243,,,,Steven N''Kemboanza Mike Christopher Nzonzi,5737.0,,,,,,Kick Off,1,From Kick Off,Éver Maximiliano David Banega,5504.0,Center Attacking Midfield,2,Sevilla,213,['efc1c85c-fa81-43ea-9562-cbca60eb4084'],1,,,,,,,,,,,,,,,,,Sevilla,213,00:00:01.127,Pass,
,,,,,,,,,,,,,,,,2.877736,,,,,,,,,,,,,7e2e686d-e503-489d-bc6a-4034adcad05e,7,,"[41.3, 36.6]",3825594,0,,,,,0.8670873,,Right Foot,,,"[72.7, 73.6]",,High Pass,,48.52793,,Incomplete,,Víctor Machín Pérez,6841.0,,,,,,,1,From Kick Off,Steven N''Kemboanza Mike Christopher Nzonzi,5737.0,Left Defensive Midfield,2,Sevilla,213,"['12ff581c-81a2-44b0-92ef-3bfbd34f8e44', '6d6f3d68-b672-40af-9d1a-587aa7b86122']",3,,,,,,,,,,,,,,,,,Sevilla,213,00:00:03.717,Pass,
,,,,,,,,,,,,,,,,1.371924,,,,,,,,,,,,,12ff581c-81a2-44b0-92ef-3bfbd34f8e44,10,,"[47.4, 6.5]",3825594,0,,,,True,-0.48312566,,,,,"[59.6, 0.1]",,High Pass,,13.776793,,Out,,,,,,,,,Interception,1,From Kick Off,Jonathan Castro Otto,6802.0,Left Back,2,Sevilla,213,"['7e2e686d-e503-489d-bc6a-4034adcad05e', '947be46d-10a4-4759-bed2-51e02a92eb5d']",6,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:06.595,Pass,True
,,,,,,,,,,,,,,,,2.032441,,,,,,,,,,,,,23ef9083-b085-45ec-839d-a61c35043aa7,11,,"[62.7, 80.0]",3825594,0,,True,,,-0.5904151,,,,,"[81.8, 67.2]",,Low Pass,,22.99239,,,,José Antonio Reyes Calderón,23816.0,,,,,,Throw-in,1,From Throw In,Mariano Ferreira Filho,21210.0,Right Back,3,Sevilla,213,['6e6c3674-6b02-4c9c-bcc2-1bfb7c456b1e'],16,,,,,,,,,,,,,,,,,Sevilla,213,00:00:16.644,Pass,
