bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,aa8c723e-f88a-43a8-93f6-cc257a734994,1,,,,3825833,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 6856, 'name': 'Carlos Martín Vigaray'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 27402, 'name': 'Álvaro Daniel Pereira Barragán'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 24035, 'name': 'Álvaro Vázquez García'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 23416, 'name': 'Stefan Šćepović'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 12}]}",Getafe,216,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c4df9bf6-7a0a-4993-9cb9-cde1948a1479,2,,,,3825833,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e2a3d349-62cc-4a41-a02a-a8a83e2f3fb6,3,,,,3825833,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['11d75565-9852-470e-8b04-96716fb3dccc'],0,,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,11d75565-9852-470e-8b04-96716fb3dccc,4,,,,3825833,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['e2a3d349-62cc-4a41-a02a-a8a83e2f3fb6'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,93a5c66d-a8ae-4d99-b103-6a1e18898e6f,1698,,,,3825833,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Real Madrid,220,['fcbddcbd-a66b-491b-8371-8a4d71bc502f'],0,,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fcbddcbd-a66b-491b-8371-8a4d71bc502f,1699,,,,3825833,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Real Madrid,220,['93a5c66d-a8ae-4d99-b103-6a1e18898e6f'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.408969,,,,,,,,,,,,,eca16220-30de-4a0a-bac6-b8756d8cabb9,5,,,"[60.0, 40.0]",3825833,0,True,,,-2.9584818,,Right Foot,,"[57.3, 39.5]",,Ground Pass,,2.745906,,,,Francisco Román Alarcón Suárez,4926.0,,,,,Kick Off,1,From Kick Off,Karim Benzema,19677.0,Center Forward,2,Real Madrid,220,['1b16938f-e260-427b-a6e0-6ca4ce18a061'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.638,Pass,
,,,,,,,,,,,,,,,,0.852006,,,,,,,,,,,,,216fb4de-53be-43e0-a14c-f6903d0b9bd7,7,,,"[56.1, 40.4]",3825833,0,,,,2.823255,,Right Foot,,"[47.3, 43.3]",,Ground Pass,,9.265528,,,,Toni Kroos,5574.0,,,,,,1,From Kick Off,Francisco Román Alarcón Suárez,4926.0,Right Center Midfield,2,Real Madrid,220,['5914ff9c-5d02-4afe-8359-8376bcd11060'],1,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:01.616,Pass,
,,,,,,,,,,,,,,,,1.344501,,,,,,,,,,,,,6081dc06-68d3-4cbd-9a3c-b46843d7cb0b,10,,,"[45.5, 44.4]",3825833,0,,,,1.601438,,Right Foot,,"[44.7, 70.5]",,Ground Pass,,26.112257,,,,Daniel Carvajal Ramos,5721.0,,,,,,1,From Kick Off,Toni Kroos,5574.0,Center Defensive Midfield,2,Real Madrid,220,['19c67be6-a69f-49e2-9d06-1d6bdb5b6c36'],3,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:03.626,Pass,
,,,,,,,,,,,,,,,,1.654092,,,,,,,,,,,,,4fcde4ad-87e1-4505-8d6a-a6f6bd07cfb5,13,,,"[43.0, 70.2]",3825833,0,,,,-2.4597192,,Right Foot,,"[26.0, 56.4]",,Ground Pass,,21.896118,,,,Kléper Laveran Lima Ferreira,20016.0,,,,,,1,From Kick Off,Daniel Carvajal Ramos,5721.0,Right Back,2,Real Madrid,220,['f130cff4-e81b-4827-b32a-1ad97b4ca873'],5,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:05.836,Pass,
