ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e921c995-843d-4c1d-bff9-85b2ccdf75c7,1,,,3825600,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 27184, 'name': 'Marcos Alberto Angeleri'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 27335, 'name': 'Arthur Etienne Boka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 19431, 'name': 'Fernando Damián Tissone'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6563, 'name': 'Juan Pablo Añor Acosta'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 28}, {'player': {'id': 25859, 'name': 'Sérgio Paulo Barbosa Valente'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 10868, 'name': 'Ricardo Jorge Luz Horta'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Málaga,223,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d8fb5fec-be0c-48d2-8a40-ec9493965dd2,2,,,3825600,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3379, 'name': 'Alphonse Areola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5588, 'name': 'Antonio Rukavina'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3324, 'name': 'Eric Bertrand Bailly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 27155, 'name': 'Bojan Jokić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6357, 'name': 'Jonathan dos Santos Ramírez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6783, 'name': 'Samuel García Sánchez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 6761, 'name': 'Leonardo Carrilho Baptistão'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 6735, 'name': 'Adrián López Álvarez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Villarreal,222,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b371a936-16f0-403b-afd7-925374d64fd8,3,,,3825600,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['fef08dc7-3640-40f6-8fb1-840876304a98'],0,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fef08dc7-3640-40f6-8fb1-840876304a98,4,,,3825600,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['b371a936-16f0-403b-afd7-925374d64fd8'],0,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f029ff51-45b1-4c9e-9fed-d2abbefd30e8,1674,,,3825600,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,Villarreal,222,['846de2d8-99ca-4ce3-9073-0d5ba560a562'],0,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,846de2d8-99ca-4ce3-9073-0d5ba560a562,1675,,,3825600,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,Villarreal,222,['f029ff51-45b1-4c9e-9fed-d2abbefd30e8'],0,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.639999,,,,,,,,,,,,,d32da87c-32b6-4910-8879-4f71b0c10319,5,,"[60.0, 40.0]",3825600,0,,,,,1.5208379,,Right Foot,,,,"[60.1, 42.0]",Ground Pass,,2.0024984,,,Sérgio Paulo Barbosa Valente,25859.0,,,,,,Kick Off,1,From Kick Off,Charles Días Barbosa de Oliveira,6707.0,Center Forward,2,Málaga,223,['5d39cf13-fcd3-436b-87ff-c353a8ecb1e5'],0,,,,,,,,,,,,,,,,Málaga,223,00:00:00.725,Pass,
,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,41179e42-4ac0-46ad-b0e2-e1e3e978853a,8,,"[55.0, 39.5]",3825600,0,,,,,2.7866063,,Left Foot,,,,"[43.4, 43.8]",Ground Pass,,12.371338,,,Fernando Damián Tissone,19431.0,,,,,,,1,From Kick Off,Sérgio Paulo Barbosa Valente,25859.0,Center Attacking Midfield,2,Málaga,223,['05ea322c-ccea-4d74-bd99-ff27dff4209b'],2,,,,,,,,,,,,,,,,Málaga,223,00:00:02.843,Pass,
,,,,,,,,,,,,,,0.879999,,,,,,,,,,,,,aee0cf6a-1bd8-441f-a563-956984183be9,11,,"[40.9, 46.6]",3825600,0,,,,,0.4519294,,Right Foot,,,,"[61.5, 56.6]",Ground Pass,,22.898909,,,Juan Pablo Añor Acosta,6563.0,,,,,,,1,From Kick Off,Fernando Damián Tissone,19431.0,Right Defensive Midfield,2,Málaga,223,['e472ca00-4cd2-42f3-ad88-21a22fc5af03'],4,,,,,,,,,,,,,,,,Málaga,223,00:00:04.803,Pass,
,,,,,,,,,,,,,,0.959997,,,,,,,,,,,,,08114526-0bbc-47f8-a820-f13d351ae760,14,,"[61.5, 56.6]",3825600,0,,,,,-2.1637988,,Left Foot,,,,"[58.4, 52.0]",Ground Pass,,5.5470715,,,Sérgio Paulo Barbosa Valente,25859.0,,,,,,,1,From Kick Off,Juan Pablo Añor Acosta,6563.0,Right Wing,2,Málaga,223,['2ee36101-ec76-49da-b5f5-d33e15c8525a'],5,,,,,,,,,,,,,,,,Málaga,223,00:00:05.763,Pass,
