50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c9381960-d468-49de-a2f1-85193aa4016f,1,,,,3825612,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6614, 'name': 'Alexis Ruano Delgado'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 26941, 'name': 'Francisco Javier García Noblejas Hernanz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 27}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6736, 'name': 'Álvaro Medrán Just'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 26020, 'name': 'Ángel Lafita Castillo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 23416, 'name': 'Stefan Šćepović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Getafe,216,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1a296d6d-4cf0-4cc0-a149-d1b788e4a2e6,2,,,,3825612,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 6730, 'name': 'Rubén Iván Martínez Andrade'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 25824, 'name': 'Ángel Trujillo Canorea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 11}, {'player': {'id': 6784, 'name': 'Antonio García Aranda'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 23970, 'name': 'José María Martín-Bejarano Serrano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6659, 'name': 'Víctor Camarasa Ferrando'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 23791, 'name': 'Víctor Casadesús Castaño'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Levante UD,221,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,96073282-ca3a-4b0a-bc39-d9b478cbc69d,3,,,,3825612,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['f78b3ba4-a58d-45d7-bded-65d9e5528763'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f78b3ba4-a58d-45d7-bded-65d9e5528763,4,,,,3825612,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['96073282-ca3a-4b0a-bc39-d9b478cbc69d'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,abee60ba-c862-4e4a-9136-0dbd9b793753,1659,,,,3825612,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Getafe,216,['5054ae8a-bf40-4e2a-b5b7-f7f9c2c316c2'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5054ae8a-bf40-4e2a-b5b7-f7f9c2c316c2,1660,,,,3825612,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Getafe,216,['abee60ba-c862-4e4a-9136-0dbd9b793753'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.716588,,,,,,,,,,,,,a9970590-6a01-451f-825a-616cab2246d6,5,,,"[61.0, 40.1]",3825612,0,,,,1.9720252,,Left Foot,,,,"[59.6, 43.4]",,Ground Pass,,3.5846896,,,Víctor Casadesús Castaño,23791.0,,,,,Kick Off,1,From Kick Off,Deyverson Brum Silva Acosta,25134.0,Left Center Forward,2,Levante UD,221,['d78a0f8c-698d-4379-a24f-5a7ef517ccc4'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.707,Pass,
,,,,,,,,,,,,,,,,2.290654,,,,,,,,,,,,,603b0a40-cb0a-4c07-8898-68a359b57426,8,,,"[59.1, 43.4]",3825612,0,,,,-2.495873,,Right Foot,,,,"[30.3, 21.7]",,Ground Pass,,36.06009,,,Zouhair Feddal,6647.0,,,,,,1,From Kick Off,Víctor Casadesús Castaño,23791.0,Right Center Forward,2,Levante UD,221,['b2860cbb-bc49-4114-a9dd-5649b14a29be'],1,,,,,,,,,,,,,,,,,Levante UD,221,00:00:01.504,Pass,
,,,,,,,,,,,,,,,,2.63805,,,,,,,,,,,,,29f583ca-2f03-4f0a-820d-03571c482aed,11,,,"[33.3, 17.3]",3825612,0,,,,0.027635239,,Left Foot,,,,"[94.8, 19.0]",,High Pass,,61.52349,Incomplete,,Deyverson Brum Silva Acosta,25134.0,,,,,,1,From Kick Off,Zouhair Feddal,6647.0,Left Center Back,2,Levante UD,221,"['9c2afd96-3ff3-4b48-9ab2-4dca91a02846', 'b08f53e5-8813-46b9-aba7-43396930cc48']",5,,,,,,,,,,,,,,,,,Levante UD,221,00:00:05.376,Pass,
,,,,,,,,,,,,,,,,2.001721,,,,,,,,,,,,,9c2afd96-3ff3-4b48-9ab2-4dca91a02846,13,,,"[25.3, 61.1]",3825612,0,,,,-0.19383179,,Head,,,,"[52.3, 55.8]",,High Pass,,27.515268,Incomplete,,,,,,,,Recovery,1,From Kick Off,Damián Nicolás Suárez Suárez,6627.0,Right Back,2,Levante UD,221,"['29f583ca-2f03-4f0a-820d-03571c482aed', 'd57168c2-fae3-4887-9171-d244c3cfe0a1']",8,,,,,,,,,,,,,,,,,Getafe,216,00:00:08.014,Pass,
