bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,9c47d171-9ad4-4491-9c14-1a83d8cf5a01,1,,,3825757,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0a2a4eeb-0688-4be8-9c4a-b0a355c6c5f7,2,,,3825757,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31904, 'name': 'Giedrius Arlauskis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 6701, 'name': 'Joan Jordán Moreno'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 24072, 'name': 'Salvador Sevilla López'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 23924, 'name': 'Mamadou Sylla Diallo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 28}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,77029e01-b98d-4f3c-acac-c204eefa6de2,3,,,3825757,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['1b72b9a4-fb74-482d-b9e5-34d78d83dc22'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1b72b9a4-fb74-482d-b9e5-34d78d83dc22,4,,,3825757,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['77029e01-b98d-4f3c-acac-c204eefa6de2'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5a96dbab-acdd-4ae8-ba7b-ab0cd881616a,1989,,,3825757,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,84,Espanyol,214,['ce009296-ae78-4bf9-b235-15c0a6b3fdc5'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,ce009296-ae78-4bf9-b235-15c0a6b3fdc5,1990,,,3825757,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,84,Espanyol,214,['5a96dbab-acdd-4ae8-ba7b-ab0cd881616a'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.23701,,,,,,,,,,,,,,,,,da228976-9649-4fb9-b6f4-492188db5e95,5,,"[60.0, 40.0]",3825757,0,,,,-1.810028,,Right Foot,,,"[59.0, 35.9]",,Ground Pass,,4.2201896,,,,Karim Benzema,19677.0,,,,,Kick Off,1,From Kick Off,Francisco Román Alarcón Suárez,4926.0,Left Center Midfield,2,Real Madrid,220,['28614009-e704-4dab-848b-7edf23017295'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.998,Pass,
,,,,,,,,,,,,,,1.038051,,,,,,,,,,,,,,,,,a25c1b4c-283a-42bf-957f-37aa4f1534fe,8,,"[58.8, 36.9]",3825757,0,,,,2.532134,,Left Foot,,,"[48.2, 44.3]",,Ground Pass,,12.92749,,,,Luka Modrić,5463.0,,,,,,1,From Kick Off,Karim Benzema,19677.0,Center Forward,2,Real Madrid,220,['b9c3c3a7-549b-45a4-8a10-5b11f6746b5d'],1,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:01.395,Pass,
,,,,,,,,,,,,,,1.118774,,,,,,,,,,,,,,,,,51a1a284-cc49-4b3c-8847-4d1b8ca338f2,11,,"[48.2, 44.3]",3825757,0,,,,-1.5707964,,Right Foot,,,"[48.2, 32.5]",,Ground Pass,,11.8,,,,Toni Kroos,5574.0,,,,,,1,From Kick Off,Luka Modrić,5463.0,Right Center Midfield,2,Real Madrid,220,['f2b431e3-944e-4b5c-acb4-568dd88c047f'],2,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:02.509,Pass,
,,,,,,,,,,,,,,1.493782,,,,,,,,,,,,,,,,,1deb8521-92e8-4fbe-9462-aeea7afe0bb9,14,,"[48.2, 32.5]",3825757,0,,,,2.1926205,,Left Foot,,,"[35.3, 50.5]",,Ground Pass,,22.145203,,,,Raphaël Varane,5485.0,,,,,,1,From Kick Off,Toni Kroos,5574.0,Center Defensive Midfield,2,Real Madrid,220,['33710299-9720-4c52-ab0c-c8a4b830fc09'],4,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:04.948,Pass,
