bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.720189,,,,,,,,,,,,,43610495-1901-43da-bdb2-c0416779f936,1652,,"[93.6, 80.0]",3825725,46,,True,,,-2.6454122,,,,,"[80.3, 72.8]",,Low Pass,,15.123822,,,,Francisco Portillo Soler,6873.0,,,,,,Throw-in,2,From Throw In,Cristiano Piccini,11634.0,Right Back,91,Real Betis,218,['34c87991-3fd1-4853-8162-2e91299687ff'],11,,,,,,,,,,,,,,,,Real Betis,218,00:01:11.810,Pass,
,,,,,,,,,,,,,,,,,,0.455058,,,,,,,,,,,,,bdfe8216-6ea5-4e4b-be3f-d2f805596e10,1654,,"[80.5, 73.2]",3825725,46,,True,,,2.3790913,,Right Foot,,,"[73.8, 79.6]",,Ground Pass,,9.265528,,,,Cristiano Piccini,11634.0,,,,,,,2,From Throw In,Francisco Portillo Soler,6873.0,Right Midfield,91,Real Betis,218,['f4a226f9-f1ae-4c6d-933d-9c36b555fab1'],13,,,,,,,,,,,,,,,,Real Betis,218,00:01:13.189,Pass,
,,,,,,,,,,,,,,,,,,1.249032,,,,,,,,,,,,,c08b5099-83fd-442a-aaa2-a8ac3dc1e7da,1656,,"[77.1, 78.0]",3825725,46,,,,,0.14631529,,Right Foot,,,"[86.6, 79.4]",,Ground Pass,,9.602604,,,,Francisco Portillo Soler,6873.0,,,,,,,2,From Throw In,Cristiano Piccini,11634.0,Right Back,91,Real Betis,218,['ec656d3a-403a-4369-9910-9d35148f6a32'],14,,,,,,,,,,,,,,,,Real Betis,218,00:01:14.320,Pass,
,,,,,,,,,,,,,,,,,,1.018256,,,,,,,,,,,,,c9b83d9c-8ee0-4827-8a57-accbc950bce6,1660,,"[90.2, 77.6]",3825725,46,,,,,-1.6902252,,Right Foot,,,"[89.3, 70.1]",,Ground Pass,,7.553807,,,,Cristiano Piccini,11634.0,,,,,,,2,From Throw In,Francisco Portillo Soler,6873.0,Right Midfield,91,Real Betis,218,['d0f58127-4696-4465-ad0c-ac9bf69993b6'],16,,,,,,,,,,,,,,,,Real Betis,218,00:01:16.232,Pass,
,,,,,,,,,,,,,,,,,,0.98318,,,,,,,,,,,,,b6e5616b-acfd-4197-8aaa-fb094451b16d,1664,,"[94.8, 64.2]",3825725,46,,,,,1.2462447,,Right Foot,,,"[98.4, 74.9]",,Ground Pass,,11.289375,,,,Francisco Portillo Soler,6873.0,,,,,,,2,From Throw In,Cristiano Piccini,11634.0,Right Back,91,Real Betis,218,['365b24ed-5d4b-48e7-8c9c-aed57925800e'],21,,,,,,,,,,,,,,,,Real Betis,218,00:01:21.633,Pass,
,,,,,,,,,,,,,,,,,,0.88151,,,,,,,,,,,,,38cbc8d2-4742-4663-960d-23927bbc0033,1667,,"[98.9, 73.7]",3825725,46,,,,,-2.1995926,,Right Foot,,,"[92.5, 64.9]",,Ground Pass,,10.881176,,,,Daniel Ceballos Fernández,6697.0,,,,,,,2,From Throw In,Francisco Portillo Soler,6873.0,Right Midfield,91,Real Betis,218,['c3da20ef-6833-4ca3-a7c9-fc87f9193c0f'],23,,,,,,,,,,,,,,,,Real Betis,218,00:01:23.005,Pass,
,,,,,,,,,,,,,,,,,,1.122659,,,,,,,,,,,,,343c4956-94c3-4f46-aeec-1cc8bc2112d5,1673,,"[96.8, 65.6]",3825725,47,,,,,-0.96671796,,Left Foot,True,,"[111.5, 44.3]",,High Pass,,25.880108,,Incomplete,,,,,,,,,Free Kick,2,From Free Kick,Juan Manuel Vargas Risco,27347.0,Left Back,92,Real Betis,218,['ca32351a-2927-4d01-8f95-6acdeedf41c9'],6,,,,,,,,,,,,,,,,Real Betis,218,00:02:06.488,Pass,
,,,,,,,,,,,,,,,,,,2.568759,,,,,,,,,,,,,3c4e0344-b1d4-4bac-87d9-b5d1d3d19a90,1676,,"[98.4, 36.0]",3825725,47,,,,,-0.58206207,,Right Foot,,,"[110.1, 28.3]",,High Pass,,14.006427,,,,Francisco Portillo Soler,6873.0,,,,Through Ball,True,Recovery,2,From Free Kick,Daniel Ceballos Fernández,6697.0,Left Midfield,92,Real Betis,218,"['42698351-7d7b-4bba-ad21-0041b6c98587', 'f3d0e930-3cf1-4dbc-aaf4-1987c1b6323e']",11,,,,,,,,,,,,,,,,Real Betis,218,00:02:11.435,Pass,True
,,,,,,,,,,,,,,,,,,0.719484,,,,,,,,,,,,,8f59f948-8529-40a1-84f5-5139b29bc187,1679,,"[112.0, 27.4]",3825725,47,,,,,-2.1175852,,Right Foot,,,"[109.2, 22.8]",,Ground Pass,,5.3851647,,,,Rubén Castro Martín,6832.0,,,,,,,2,From Free Kick,Francisco Portillo Soler,6873.0,Right Midfield,92,Real Betis,218,['5cd13fb3-440d-4897-b97c-3e41c48944dc'],14,,,,,,,,,,,,,,,,Real Betis,218,00:02:14.274,Pass,
,,,,,,,,,,,,,,,,,,0.709378,,,,,,,,,,,,,00a29c3e-c8ff-422b-a3ac-94cb51c97a18,1682,,"[109.0, 22.8]",3825725,47,,,,,1.2916164,,Left Foot,,,"[113.3, 37.8]",,Ground Pass,,15.604166,,Incomplete,,Alfred John Momar N''Diaye,5671.0,,,,,,,2,From Free Kick,Rubén Castro Martín,6832.0,Left Center Forward,92,Real Betis,218,"['2e83f97a-06e8-45dd-9a61-36365ccd0080', 'fe772daa-6587-4f24-8e8f-fbc0fea5550b']",15,,,,,,,,,,,,,,,,Real Betis,218,00:02:15.056,Pass,
