50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,3.096724,,,,,,,,,,,,,a61aa934-16f3-4858-8ff1-10117ed36dfc,18,,"[64.0, 5.5]",3825739,0,,,,0.010752274,,Left Foot,,,,"[101.2, 5.9]",,High Pass,,37.202152,,,Incomplete,,Alejandro Menéndez Díez,23994.0,,,,,,1,From Kick Off,Ismael López Blanco,24263.0,Left Back,2,Sporting Gijón,1041,"['4b89fe06-8da3-413a-a5d7-dfcbbbfae665', 'ed3371aa-f79a-43b5-a84a-070c1c5c698e']",8,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:08.659,Pass,
,,,,,,,,,,,,,,,,,,1.882113,,,,,,,,,,,,,7ef2d155-982f-433a-96ea-f062522872f6,21,,"[97.8, 0.1]",3825739,0,,,,1.0335683,,,,,,"[114.3, 27.8]",,High Pass,,32.241898,,,Incomplete,,,,,,,,Throw-in,1,From Throw In,Luis Hernández Rodríguez,6561.0,Right Center Back,3,Sporting Gijón,1041,['9f41574f-208d-43f8-82e4-e914269cef9a'],38,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:38.060,Pass,
,,,,,,,,,,,,,,,,,,0.889653,,,,,,,,,,,,,23a19fa1-8e7d-4abe-a9dd-1a23f238fe5a,26,,"[25.5, 60.5]",3825739,0,,,,1.8630648,,Right Foot,,,,"[22.1, 71.8]",,Ground Pass,,11.800424,,,,,Luka Modrić,5463.0,,,,,,1,Regular Play,Karim Benzema,19677.0,Center Forward,4,Real Madrid,220,['955bd581-adf8-42d1-82ab-ae8907cc7823'],43,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:43.520,Pass,
,,,,,,,,,,,,,,,,,,0.691426,,,,,,,,,,,,,1305d4d0-28cf-48f0-847b-4cb1bf66c290,30,,"[36.9, 75.2]",3825739,0,,,,-0.66541,,Right Foot,,,,"[44.8, 69.0]",,Ground Pass,,10.04241,,,,,Karim Benzema,19677.0,,,,,,1,Regular Play,Luka Modrić,5463.0,Right Center Midfield,4,Real Madrid,220,['519a8a2f-1eb5-4e96-8e5f-c70b33341293'],46,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:46.676,Pass,
,,,,,,,,,,,,,,,,,,1.58364,,,,,,,,,,,,,820e6e4e-d4c9-4e31-a275-ab302c79e3ff,33,,"[49.5, 58.1]",3825739,0,,,,-1.7194247,,Right Foot,,,,"[43.9, 20.7]",,Ground Pass,,37.81693,,,,,Marcelo Vieira da Silva Júnior,5552.0,,,,,,1,Regular Play,Karim Benzema,19677.0,Center Forward,4,Real Madrid,220,['8df0bb2d-d54d-4a4e-b72c-b93a18d5565c'],50,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:50.047,Pass,
,,,,,,,,,,,,,,,,,,2.081495,,,,,,,,,,,,,b5316652-9d6d-4ad2-854e-63c7e7341f08,36,,"[43.9, 18.3]",3825739,0,,,,-0.44586563,,Left Foot,,,,"[73.4, 4.2]",,Ground Pass,,32.696484,,,,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,,1,Regular Play,Marcelo Vieira da Silva Júnior,5552.0,Left Back,4,Real Madrid,220,['c708eaf8-ee5c-4878-a5cd-f57a990368f6'],52,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:52.431,Pass,
,,,,,,,,,,,,,,,,,,1.19972,,,,,,,,,,,,,5a59f858-a254-4572-818f-69ec08271c93,40,,"[88.6, 6.4]",3825739,0,,,,1.0102868,,Right Foot,,,,"[100.4, 25.2]",,Ground Pass,,22.196396,,,Incomplete,,Karim Benzema,19677.0,,,,,,1,Regular Play,Cristiano Ronaldo dos Santos Aveiro,5207.0,Left Wing,4,Real Madrid,220,"['5b9086a9-42fb-40d3-9ff3-26ee1b310649', 'c6549799-15d4-4264-8ea1-1cfb05759a6d', 'ea1231e3-0d0c-4725-a6e8-a21f83622633']",57,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:57.817,Pass,True
,,,,,,,,,,,,,,,,,,0.996184,,,,,,,,,,,,,69dc52e0-22cd-4941-b7c1-f626e8c12489,46,,"[88.8, 41.9]",3825739,1,,,,-0.4891198,,Right Foot,,,,"[107.4, 32.0]",,Ground Pass,,21.070595,,,Pass Offside,,Karim Benzema,19677.0,,,,,,1,Regular Play,Luka Modrić,5463.0,Right Center Midfield,4,Real Madrid,220,['224f6474-5c70-46c0-b797-d6bc1bacb0d1'],4,,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:04.615,Pass,
,,,,,,,,,,,,,,,,,,3.241199,,,,,,,,,,,,,5aa3e448-9b07-4af7-957b-cb342b9bd40b,48,,"[30.8, 48.7]",3825739,1,,,,0.30576354,,Right Foot,,,,"[72.3, 61.8]",,High Pass,,43.5185,,,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Iván Cuéllar Sacristán,6610.0,Goalkeeper,5,Sporting Gijón,1041,['163e4a7b-bf08-4843-a2ea-356425c68b99'],39,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:01:39.486,Pass,
,,,,,,,,,,,,,,,,,,3.794509,,,,,,,,,,,,,163e4a7b-bf08-4843-a2ea-356425c68b99,50,,"[47.8, 18.3]",3825739,1,,,,2.5485902,,Right Foot,,,,"[20.2, 36.9]",,Low Pass,,33.28243,,,,,Keylor Navas Gamboa,5597.0,,,,,Recovery,1,Regular Play,Toni Kroos,5574.0,Center Defensive Midfield,6,Real Madrid,220,"['060f69ec-65a7-43fa-927c-e8bb45b33964', '5aa3e448-9b07-4af7-957b-cb342b9bd40b', 'd6f5ee19-f100-49f2-9d84-f77caccc884e']",42,,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:42.727,Pass,True
