50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8ecd8601-0218-4228-8ff7-538a6918621e,1,,,3825802,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 5598, 'name': 'Óscar Esau Duarte Gaitán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8c6ae65b-083b-4279-b4dc-ea9db08aba08,2,,,3825802,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6865, 'name': 'Francisco José Molinero Calderón'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7161, 'name': 'Germán Alejandro Pezzella'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 27347, 'name': 'Juan Manuel Vargas Risco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6697, 'name': 'Daniel Ceballos Fernández'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 26723, 'name': 'Álvaro Cejudo Carmona'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 6655, 'name': 'Fabián Ruiz Peña'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 52}, {'player': {'id': 3601, 'name': 'Charly Musonda Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Real Betis,218,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d10d1d43-5246-416a-b949-6328685449f8,3,,,3825802,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['633b5bea-3814-4e7d-8b9f-2596c3b0db10'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,633b5bea-3814-4e7d-8b9f-2596c3b0db10,4,,,3825802,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['d10d1d43-5246-416a-b949-6328685449f8'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,15960c11-f280-4e84-ae56-b07df6e2ff26,1546,,,3825802,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,103,Espanyol,214,['97947043-a531-499f-9c36-8342423cf7f4'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,97947043-a531-499f-9c36-8342423cf7f4,1547,,,3825802,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,103,Espanyol,214,['15960c11-f280-4e84-ae56-b07df6e2ff26'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.037885,,,,,,,,,,,,,52d57da5-b3ca-4597-9e29-739e9c2ed3e6,5,,"[61.0, 40.1]",3825802,0,,,,1.4694499,,Right Foot,,,"[61.6, 46.0]",,Ground Pass,,5.93043,,,Fabián Ruiz Peña,6655.0,,,,,Kick Off,1,From Kick Off,Daniel Ceballos Fernández,6697.0,Left Defensive Midfield,2,Real Betis,218,['c5e6eb52-25b9-4810-bbd0-58b40659b7a8'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.761,Pass,
,,,,,,,,,,,,,,,,,0.534831,,,,,,,,,,,,,be4aa7bc-d3f9-4ac5-ae22-898da0f1d901,7,,"[60.4, 40.8]",3825802,0,,,,1.487655,,Right Foot,,,"[60.6, 43.2]",,Ground Pass,,2.408319,,,Daniel Ceballos Fernández,6697.0,,,,,,1,From Kick Off,Fabián Ruiz Peña,6655.0,Center Attacking Midfield,2,Real Betis,218,['cc111ed4-fabd-4e76-86f8-b62d1e1c654e'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.799,Pass,
,,,,,,,,,,,,,,,,,2.008432,,,,,,,,,,,,,76ff0135-903e-4b90-97d1-8717b074d377,10,,"[59.1, 42.5]",3825802,0,,,,-2.9974382,,Right Foot,,,"[34.3, 38.9]",,Ground Pass,,25.059929,,,Bruno González Cabrera,6872.0,,,,,,1,From Kick Off,Daniel Ceballos Fernández,6697.0,Left Defensive Midfield,2,Real Betis,218,['40836369-0600-450f-b5f6-8e5cd8c3722d'],1,,,,,,,,,,,,,,,,,Real Betis,218,00:00:01.369,Pass,
,,,,,,,,,,,,,,,,,2.973129,,,,,,,,,,,,,9bdd95b3-577f-4df8-a8fb-cab6705a25e3,13,,"[36.0, 40.5]",3825802,0,,,,0.5532095,,Right Foot,,,"[86.2, 71.5]",,High Pass,,59.00034,Incomplete,,Alfred John Momar N''Diaye,5671.0,,,,,,1,From Kick Off,Bruno González Cabrera,6872.0,Left Center Back,2,Real Betis,218,"['95f038bb-f250-45d1-a187-d3436985210b', 'e4177c22-ce2e-46d4-ba42-dfb9addf66b1']",5,,,,,,,,,,,,,,,,,Real Betis,218,00:00:05.118,Pass,
,,,,,,,,,,,,,,,,,2.013546,,,,,,,,,,,,,95f038bb-f250-45d1-a187-d3436985210b,15,,"[33.9, 8.6]",3825802,0,,,True,0.009389396,,,,,"[55.2, 8.8]",,Low Pass,,21.30094,Incomplete,,,,,,,,Recovery,1,From Kick Off,Víctor Sánchez Mata,6758.0,Left Defensive Midfield,2,Real Betis,218,"['220fd113-58d2-4c58-83eb-f5f85257f87f', '9bdd95b3-577f-4df8-a8fb-cab6705a25e3', 'e97d4774-25c0-4b48-9b9f-729a2df9fbc8']",8,,,,,,,,,,,,,,,,,Espanyol,214,00:00:08.091,Pass,True
,,,,,,,,,,,,,,,,,1.247003,,,,,,,,,,,,,9b3fc5f1-aa88-450e-b0d8-b562baf4c477,19,,"[27.0, 3.6]",3825802,0,,,,0.5984189,,Head,,,"[33.6, 8.1]",,High Pass,,7.9881163,Incomplete,,,,,,,,Recovery,1,From Kick Off,Víctor Guillermo Álvarez Delgado,27241.0,Left Back,2,Real Betis,218,['6871c31c-0eab-43e7-94e0-05bbe1c4ce24'],13,,,,,,,,,,,,,,,,,Espanyol,214,00:00:13.203,Pass,
