bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e2746f88-447f-4060-97b5-f2745d447676,1,,,3825785,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6727, 'name': 'Raúl Albentosa Redal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8234, 'name': 'Ignacio Camacho Barnola'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6563, 'name': 'Juan Pablo Añor Acosta'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 28}, {'player': {'id': 10868, 'name': 'Ricardo Jorge Luz Horta'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 8419, 'name': 'Duje Čop'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Málaga,223,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,26bc4fd3-5657-42c7-ac53-bfbe53297cff,2,,,3825785,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 5202, 'name': 'José Ignacio Fernández Iglesias'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 5456, 'name': 'Mateo Kovačić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 3990, 'name': 'Jesé Rodríguez Ruiz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Real Madrid,220,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bc73ba41-e82a-4f1d-b100-cddf01cf392d,3,,,3825785,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['d4fb7e88-c113-4b10-8a38-37e3ec045b1e'],0,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d4fb7e88-c113-4b10-8a38-37e3ec045b1e,4,,,3825785,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['bc73ba41-e82a-4f1d-b100-cddf01cf392d'],0,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9a3ca47d-087a-4f94-909e-8e05a042e007,1538,,,3825785,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,100,Málaga,223,['548c65e7-20f9-4018-8dc5-64ae96af2a7a'],0,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,548c65e7-20f9-4018-8dc5-64ae96af2a7a,1539,,,3825785,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,100,Málaga,223,['9a3ca47d-087a-4f94-909e-8e05a042e007'],0,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.526968,,,,,,,,,,,,,,7c5130d9-8cbc-4f48-a9cb-a3d538c5eb23,5,,"[61.0, 40.1]",3825785,0,,,,,1.5707964,,Right Foot,,,"[61.0, 42.4]",,Ground Pass,,2.3,,,Francisco Román Alarcón Suárez,4926.0,,,,,,Kick Off,1,From Kick Off,Jesé Rodríguez Ruiz,3990.0,Right Wing,2,Real Madrid,220,['608af2bf-681e-4ab5-b3d0-e37ca92f7e56'],0,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.380,Pass,
,,,,,,,,,,,,,,,,,1.038892,,,,,,,,,,,,,,316b67be-164c-473c-b010-119c3b89b312,7,,"[60.0, 42.6]",3825785,0,,True,,,-3.0622892,,Right Foot,,,"[44.9, 41.4]",,Ground Pass,,15.147607,,,Toni Kroos,5574.0,,,,,,,1,From Kick Off,Francisco Román Alarcón Suárez,4926.0,Center Forward,2,Real Madrid,220,['54e6be3d-620d-4a0b-85bf-66067721806d'],1,,,,,,,,,,,,,,,,Real Madrid,220,00:00:01.429,Pass,
,,,,,,,,,,,,,,,,,0.90676,,,,,,,,,,,,,,2097d9a8-058a-4884-b79d-20250e60b2b6,9,,"[43.9, 40.8]",3825785,0,,,,,-1.4379206,,Right Foot,,,"[46.6, 20.6]",,Ground Pass,,20.379646,,,Mateo Kovačić,5456.0,,,,,,,1,From Kick Off,Toni Kroos,5574.0,Center Defensive Midfield,2,Real Madrid,220,['8a729059-6066-4d3e-a245-7b1f5904493c'],2,,,,,,,,,,,,,,,,Real Madrid,220,00:00:02.468,Pass,
,,,,,,,,,,,,,,,,,1.455172,,,,,,,,,,,,,,c3e4fbd6-bb78-4aa0-9afa-c919103b623c,12,,"[43.8, 25.1]",3825785,0,,,,,-2.4098017,,Right Foot,,,"[33.0, 15.4]",,Ground Pass,,14.516542,,,Sergio Ramos García,5201.0,,,,,,,1,From Kick Off,Mateo Kovačić,5456.0,Left Center Midfield,2,Real Madrid,220,['eb05e8f2-73db-4c74-ac79-0407709d5b72'],4,,,,,,,,,,,,,,,,Real Madrid,220,00:00:04.415,Pass,
