50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3459e8f4-6431-4da9-98a7-0552fde6921f,1,,,3825862,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 5598, 'name': 'Óscar Esau Duarte Gaitán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 27148, 'name': 'Abraham González Casanova'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,74c3950b-870d-4f46-978a-ca10c200f071,2,,,3825862,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 7577, 'name': 'Carles Planas Antolínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 6796, 'name': 'Nemanja Radoja'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 27341, 'name': 'Marcelo Alfonso Díaz Rojas'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Celta Vigo,209,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c3639628-0e32-4ac7-b239-659956ae0083,3,,,3825862,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['20d02ade-e547-4248-976c-135e2108a6e1'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,20d02ade-e547-4248-976c-135e2108a6e1,4,,,3825862,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['c3639628-0e32-4ac7-b239-659956ae0083'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4c9bc2de-1075-4a01-8a85-3e7777ed9e39,2107,,,3825862,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,112,Celta Vigo,209,['20809067-f57c-4938-9170-040ff7718b13'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,20809067-f57c-4938-9170-040ff7718b13,2108,,,3825862,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,112,Celta Vigo,209,['4c9bc2de-1075-4a01-8a85-3e7777ed9e39'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.085352,,,,,,,,,,,,,052334e1-71c0-4e5c-a1ce-ae9f4a65ad8a,5,,"[60.0, 40.0]",3825862,0,,,,,-1.5707964,,Left Foot,,,"[60.0, 38.6]",,Ground Pass,,1.4,,,,Marco Asensio Willemsen,5719.0,,,,,Kick Off,1,From Kick Off,Gerard Moreno Balaguero,6766.0,Center Forward,2,Espanyol,214,['46febf54-277c-4379-9e0c-32b23062479b'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.809,Pass,
,,,,,,,,,,,,,,,0.904537,,,,,,,,,,,,,cd2c8169-fcc7-4202-bea0-3d85feafb52b,8,,"[59.3, 38.9]",3825862,0,,,,,2.868584,,Left Foot,,,"[44.3, 43.1]",,Ground Pass,,15.576906,,,,Papa Kouly Diop,6867.0,,,,,,1,From Kick Off,Marco Asensio Willemsen,5719.0,Left Wing,2,Espanyol,214,['824f2168-9b13-4e06-894c-6b37452dca91'],1,,,,,,,,,,,,,,,,,Espanyol,214,00:00:01.709,Pass,
,,,,,,,,,,,,,,,1.443098,,,,,,,,,,,,,6988a1a5-b012-48d8-8bba-ba9503154404,12,,"[41.6, 40.6]",3825862,0,,,,,2.2291296,,Right Foot,,,"[31.7, 53.4]",,Ground Pass,,16.18178,,,,Álvaro González Soberón,6762.0,,,,,,1,From Kick Off,Papa Kouly Diop,6867.0,Center Defensive Midfield,2,Espanyol,214,['a5249637-0d95-41a6-afb0-a027716dd744'],7,,,,,,,,,,,,,,,,,Espanyol,214,00:00:07.891,Pass,
,,,,,,,,,,,,,,,1.405336,,,,,,,,,,,,,e1fcfe71-1627-47a0-b646-c8eabbedab6f,16,,"[32.1, 56.0]",3825862,0,,,,,-0.14301687,,Right Foot,,,"[69.6, 50.6]",,High Pass,,37.886806,,,,Marco Asensio Willemsen,5719.0,,,,,,1,From Kick Off,Álvaro González Soberón,6762.0,Right Center Back,2,Espanyol,214,['29c5e973-6342-47ed-8069-0e794aeebda5'],10,,,,,,,,,,,,,,,,,Espanyol,214,00:00:10.707,Pass,
