50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.647841,,,,,,,,,,,,,,e58d8ed7-4645-48c5-be64-dbf5cac54ddb,20,,"[70.9, 19.5]",3825885,0,,,,,0.61780584,,Left Foot,,,,"[105.8, 44.3]",,High Pass,,42.814133,,,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Pablo Sarabia García,6720.0,Right Midfield,3,Getafe,216,['cfa606e5-ac8b-49a5-b4f9-70b924652496'],39,,,,,,,,,,,,,,,,,,Getafe,216,00:00:39.184,Pass,
,,,,,,,,,,,,,,,,,,,2.602506,,,,,,,,,,,,,,ddc60c36-5474-44d2-94c4-f6c5c70bb444,22,,"[77.1, 49.8]",3825885,0,,,,,-0.52852815,,Head,,,,"[90.8, 41.8]",,High Pass,,15.86474,,,,,Santiago Vergini,27403.0,,,,,Recovery,1,From Free Kick,Mehdi Lacen,6745.0,Left Center Midfield,3,Getafe,216,['5addb123-c41e-4f0b-8a9f-38b25790addb'],43,,,,,,,,,,,,,,,,,,Getafe,216,00:00:43.560,Pass,
,,,,,,,,,,,,,,,,,,,0.964293,,,,,,,,,,,,,,67bcb901-6530-48d8-8453-bb235a75360f,24,,"[90.8, 41.8]",3825885,0,,,,,-0.32175055,,Head,,,,"[95.3, 40.3]",,Low Pass,,4.7434163,,,Incomplete,,,,,,,,,1,From Free Kick,Santiago Vergini,27403.0,Right Center Back,3,Getafe,216,['ed95f0a4-282a-4882-af18-e541f7faf281'],46,,,,,,,,,,,,,,,,,,Getafe,216,00:00:46.203,Pass,
,,,,,,,,,,,,,,,,,,,2.679561,,,,,,,,,,,,,,f73afc38-54cf-4f63-9571-9dfaa266d9e8,27,,"[43.0, 25.9]",3825885,0,,,,True,0.3668812,,,,,,"[65.9, 34.7]",,High Pass,,24.53263,,,Incomplete,,,,,,,,Recovery,1,From Free Kick,Tiago Manuel Dias Correia,7900.0,Left Wing Back,3,Getafe,216,"['4c2d4191-3aa7-4abc-9235-8614bccfd3aa', '77f9e8e8-1f6c-405c-8631-c0829d377c72']",49,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:49.216,Pass,True
,,,,,,,,,,,,,,,,,,,3.379531,,,,,,,,,,,,,,77f9e8e8-1f6c-405c-8631-c0829d377c72,28,,"[54.2, 45.4]",3825885,0,,,,,-0.4278795,,Right Foot,,,,"[96.3, 26.2]",,High Pass,,46.27148,,,Incomplete,,,,,,,,Recovery,1,From Free Kick,Santiago Vergini,27403.0,Right Center Back,3,Getafe,216,"['70064da7-498e-48da-86fd-b0b735afa1b9', 'f73afc38-54cf-4f63-9571-9dfaa266d9e8']",51,,,,,,,,,,,,,,,,,,Getafe,216,00:00:51.895,Pass,
,,,,,,,,,,,,,,,,,,,1.102596,,,,,,,,,,,,,,67a01741-eb78-4764-b40e-5bf53acd7ae7,35,,"[84.3, 4.6]",3825885,1,,,,,2.9966311,,Right Foot,,,,"[70.6, 6.6]",,Ground Pass,,13.845216,,,,,Roberto Lago Soto,27054.0,,,,,,1,From Free Kick,Víctor Rodríguez Romero,15893.0,Left Midfield,3,Getafe,216,['d28ae644-5bf3-463b-9622-c5b9d60ec5d7'],2,,,,,,,,,,,,,,,,,,Getafe,216,00:01:02.514,Pass,
,,,,,,,,,,,,,,,,,,,0.787826,,,,,,,,,,,,,,2155d277-53c6-40da-a2b2-b84c4f75d689,47,,"[108.4, 9.1]",3825885,1,,,,,-2.4167266,,Right Foot,,,,"[104.9, 6.0]",,Ground Pass,,4.675468,,,,,Víctor Rodríguez Romero,15893.0,,,,,,1,From Free Kick,Roberto Lago Soto,27054.0,Left Back,3,Getafe,216,['d8ce5983-ba36-4fff-8f68-21a1140d4066'],10,,,,,,,,,,,,,,,,,,Getafe,216,00:01:10.479,Pass,
,,,,,,,,,,,,,,,,,,,1.570009,,,,,,,,,,,,,,fb539f52-1aed-427e-81d1-8deb18dc7c03,50,,"[104.9, 6.0]",3825885,1,,,,,1.3873967,,Right Foot,True,,,"[111.8, 43.2]",,High Pass,,37.834507,,,Incomplete,,Álvaro Medrán Just,6736.0,,,,,,1,From Free Kick,Víctor Rodríguez Romero,15893.0,Left Midfield,3,Getafe,216,"['b94f1c3d-c119-471f-a2af-43b564bdb93a', 'c3f2dafa-337c-42a3-a23e-656c3aedac9b']",11,,,,,,,,,,,,,,,,,,Getafe,216,00:01:11.999,Pass,
,,,,,,,,,,,,,,,,,,,0.11705,,,,,,,,,,,,,,2aaed864-8dae-45b7-9584-79518a5eb039,55,,"[112.9, 71.4]",3825885,1,,,,,0.0,,Left Foot,,,,"[112.9, 71.4]",,Low Pass,,0.0,,,Incomplete,,,,,,,,,1,From Free Kick,Pablo Sarabia García,6720.0,Right Midfield,3,Getafe,216,['fb7958c7-dc43-4b50-8a96-744e0a371ce8'],18,,,,,,,,,,,,,,,,,,Getafe,216,00:01:18.422,Pass,
,,,,,,,,,,,,,,,,,,,1.79748,,,,,,,,,,,,,,46b6b3e0-33be-4ace-b878-9ca032a6e49f,57,,"[120.0, 80.0]",3825885,1,,,,,-1.5911555,77722dce-191c-4fbc-b119-94a6f7af226f,Left Foot,,,,"[119.1, 35.8]",,High Pass,True,44.209164,,,,,Álvaro Medrán Just,6736.0,True,True,Inswinging,,Corner,1,From Corner,Pablo Sarabia García,6720.0,Right Midfield,4,Getafe,216,['bbc82245-1e68-4899-92b3-392c0000984b'],42,,,,,,,,,,,,,,,,,,Getafe,216,00:01:42.584,Pass,
