50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,44b77085-acc6-4be5-9c29-a823b759e19f,1,,,3825571,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3379, 'name': 'Alphonse Areola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3324, 'name': 'Eric Bertrand Bailly'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6828, 'name': 'Jaume Vicent Costa Jordá'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6771, 'name': 'Manuel Trigueros Muñoz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 18867, 'name': 'Matías Nahuel Leiva Esquivel'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 6829, 'name': 'Samuel Castillejo Azuaga'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 6761, 'name': 'Leonardo Carrilho Baptistão'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Villarreal,222,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,21347456-78b2-41b2-b79a-05b27572d0a0,2,,,3825571,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6709, 'name': 'Anaitz Arbilla Zabala'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 24086, 'name': 'Antonio José Raillo Arenas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 24578, 'name': 'Francisco Montañés Claverías'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,02dd65e1-90fd-4194-a260-a4dc63f23ee4,3,,,3825571,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['1f3423d3-330d-4258-9269-d5ea450e66c7'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1f3423d3-330d-4258-9269-d5ea450e66c7,4,,,3825571,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['02dd65e1-90fd-4194-a260-a4dc63f23ee4'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,edc9163b-d04d-4a88-a530-da7a11fdc18b,1702,,,3825571,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,106,Villarreal,222,['bb9abb0a-3a07-4286-822f-5d33c76f380f'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bb9abb0a-3a07-4286-822f-5d33c76f380f,1703,,,3825571,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,106,Villarreal,222,['edc9163b-d04d-4a88-a530-da7a11fdc18b'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.295359,,,,,,,,,,,,ab52c920-ce32-4520-b35e-82bcd0ded911,5,,"[60.0, 40.0]",3825571,0,,True,,,1.5083776,,Left Foot,,,"[60.1, 41.6]",,Ground Pass,,1.603122,,,,Gerard Moreno Balaguero,6766.0,,,,,Kick Off,1,From Kick Off,Felipe Salvador Caicedo Corozo,7781.0,Right Center Forward,2,Espanyol,214,['31a0182d-ec9a-4f75-8d86-f14890c1cb62'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.168,Pass,
,,,,,,,,,,,,,,,,,,1.578585,,,,,,,,,,,,d3cddc37-13cc-4c97-9202-5f464c7f3c6e,7,,"[59.4, 40.8]",3825571,0,,True,,,-3.0459945,,Right Foot,,,"[44.8, 39.4]",,Ground Pass,,14.666969,,,,Javier López Rodríguez,6791.0,,,,,,1,From Kick Off,Gerard Moreno Balaguero,6766.0,Left Center Forward,2,Espanyol,214,['1673740f-d7f8-4de7-93a3-25c7d5798972'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.463,Pass,
,,,,,,,,,,,,,,,,,,1.616002,,,,,,,,,,,,9336da07-a590-4d1c-b795-200bdd3e8e69,9,,"[44.8, 40.1]",3825571,0,,,,,1.5458015,,Right Foot,,,"[45.5, 68.1]",,Ground Pass,,28.008749,,,,Anaitz Arbilla Zabala,6709.0,,,,,,1,From Kick Off,Javier López Rodríguez,6791.0,Left Defensive Midfield,2,Espanyol,214,['aba51c2a-0318-4c3f-ba0c-05f6321db9bb'],3,,,,,,,,,,,,,,,,,Espanyol,214,00:00:03.001,Pass,
,,,,,,,,,,,,,,,,,,1.336746,,,,,,,,,,,,2f446a49-6aea-4e30-ad8a-dce4d8200d3f,12,,"[45.5, 67.1]",3825571,0,,,,,-2.3222454,,Right Foot,,,"[32.7, 53.4]",,Ground Pass,,18.749134,,,,Álvaro González Soberón,6762.0,,,,,,1,From Kick Off,Anaitz Arbilla Zabala,6709.0,Right Back,2,Espanyol,214,['f1f70f99-5728-4784-bcee-5b49de839120'],6,,,,,,,,,,,,,,,,,Espanyol,214,00:00:06.315,Pass,
