bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4e711b2a-c060-4b73-9ec6-e1a1fdbdfdfb,1,,,3825686,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 26087, 'name': 'Carlos Gurpegi Nausia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6389, 'name': 'Mikel San José Domínguez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Athletic Club,215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,73f4c369-3436-4cc2-84e8-f0cfe83f715d,2,,,3825686,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6727, 'name': 'Raúl Albentosa Redal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 27184, 'name': 'Marcos Alberto Angeleri'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 6559, 'name': 'Juan Carlos Pérez López'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 16723, 'name': 'Egor Filipenko'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 25859, 'name': 'Sérgio Paulo Barbosa Valente'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 6764, 'name': 'Pablo Fornals Malla'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 31}, {'player': {'id': 3302, 'name': 'Nordin Amrabat'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Málaga,223,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4590cdcc-ab3c-455e-9229-48bd587dcc24,3,,,3825686,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['e28e7bb5-8594-426a-8d19-75346030527a'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e28e7bb5-8594-426a-8d19-75346030527a,4,,,3825686,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['4590cdcc-ab3c-455e-9229-48bd587dcc24'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,db16ffb3-841a-4bd6-bde4-16296e6d9a29,1536,,,3825686,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Athletic Club,215,['77570d04-3920-4218-bf68-7d522c13189e'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,77570d04-3920-4218-bf68-7d522c13189e,1537,,,3825686,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Athletic Club,215,['db16ffb3-841a-4bd6-bde4-16296e6d9a29'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.501722,,,,,,,,,,,,,,,206158b9-0c7c-46d3-8f90-cc4ef3518e0b,5,,"[60.0, 40.0]",3825686,0,,,,,2.158799,,Right Foot,,,"[59.0, 41.5]",Ground Pass,,1.8027756,,,,,Raúl García Escudero,6391.0,,,,,,Kick Off,1,From Kick Off,Aritz Aduriz Zubeldia,6394.0,Center Forward,2,Athletic Club,215,['a0428bb2-939f-4096-8966-f1ef30d7f890'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.300,Pass,
,,,,,,,,,,,,,,,,1.486619,,,,,,,,,,,,,,,df1b60ea-7243-4b40-9150-7a0653a24888,8,,"[58.8, 41.9]",3825686,0,,,,,-2.5882983,,Right Foot,,,"[35.0, 27.2]",Ground Pass,,27.973738,,,,,Xabier Etxeita Gorritxategi,6788.0,,,,,,,1,From Kick Off,Raúl García Escudero,6391.0,Center Attacking Midfield,2,Athletic Club,215,['b30a9d32-1de8-42d3-b469-df901ef57a33'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.882,Pass,
,,,,,,,,,,,,,,,,1.485904,,,,,,,,,,,,,,,420f99ea-10d5-4d71-9d3e-ab0be7817de1,11,,"[39.1, 28.5]",3825686,0,,,,,-0.05582429,,Right Foot,,,"[73.1, 26.6]",High Pass,,34.053047,,,,,Raúl García Escudero,6391.0,,,,,,,1,From Kick Off,Xabier Etxeita Gorritxategi,6788.0,Left Center Back,2,Athletic Club,215,['0f815f42-c812-46eb-bd1c-29b3e04a885f'],5,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:05.203,Pass,
,,,,,,,,,,,,,,,,1.957128,,,,,,,,,,,,,,,e0f630c6-fd6c-4c83-9fc1-06bbed322f15,14,,"[73.9, 24.8]",3825686,0,,,,,-1.3009472,,Right Foot,,,"[77.8, 10.7]",High Pass,,14.629422,,,,,Markel Susaeta Laskurain,6390.0,,,,,,,1,From Kick Off,Raúl García Escudero,6391.0,Center Attacking Midfield,2,Athletic Club,215,['44c77d8d-9824-47f7-95e2-bae57ae6fa2c'],6,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:06.769,Pass,
