bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b98b5938-e4e6-4560-9981-420ce7efbaed,1,,,3825884,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 21210, 'name': 'Mariano Ferreira Filho'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 6825, 'name': 'Daniel Filipe Martins Carriço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10476, 'name': 'Timothée Kolodziejczak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6718, 'name': 'Sergio Escudero Palomo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5737, 'name': ""Steven N''Kemboanza Mike Christopher Nzonzi""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 23816, 'name': 'José Antonio Reyes Calderón'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 8523, 'name': 'Yevhen Konoplyanka'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 6401, 'name': 'Kevin Gameiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sevilla,213,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7ab4a1e6-4cc1-4142-9a04-f8891a71e79f,2,,,3825884,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 7161, 'name': 'Germán Alejandro Pezzella'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 27349, 'name': 'Heiko Westermann'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 27346, 'name': 'Petros Matheus dos Santos Araújo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 3601, 'name': 'Charly Musonda Junior'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 6697, 'name': 'Daniel Ceballos Fernández'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Real Betis,218,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ad13b0ba-fbf0-471b-a195-c932367cc9ac,3,,,3825884,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['73eb8159-ba71-4aa0-bf43-112053447f73'],0,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,73eb8159-ba71-4aa0-bf43-112053447f73,4,,,3825884,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['ad13b0ba-fbf0-471b-a195-c932367cc9ac'],0,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cfe43e91-9bc7-418d-af9a-b9a1b430196a,1365,,,3825884,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,91,Sevilla,213,['6b0adba9-a3fe-4a61-bf99-baf5501f2157'],0,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6b0adba9-a3fe-4a61-bf99-baf5501f2157,1366,,,3825884,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,91,Sevilla,213,['cfe43e91-9bc7-418d-af9a-b9a1b430196a'],0,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.43357,,,,,,,,,,,,,936a1745-95db-402c-843c-2e0156965984,5,,"[60.0, 40.0]",3825884,0,,,,,-1.5707964,,Right Foot,,,"[60.0, 36.8]",,Ground Pass,,3.2,,,,,Daniel Ceballos Fernández,6697.0,,,,,Kick Off,1,From Kick Off,Rubén Castro Martín,6832.0,Center Forward,2,Real Betis,218,['a53d0b9d-54ba-46a9-98b9-e7a49aadc814'],1,,,,,,,,,,,,,,,,Real Betis,218,00:00:01.669,Pass,
,,,,,,,,,,,,,,,1.242695,,,,,,,,,,,,,1073a73b-93a5-4251-abfa-27002557af86,9,,"[63.5, 34.3]",3825884,0,,,,,-1.9873091,,Right Foot,,,"[53.9, 12.6]",,Ground Pass,,23.728674,,,,,Martín Montoya Torralbo,6593.0,,,,,,1,From Kick Off,Daniel Ceballos Fernández,6697.0,Left Wing,2,Real Betis,218,"['7fca637d-66c7-42d3-8586-0284cb8028cd', 'ac3e397e-a0df-4cf1-aecd-556ee10267e4']",4,,,,,,,,,,,,,,,,Real Betis,218,00:00:04.688,Pass,True
,,,,,,,,,,,,,,,1.595009,,,,,,,,,,,,,1d26fa91-71ae-43d5-ac00-9cc67e7446dd,12,,"[52.5, 10.9]",3825884,0,,,,,2.4096196,,Right Foot,,,"[32.8, 28.6]",,Ground Pass,,26.48358,,,,,Heiko Westermann,27349.0,,,,,,1,From Kick Off,Martín Montoya Torralbo,6593.0,Left Back,2,Real Betis,218,['ea72f34b-a191-4b17-a347-8fd258fb487e'],7,,,,,,,,,,,,,,,,Real Betis,218,00:00:07.921,Pass,
,,,,,,,,,,,,,,,2.699746,,,,,,,,,,,,,5d42fbaf-6e40-4031-8165-3515d2baf67b,16,,"[27.2, 27.9]",3825884,0,,,,,1.6387917,,Right Foot,,,"[25.3, 55.8]",,Ground Pass,,27.96462,,,,,Germán Alejandro Pezzella,7161.0,,,,,,1,From Kick Off,Heiko Westermann,27349.0,Left Center Back,2,Real Betis,218,"['2a8b94dc-31fc-4fb1-8129-308928e90341', 'e54d6e4a-d11d-47e6-9822-7717332dc6ec']",10,,,,,,,,,,,,,,,,Real Betis,218,00:00:10.553,Pass,True
,,,,,,,,,,,,,,,2.320136,,,,,,,,,,,,,7d4fa985-e172-4e31-96e0-f9ae32cd4919,19,,"[25.3, 59.4]",3825884,0,,,,,-0.19311842,,Right Foot,,,"[70.3, 50.6]",,High Pass,,45.85237,,,,,Rubén Castro Martín,6832.0,,,,,,1,From Kick Off,Germán Alejandro Pezzella,7161.0,Right Center Back,2,Real Betis,218,['3bab1da0-4665-42b1-8ac8-1d6ae492f92a'],14,,,,,,,,,,,,,,,,Real Betis,218,00:00:14.541,Pass,
,,,,,,,,,,,,,,,1.383595,,,,,,,,,,,,,b3a36d24-c65f-43a1-b3ba-c1f51ac34932,21,,"[70.9, 50.6]",3825884,0,,,,,0.7983844,,Other,,,"[82.3, 62.3]",,Low Pass,,16.335545,,,,,Joaquín Sánchez Rodríguez,6651.0,,,,,,1,From Kick Off,Rubén Castro Martín,6832.0,Center Forward,2,Real Betis,218,['719b5a26-e96b-4869-a7b5-dcc596a47bbd'],16,,,,,,,,,,,,,,,,Real Betis,218,00:00:16.861,Pass,
,,,,,,,,,,,,,,,2.354777,,,,,,,,,,,,,abeab59e-bd40-49a7-9cf1-4b592b4c439d,26,,"[85.3, 67.2]",3825884,0,,,,,1.9914597,,Right Foot,,,"[80.2, 78.6]",,Ground Pass,,12.488795,,,,,Charly Musonda Junior,3601.0,,,,,,1,From Kick Off,Joaquín Sánchez Rodríguez,6651.0,Center Attacking Midfield,2,Real Betis,218,"['03404d56-f0c2-4a52-8a76-7e28b3c0c11d', 'dc949bd3-8ece-4120-b31b-759feb9e09bc', 'dfc4d415-9986-4158-8157-c7f1c6c77c36']",19,,,,,,,,,,,,,,,,Real Betis,218,00:00:19.089,Pass,True
,,,,,,,,,,,,,,,0.99464,,,,,,,,,,,,,ae9d2a73-2625-4c06-a1cd-b9acda9db406,30,,"[83.0, 77.6]",3825884,0,,,,,-0.11710875,,Right Foot,,,"[93.2, 76.4]",,Ground Pass,,10.270346,,,,,Joaquín Sánchez Rodríguez,6651.0,,,,,,1,From Kick Off,Charly Musonda Junior,3601.0,Right Wing,2,Real Betis,218,"['5a9f62a4-0a8c-4d2e-b657-1c52ca9e623e', 'a90ee9b8-af8c-4f8a-9d47-0a125a3764f0']",23,,,,,,,,,,,,,,,,Real Betis,218,00:00:23.335,Pass,True
,,,,,,,,,,,,,,,0.925446,,,,,,,,,,,,,020ee061-672e-4665-8b1f-30cac1f9beb9,35,,"[90.4, 76.7]",3825884,0,,,,,-2.685244,,Right Foot,,,"[84.9, 74.0]",,Ground Pass,,6.1269894,,,,,Charly Musonda Junior,3601.0,,,,,,1,From Kick Off,Joaquín Sánchez Rodríguez,6651.0,Center Attacking Midfield,2,Real Betis,218,"['3076bffc-fa25-4eb9-b202-77ec18f9176b', '343ce71f-b2be-4172-9e3c-4a4a1159b673']",27,,,,,,,,,,,,,,,,Real Betis,218,00:00:27.196,Pass,True
,,,,,,,,,,,,,,,1.104912,,,,,,,,,,,,,ce72e713-e920-4b9a-966e-ec25f205875c,49,,"[92.6, 61.5]",3825884,0,,,,,1.0741657,,Right Foot,,,"[101.0, 77.0]",,Ground Pass,,17.629805,,,,,Joaquín Sánchez Rodríguez,6651.0,,,,,,1,From Kick Off,Charly Musonda Junior,3601.0,Right Wing,2,Real Betis,218,"['3168f3ab-0d4e-4d04-a182-de335f4aedef', 'b560009d-0917-4889-bdbd-5cfc859d365b', 'feda893b-5f27-43f0-9458-6f5a0f214eaf']",33,,,,,,,,,,,,,,,,Real Betis,218,00:00:33.510,Pass,True
,,,,,,,,,,,,,,,0.458113,,,,,,,,,,,,,28276cb9-0837-449e-a7b0-682c09350be0,52,,"[106.2, 64.2]",3825884,0,,,,,-2.1655555,,Right Foot,,,"[101.6, 57.4]",,Ground Pass,,8.20975,,,,,Charly Musonda Junior,3601.0,,,,,,1,From Kick Off,Joaquín Sánchez Rodríguez,6651.0,Center Attacking Midfield,2,Real Betis,218,['554ebc05-1c6f-4ac9-ab0c-3d47d66e76f5'],38,,,,,,,,,,,,,,,,Real Betis,218,00:00:38.374,Pass,
,,,,,,,,,,,,,,,0.476941,,,,,,,,,,,,,69a177c2-514e-4ff7-b12e-6c3d005402c4,55,,"[102.2, 56.2]",3825884,0,,,,,1.5989579,,Right Foot,,,"[102.0, 63.3]",,Ground Pass,,7.102816,,,,,Joaquín Sánchez Rodríguez,6651.0,,,,,,1,From Kick Off,Charly Musonda Junior,3601.0,Right Wing,2,Real Betis,218,['4aae0fc2-5746-4a93-9381-abe25e043484'],38,,,,,,,,,,,,,,,,Real Betis,218,00:00:38.857,Pass,
