ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,2.329155,,,,,,,,,,,,,50267494-ad1f-4c5a-95b8-45c7f5246d24,1893,,"[65.9, 77.3]",3825636,51,,,,,-0.689539,,Left Foot,,,"[88.7, 58.5]",High Pass,,29.551311,,Incomplete,,,,,,,,,2,From Free Kick,Roberto José Rosales Altuve,6569.0,Right Back,139,Málaga,223,['6ee3e373-2101-41de-a4f8-c5b1ff4e43e6'],0,,,,,,,,,,,,,,,,,Málaga,223,00:06:00.732,Pass,
,,,,,,,,,,,,,,,0.972532,,,,,,,,,,,,,7bb0ac9a-7ad6-40e7-84fe-8c825311241e,1896,,"[31.4, 21.6]",3825636,51,,,,,1.0235119,,Right Foot,,,"[43.1, 40.8]",Ground Pass,,22.483994,,,,Celso Borges Mora,5582.0,,,,,,2,From Free Kick,Sidnei Rechel da Silva Júnior,6777.0,Left Center Back,139,Málaga,223,['2ce4b95f-0e83-49cd-8cba-052745c5c841'],5,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:06:05.793,Pass,
,,,,,,,,,,,,,,,5.697867,,,,,,,,,,,,,17dcf85d-181a-4ad2-b2fa-5a9b7462f40d,1899,,"[47.2, 46.0]",3825636,51,,,,,0.06197726,,Right Foot,,,"[103.6, 49.5]",Low Pass,,56.508495,,Incomplete,,Oriol Riera Magem,27243.0,,,,,,2,From Free Kick,Celso Borges Mora,5582.0,Right Defensive Midfield,139,Málaga,223,"['6f884245-3307-42cd-a726-4b7c23098b53', 'a2923e1a-63d2-4a51-8a46-23319f647686']",8,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:06:08.063,Pass,
,,,,,,,,,,,,,,,0.485211,,,,,,,,,,,,,6f884245-3307-42cd-a726-4b7c23098b53,1901,,"[16.5, 30.6]",3825636,51,,,,,-0.14955974,,Right Foot,,,"[23.8, 29.5]",Ground Pass,,7.3824115,,,,Weligton Róbson Pena de Oliveira,26669.0,,,,,Recovery,2,From Free Kick,Idriss Carlos Kameni,26103.0,Goalkeeper,139,Málaga,223,"['17dcf85d-181a-4ad2-b2fa-5a9b7462f40d', '4ef287e8-cee7-4b12-921a-cf76c9eaaf04']",13,,,,,,,,,,,,,,,,,Málaga,223,00:06:13.761,Pass,
,,,,,,,,,,,,,,,2.857654,,,,,,,,,,,,,717fcdb2-cf06-4814-9974-0f41863e3eaf,1904,,"[27.7, 29.9]",3825636,51,,,,,1.3906885,,Left Foot,,,"[34.0, 64.5]",Ground Pass,,35.168877,,,,Raúl Albentosa Redal,6727.0,,,,,,2,From Free Kick,Weligton Róbson Pena de Oliveira,26669.0,Left Center Back,139,Málaga,223,['8576fb4a-7075-4362-88b9-27648e340e13'],17,,,,,,,,,,,,,,,,,Málaga,223,00:06:17.449,Pass,
,,,,,,,,,,,,,,,1.713013,,,,,,,,,,,,,a2896a76-32a5-49cd-93e6-e5b029ed4d4e,1907,,"[34.0, 64.5]",3825636,51,,,,,0.9109479,,Right Foot,,,"[43.0, 76.1]",Ground Pass,,14.681962,,,,Roberto José Rosales Altuve,6569.0,,,,,,2,From Free Kick,Raúl Albentosa Redal,6727.0,Right Center Back,139,Málaga,223,['ce8dc97a-7cc1-4efe-8473-7555bf05745a'],20,,,,,,,,,,,,,,,,,Málaga,223,00:06:20.647,Pass,
,,,,,,,,,,,,,,,2.199111,,,,,,,,,,,,,43dc593b-af2f-422d-91e0-cb513e5e4842,1910,,"[43.0, 76.1]",3825636,51,,,,,-2.001489,,Right Foot,,,"[27.7, 42.8]",Ground Pass,,36.64669,,,,Weligton Róbson Pena de Oliveira,26669.0,,,,,,2,From Free Kick,Roberto José Rosales Altuve,6569.0,Right Back,139,Málaga,223,['ad5e39b4-53b3-491b-ae8b-0fd89817922d'],23,,,,,,,,,,,,,,,,,Málaga,223,00:06:23.745,Pass,
,,,,,,,,,,,,,,,2.077426,,,,,,,,,,,,,b5b1ead6-4638-4df1-a8af-83970a223714,1913,,"[35.7, 41.6]",3825636,51,,,,,-1.29292,,Right Foot,,,"[44.6, 10.4]",Ground Pass,,32.44457,,,,José Luis García del Pozo,6580.0,,,,,,2,From Free Kick,Weligton Róbson Pena de Oliveira,26669.0,Left Center Back,139,Málaga,223,['b0b22265-f8a5-4162-977c-a99d648a3aa1'],27,,,,,,,,,,,,,,,,,Málaga,223,00:06:27.656,Pass,
,,,,,,,,,,,,,,,1.008834,,,,,,,,,,,,,2e14070c-a4fc-4417-97d4-f34784ef1133,1916,,"[56.5, 10.6]",3825636,51,,,,,-0.18673877,,Right Foot,,,"[78.2, 6.5]",Ground Pass,,22.083931,,,,Arthur Etienne Boka,27335.0,,,,,,2,From Free Kick,José Luis García del Pozo,6580.0,Right Defensive Midfield,139,Málaga,223,['d5412c21-51c8-48c9-bb17-8985bc3bf1a8'],31,,,,,,,,,,,,,,,,,Málaga,223,00:06:31.868,Pass,
,,,,,,,,,,,,,,,2.283589,,,,,,,,,,,,,9d807787-14aa-49e7-bb3f-9b254a59fe5b,1919,,"[84.4, 5.2]",3825636,51,,,,,0.41145626,,Left Foot,,,"[111.9, 17.2]",Ground Pass,,30.004166,,,,Juan Carlos Pérez López,6559.0,,,,,,2,From Free Kick,Arthur Etienne Boka,27335.0,Left Back,139,Málaga,223,['21fae637-f11c-474d-839a-830b8a0576ba'],34,,,,,,,,,,,,,,,,,Málaga,223,00:06:34.315,Pass,
