ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,09bcb55e-fe7b-4e59-b7bd-fcf4668708c6,1,,,3825842,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6787, 'name': 'Pedro López Muñoz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 27656, 'name': 'Carl Medjani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 6659, 'name': 'Víctor Camarasa Ferrando'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 27463, 'name': 'Mauricio Andrés Cuero Castillo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 23791, 'name': 'Víctor Casadesús Castaño'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Levante UD,221,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a086c796-9094-48e5-b6a2-e345836ff471,2,,,3825842,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6386, 'name': 'Eneko Bóveda Altube'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6389, 'name': 'Mikel San José Domínguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6388, 'name': 'Ander Iturraspe Derteano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 6842, 'name': 'Iker Muniain Goñi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 23833, 'name': 'Borja Viguera Manzanares'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Athletic Club,215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ed49de3f-0df2-4926-80d5-ac524773134e,3,,,3825842,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['22896796-eb81-4906-a115-dcbd74be20da'],0,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,22896796-eb81-4906-a115-dcbd74be20da,4,,,3825842,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['ed49de3f-0df2-4926-80d5-ac524773134e'],0,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,086216c0-ab23-4695-be6c-5dcf94daba86,1584,,,3825842,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,97,Levante UD,221,['37380cf5-e50b-4171-9483-46d63e514afd'],0,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,37380cf5-e50b-4171-9483-46d63e514afd,1585,,,3825842,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,97,Levante UD,221,['086216c0-ab23-4695-be6c-5dcf94daba86'],0,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,2.839197,,,,,,,,,,,,384bef77-5672-4ca4-b36d-a4e40d28fec7,5,,"[61.0, 40.1]",3825842,0,,,,,-2.8329418,,Right Foot,,,"[33.4, 31.3]",,Ground Pass,,28.968948,,,Xabier Etxeita Gorritxategi,6788.0,,,,,Kick Off,1,From Kick Off,Borja Viguera Manzanares,23833.0,Center Forward,2,Athletic Club,215,['569ddaa9-66e0-4efe-9d07-9bbe2594d40c'],0,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.051,Pass,
,,,,,,,,,,,,,,,2.749282,,,,,,,,,,,,27ac52f1-9a67-437f-8a1d-46cb26250a89,8,,"[33.4, 37.5]",3825842,0,,,,,0.38123366,,Right Foot,,,"[80.8, 56.5]",,High Pass,,51.06623,Incomplete,,,,,,,,,1,From Kick Off,Xabier Etxeita Gorritxategi,6788.0,Left Center Back,2,Athletic Club,215,['9b6c14e0-c53e-46b2-926a-0cf52b2a5e07'],3,,,,,,,,,,,,,,,,Athletic Club,215,00:00:03.999,Pass,
,,,,,,,,,,,,,,,2.299959,,,,,,,,,,,,20f1d72c-033d-48b7-b17b-a51ef1be3b7e,13,,"[32.2, 39.2]",3825842,0,,,,,1.9132206,,Right Foot,,,"[20.9, 70.9]",,Ground Pass,,33.653828,,,Pedro López Muñoz,6787.0,,,,,,1,Regular Play,Víctor Camarasa Ferrando,6659.0,Right Defensive Midfield,3,Levante UD,221,['c1230ebf-5132-4310-bd4f-c16b4e9ada74'],10,,,,,,,,,,,,,,,,Levante UD,221,00:00:10.344,Pass,
,,,,,,,,,,,,,,,1.350181,,,,,,,,,,,,eef0a8fd-4544-4c1a-8c19-05f1febecc1e,16,,"[20.9, 70.9]",3825842,0,,,,,-0.009966447,,Right Foot,,,"[51.0, 70.6]",,High Pass,,30.101496,,,Mauricio Andrés Cuero Castillo,27463.0,,,,,,1,Regular Play,Pedro López Muñoz,6787.0,Right Back,3,Levante UD,221,['623387b2-d50d-44c2-87ff-318187a477c7'],13,,,,,,,,,,,,,,,,Levante UD,221,00:00:13.042,Pass,
,,,,,,,,,,,,,,,2.786474,,,,,,,,,,,,3586bb8c-a0b0-4c2b-a935-178b2df2606d,19,,"[65.1, 10.5]",3825842,0,,,,,-0.019799393,,Head,,,"[85.3, 10.1]",,Low Pass,,20.20396,,,Iker Muniain Goñi,6842.0,,,,,Recovery,1,Regular Play,Mikel Balenziaga Oruesagasti,6789.0,Left Back,4,Athletic Club,215,['f8832f03-1493-4290-a4c6-dfc0edee6eba'],14,,,,,,,,,,,,,,,,Athletic Club,215,00:00:14.966,Pass,
,,,,,,,,,,,,,,,0.653396,,,,,,,,,,,,56d08199-014b-4225-8f95-e5f160b4c821,22,,"[84.3, 13.5]",3825842,0,,,,,-1.7419449,,Right Foot,,,"[82.9, 5.4]",,Ground Pass,,8.220098,,,Mikel Balenziaga Oruesagasti,6789.0,,,,,,1,Regular Play,Iker Muniain Goñi,6842.0,Left Wing,4,Athletic Club,215,['ef993673-11c6-4548-9a33-e5a8eb6c4236'],20,,,,,,,,,,,,,,,,Athletic Club,215,00:00:20.391,Pass,
