50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0bd99c6d-424a-456f-84f2-519d14a12eb6,1,,,3825738,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6927, 'name': 'David García Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 26448, 'name': 'Javier Garrido Behovide'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6608, 'name': 'Nabil El Zhar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 6721, 'name': 'Willian José da Silva'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Las Palmas,208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1b628012-cf7f-4332-8a0e-eb735195a706,2,,,3825738,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 19668, 'name': 'Augusto Matías Fernández'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 6}, {'player': {'id': 6744, 'name': 'Luciano Vietto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Atlético Madrid,212,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9bfd31b4-fb10-439c-b74e-cc93b050dbe5,3,,,3825738,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['cd81df75-e38a-415f-bd08-c1d156cf1981'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cd81df75-e38a-415f-bd08-c1d156cf1981,4,,,3825738,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['9bfd31b4-fb10-439c-b74e-cc93b050dbe5'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d17bfed8-5f94-496f-acc7-28574e717c56,2102,,,3825738,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Atlético Madrid,212,['f8a567ba-8779-4bd6-9301-a95aa841bd01'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f8a567ba-8779-4bd6-9301-a95aa841bd01,2103,,,3825738,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Atlético Madrid,212,['d17bfed8-5f94-496f-acc7-28574e717c56'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.590054,,,,,,,,,,,,45a3ebd0-e2b2-4404-85f5-3c2bce211acd,5,,"[60.0, 40.0]",3825738,0,,True,,,-1.6183795,,Right Foot,,,"[59.9, 37.9]",,Ground Pass,,2.1023796,,,,,Luciano Vietto,6744.0,,,,,Kick Off,1,From Kick Off,Gabriel Fernández Arenas,6384.0,Right Defensive Midfield,2,Atlético Madrid,212,['e266272b-633e-45ea-9083-3affcf744535'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.278,Pass,
,,,,,,,,,,,,,,,,,,1.166584,,,,,,,,,,,,d99c4a7c-5adf-4b08-8329-a621a13da07a,7,,"[59.9, 38.3]",3825738,0,,,,,3.1415927,,Right Foot,,,"[48.0, 38.3]",,Ground Pass,,11.9,,,,,Augusto Matías Fernández,19668.0,,,,,,1,From Kick Off,Luciano Vietto,6744.0,Center Forward,2,Atlético Madrid,212,['ca49c5e6-4478-4bc4-ac38-63a31dbd8456'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.909,Pass,
,,,,,,,,,,,,,,,,,,1.680455,,,,,,,,,,,,8b19ee3d-5219-443b-bf25-764dd56cb900,10,,"[48.5, 38.7]",3825738,0,,,,,-1.784857,,Right Foot,,,"[44.5, 20.3]",,Ground Pass,,18.829763,,,,,Saúl Ñíguez Esclapez,6381.0,,,,,,1,From Kick Off,Augusto Matías Fernández,19668.0,Left Defensive Midfield,2,Atlético Madrid,212,['e2dc98a3-ab59-4ade-ae81-d42a4df63b6b'],2,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:02.561,Pass,
,,,,,,,,,,,,,,,,,,1.979833,,,,,,,,,,,,a067d2ba-b72b-4d5b-9b75-33446bdcacd0,13,,"[47.6, 12.6]",3825738,0,,,,,-0.4636476,,Left Foot,,,"[69.0, 1.9]",,Ground Pass,,23.925928,,,,,Jorge Resurrección Merodio,5199.0,,,,,,1,From Kick Off,Saúl Ñíguez Esclapez,6381.0,Center Attacking Midfield,2,Atlético Madrid,212,['adf0fdb6-700a-49ad-821f-60774b123479'],5,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:05.074,Pass,
,,,,,,,,,,,,,,,,,,0.775172,,,,,,,,,,,,0a9355ac-87cb-47ed-a8b0-3d875003cd7f,16,,"[73.7, 1.1]",3825738,0,,,,,0.8685394,,Right Foot,,,"[79.2, 7.6]",,Ground Pass,,8.514693,,,,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Jorge Resurrección Merodio,5199.0,Left Wing,2,Atlético Madrid,212,['28ef945f-0fd7-4ed7-92d2-c6fdf71522c0'],7,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:07.748,Pass,
,,,,,,,,,,,,,,,,,,2.754552,,,,,,,,,,,,95f71401-a6a6-4829-a6d2-1dcf51535dfe,23,,"[78.3, 1.5]",3825738,0,,,,,0.0,,Left Foot,,,"[105.5, 1.5]",,Ground Pass,,27.2,,,,,Filipe Luís Kasmirski,6320.0,,,,,,1,From Kick Off,Antoine Griezmann,5487.0,Right Wing,2,Atlético Madrid,212,['3a21ec71-dc9b-4b60-9b11-548c0c4142e8'],10,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:10.604,Pass,
