50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,17427b37-12bc-41cf-aa14-c052ee21d8cf,1,,,3825816,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 21210, 'name': 'Mariano Ferreira Filho'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6825, 'name': 'Daniel Filipe Martins Carriço'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27483, 'name': 'Benoît Trémoulinas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 3497, 'name': 'Vicente Iborra De La Fuente'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5737, 'name': ""Steven N''Kemboanza Mike Christopher Nzonzi""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6356, 'name': 'Michael Krohn-Dehli'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 8523, 'name': 'Yevhen Konoplyanka'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 6401, 'name': 'Kevin Gameiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sevilla,213,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,930c5628-76c2-4ec4-9309-8a4d59308507,2,,,3825816,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3379, 'name': 'Alphonse Areola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6827, 'name': 'Daniele Bonera'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3324, 'name': 'Eric Bertrand Bailly'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 5588, 'name': 'Antonio Rukavina'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 6862, 'name': 'Cédric Bakambu'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 6735, 'name': 'Adrián López Álvarez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Villarreal,222,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,49b8c229-e209-4144-8d59-4b2404c518a1,3,,,3825816,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['f3cd1a40-1c89-4a4a-9efa-3f977261f602'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f3cd1a40-1c89-4a4a-9efa-3f977261f602,4,,,3825816,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['49b8c229-e209-4144-8d59-4b2404c518a1'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d309dd09-0b61-45fb-bb7c-2b84fd2a7b9b,1694,,,3825816,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,91,Sevilla,213,['9b0af4c0-7217-4ba5-a766-dfe6922abf2f'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9b0af4c0-7217-4ba5-a766-dfe6922abf2f,1695,,,3825816,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,91,Sevilla,213,['d309dd09-0b61-45fb-bb7c-2b84fd2a7b9b'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.476467,,,,,,,,,,,,8dffcf7f-d965-46d1-bff7-9109f1f8cf0a,5,,"[61.0, 40.1]",3825816,0,,True,,,1.735945,,Right Foot,,,,"[60.4, 43.7]",,Ground Pass,,3.6496575,,,Michael Krohn-Dehli,6356.0,,,,,Kick Off,1,From Kick Off,Kevin Gameiro,6401.0,Center Forward,2,Sevilla,213,['4865a3bc-f788-431b-91ef-dfc0c25645ac'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.112,Pass,
,,,,,,,,,,,,,,,,0.962737,,,,,,,,,,,,07e2b743-4116-4c1e-b745-c01135de3d57,7,,"[60.0, 43.7]",3825816,0,,,,,-2.8097923,,Right Foot,,,,"[48.1, 39.6]",,Ground Pass,,12.586501,,,Vicente Iborra De La Fuente,3497.0,,,,,,1,From Kick Off,Michael Krohn-Dehli,6356.0,Right Wing,2,Sevilla,213,['e90a3e0d-0b1f-4ba9-9573-592394d526bf'],2,,,,,,,,,,,,,,,,,Sevilla,213,00:00:02.246,Pass,
,,,,,,,,,,,,,,,,1.632692,,,,,,,,,,,,b199d63c-e3fd-4e4f-b8d6-dd367cdcd1d8,10,,"[44.2, 40.6]",3825816,0,,,,,2.3892949,,Right Foot,,,,"[28.6, 55.2]",,Ground Pass,,21.36633,,,Adil Rami,3253.0,,,,,,1,From Kick Off,Vicente Iborra De La Fuente,3497.0,Right Defensive Midfield,2,Sevilla,213,['2245d86c-76c6-4d5d-94be-fb42d94ad973'],4,,,,,,,,,,,,,,,,,Sevilla,213,00:00:04.431,Pass,
,,,,,,,,,,,,,,,,3.29438,,,,,,,,,,,,12317110-0b02-4b41-8830-2f5d22242938,13,,"[31.5, 54.8]",3825816,0,,,,,-0.30306563,,Right Foot,,,,"[94.5, 35.1]",,High Pass,,66.008255,,,Kevin Gameiro,6401.0,,,,,,1,From Kick Off,Adil Rami,3253.0,Right Center Back,2,Sevilla,213,['e90e807c-dc01-494e-bad6-f0ab9c7a649c'],7,,,,,,,,,,,,,,,,,Sevilla,213,00:00:07.691,Pass,
