50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,78fb0a3e-2440-42b8-86d6-952770c939b3,1,,,3825733,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6672, 'name': 'Jorge Andújar Moreno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 6825, 'name': 'Daniel Filipe Martins Carriço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 27483, 'name': 'Benoît Trémoulinas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7154, 'name': 'Sebastián Carlos Cristóforo Pepe'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6841, 'name': 'Víctor Machín Pérez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 6356, 'name': 'Michael Krohn-Dehli'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 6401, 'name': 'Kevin Gameiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sevilla,213,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,80cc0ea6-d928-4f4c-b3f7-72d401b5cd15,2,,,3825733,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6727, 'name': 'Raúl Albentosa Redal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 27335, 'name': 'Arthur Etienne Boka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 8234, 'name': 'Ignacio Camacho Barnola'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3302, 'name': 'Nordin Amrabat'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 6740, 'name': 'Gonzalo Castro Irizábal'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 8419, 'name': 'Duje Čop'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Málaga,223,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,986bcd20-a769-4c23-9afe-837a8b65e21e,3,,,3825733,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['a1d1dbe2-6b27-44f1-bdb7-ca8e99640a3f'],0,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a1d1dbe2-6b27-44f1-bdb7-ca8e99640a3f,4,,,3825733,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['986bcd20-a769-4c23-9afe-837a8b65e21e'],0,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c1bcd429-7a12-4180-b93b-b95ca4bdbd71,1627,,,3825733,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Málaga,223,['4856ff37-4ccf-4d0e-9056-82750c2b2e65'],0,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4856ff37-4ccf-4d0e-9056-82750c2b2e65,1628,,,3825733,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Málaga,223,['c1bcd429-7a12-4180-b93b-b95ca4bdbd71'],0,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.33277,,,,,,,,,,,,,98006872-c1cd-46c1-9914-f09a2afcf939,5,,"[60.0, 40.0]",3825733,0,,True,,,-2.0005586,,Right Foot,,,"[58.9, 37.6]",,Ground Pass,,2.6400757,,,,,Charles Días Barbosa de Oliveira,6707.0,,,,,Kick Off,1,From Kick Off,Duje Čop,8419.0,Left Center Forward,2,Málaga,223,['cf0eea62-1554-4787-80a8-f410215054c3'],0,,,,,,,,,,,,,,,,Málaga,223,00:00:00.849,Pass,
,,,,,,,,,,,,,,,,,2.033907,,,,,,,,,,,,,6985d326-f2c7-4199-bef4-6a25eb3a6751,7,,"[58.2, 36.5]",3825733,0,,,,,3.1415927,,Right Foot,,,"[35.3, 36.5]",,Ground Pass,,22.9,,,,,Weligton Róbson Pena de Oliveira,26669.0,,,,,,1,From Kick Off,Charles Días Barbosa de Oliveira,6707.0,Right Center Forward,2,Málaga,223,['a60b0b6c-778d-4a0b-a7ea-f697ffdabbf3'],1,,,,,,,,,,,,,,,,Málaga,223,00:00:01.274,Pass,
,,,,,,,,,,,,,,,,,2.679073,,,,,,,,,,,,,d095f3c9-27fd-4d20-a9ac-fe5b94948bea,10,,"[37.3, 37.4]",3825733,0,,,,,0.43905464,,Left Foot,,,"[80.1, 57.5]",,High Pass,,47.284775,,,Incomplete,,Nordin Amrabat,3302.0,,,,,,1,From Kick Off,Weligton Róbson Pena de Oliveira,26669.0,Left Center Back,2,Málaga,223,"['7aa1f1cf-cdce-4ec1-ad39-6e5473570458', 'a975ee69-cc67-4750-aa1f-048309303825']",4,,,,,,,,,,,,,,,,Málaga,223,00:00:04.154,Pass,
,,,,,,,,,,,,,,,,,1.712428,,,,,,,,,,,,,a975ee69-cc67-4750-aa1f-048309303825,12,,"[40.0, 22.6]",3825733,0,,,,,0.3632492,,Head,,,"[57.1, 29.1]",,High Pass,,18.293715,,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Michael Krohn-Dehli,6356.0,Left Wing,2,Málaga,223,"['b91bb8a6-8b8b-4710-b4dc-c5c9dcf73555', 'd095f3c9-27fd-4d20-a9ac-fe5b94948bea']",6,,,,,,,,,,,,,,,,Sevilla,213,00:00:06.833,Pass,
