50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,712f5754-98d1-4537-8e12-5f9e7ad67a52,1,,,,3825759,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 16723, 'name': 'Egor Filipenko'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 27335, 'name': 'Arthur Etienne Boka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 8234, 'name': 'Ignacio Camacho Barnola'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6563, 'name': 'Juan Pablo Añor Acosta'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 28}, {'player': {'id': 3084, 'name': 'Christian Atsu Twasam'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 8419, 'name': 'Duje Čop'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Málaga,223,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7c6366cc-c525-4869-950d-952a49fe8346,2,,,,3825759,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 17054, 'name': 'Emiliano Daniel Velázquez Maldonado'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6856, 'name': 'Carlos Martín Vigaray'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 11675, 'name': 'Moisés Gómez Bordonado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 23416, 'name': 'Stefan Šćepović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Getafe,216,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7607d941-f360-4a6a-bd59-a033b22ab150,3,,,,3825759,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['2b73e125-fd1a-46eb-9c75-7428fa6b1d8b'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2b73e125-fd1a-46eb-9c75-7428fa6b1d8b,4,,,,3825759,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['7607d941-f360-4a6a-bd59-a033b22ab150'],0,,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c97ded8b-5945-4a84-8a1d-fd70aa87c138,1813,,,,3825759,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,103,Getafe,216,['cdd5d072-45ba-414f-b18d-20d84e663203'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cdd5d072-45ba-414f-b18d-20d84e663203,1814,,,,3825759,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,103,Getafe,216,['c97ded8b-5945-4a84-8a1d-fd70aa87c138'],0,,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.739532,,,,,,,,,,,,,5be06a06-5ffb-4b9f-ac41-96e8a2daf2b0,5,,,"[61.0, 40.1]",3825759,0,,,,,2.8536682,,Right Foot,,,,"[35.0, 47.8]",,Ground Pass,,27.116232,,,,Miguel Torres Gómez,6878.0,,,,,Kick Off,1,From Kick Off,Charles Días Barbosa de Oliveira,6707.0,Left Center Forward,2,Málaga,223,['ecd48a01-140a-4f14-bc69-c5f684732761'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.729,Pass,
,,,,,,,,,,,,,,,,,3.016683,,,,,,,,,,,,,a63258f2-55f6-41b1-a852-0e8c225f3b4d,8,,,"[36.5, 47.8]",3825759,0,,,,,0.03091798,,Right Foot,,,,"[85.0, 49.3]",,High Pass,,48.52319,,Incomplete,,Charles Días Barbosa de Oliveira,6707.0,,,,,,1,From Kick Off,Miguel Torres Gómez,6878.0,Left Center Back,2,Málaga,223,"['bd0c6c36-1738-42fc-a79c-9b349b265f21', 'd0ff1928-420f-46bc-b598-9717edc7e024']",4,,,,,,,,,,,,,,,,,,Málaga,223,00:00:04.270,Pass,
,,,,,,,,,,,,,,,,,2.121263,,,,,,,,,,,,,d0ff1928-420f-46bc-b598-9717edc7e024,11,,,"[35.1, 30.8]",3825759,0,,,,True,1.4168516,,,,,,"[37.8, 48.2]",,Low Pass,,17.608236,,Incomplete,,Juan Antonio Rodríguez Villamuela,25881.0,,,,,Recovery,1,From Kick Off,Emiliano Daniel Velázquez Maldonado,17054.0,Left Center Back,2,Málaga,223,"['54b23efb-f63b-46a0-a921-86ed23bab8a2', 'a63258f2-55f6-41b1-a852-0e8c225f3b4d', 'd3c061f2-b9c8-48dc-b346-c77900a0ec44', 'dfb898a4-4665-4aaf-84d6-1df909d2cd60']",7,,,,,,,,,,,,,,,,,,Getafe,216,00:00:07.287,Pass,True
,,,,,,,,,,,,,,,,,0.726327,,,,,,,,,,,,,ab2766d9-37d8-467f-9b26-d8ac2925b128,23,,,"[83.3, 34.3]",3825759,0,,,,,2.2061675,,Left Foot,,,,"[76.0, 44.2]",,Ground Pass,,12.300406,,,,Ignacio Camacho Barnola,8234.0,,,,,,1,From Kick Off,Christian Atsu Twasam,3084.0,Left Midfield,2,Málaga,223,['17f9ea0b-be97-4073-b327-2f5c889822a5'],11,,,,,,,,,,,,,,,,,,Málaga,223,00:00:11.410,Pass,
,,,,,,,,,,,,,,,,,0.587485,,,,,,,,,,,,,ec8c4a14-e79b-41a4-adc6-261c35f88f8a,25,,,"[76.0, 44.2]",3825759,0,,,,,-1.3961241,,Right Foot,,,,"[77.2, 37.4]",,Ground Pass,,6.905071,,,,José Luis García del Pozo,6580.0,,,,,,1,From Kick Off,Ignacio Camacho Barnola,8234.0,Right Defensive Midfield,2,Málaga,223,['2613adea-d4f8-4205-9a31-f14e07a0cd03'],12,,,,,,,,,,,,,,,,,,Málaga,223,00:00:12.137,Pass,
,,,,,,,,,,,,,,,,,2.13434,,,,,,,,,,,,,f09fd945-5bee-47cc-9928-5609d51cf11d,28,,,"[74.1, 38.9]",3825759,0,,,,,2.707085,,Right Foot,,,,"[56.0, 47.3]",,Ground Pass,,19.954197,,,,Egor Filipenko,16723.0,,,,,,1,From Kick Off,José Luis García del Pozo,6580.0,Left Defensive Midfield,2,Málaga,223,['7726603f-acb0-4549-b4b0-e12fbc969bd7'],13,,,,,,,,,,,,,,,,,,Málaga,223,00:00:13.363,Pass,
