bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,328a7c79-d73a-4f73-8b2f-09d1106aa45f,1,,,,3825704,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4546, 'name': 'Dimitri Foulquier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 4498, 'name': 'Jean-Sylvain Claude Babin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 25707, 'name': 'Francisco Manuel Rico Castro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 24783, 'name': 'Javier Márquez Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6680, 'name': 'Rubén Rochina Naixes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 6847, 'name': 'Adalberto Peñaranda Maestre'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Granada,1049,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d83f3e22-c66f-4bdf-bc1c-d76a5e542f72,2,,,,3825704,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6795, 'name': 'Rubén Blanco Veiga'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 7577, 'name': 'Carles Planas Antolínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 19668, 'name': 'Augusto Matías Fernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 27342, 'name': 'Josep Señé Escudero'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 23785, 'name': ""Théo Bongonda Mbul''Ofeko Batombo""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Celta Vigo,209,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9cb03082-b41d-4d8f-967c-1d59f64c5423,3,,,,3825704,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['4b8cba2e-47d3-41a2-800a-f3c101022d7b'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4b8cba2e-47d3-41a2-800a-f3c101022d7b,4,,,,3825704,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['9cb03082-b41d-4d8f-967c-1d59f64c5423'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,51ebe708-adc6-4afe-9912-85eab0a3cfc8,1554,,,,3825704,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,107,Celta Vigo,209,['a3c9a1a7-2a3d-45f6-88a1-ea553020c164'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a3c9a1a7-2a3d-45f6-88a1-ea553020c164,1555,,,,3825704,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,107,Celta Vigo,209,['51ebe708-adc6-4afe-9912-85eab0a3cfc8'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.228789,,,,,,,,,,,f67d1f40-adad-43d5-9cda-856f16b58c6d,5,,,"[60.0, 40.0]",3825704,0,,,,,1.5707964,,Right Foot,,,,"[60.0, 42.7]",,Ground Pass,,2.7,,,,Fabián Ariel Orellana Valenzuela,7105.0,,,,,,Kick Off,1,From Kick Off,Iago Aspas Juncal,5217.0,Center Forward,2,Celta Vigo,209,['c80ed0d9-a0ac-4d24-b7f9-96426f6ee7ea'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.279,Pass,
,,,,,,,,,,,,,,,,,1.274601,,,,,,,,,,,4e195afe-f1f5-4435-8a76-f30834703920,8,,,"[57.8, 39.9]",3825704,0,,,,,-2.3519752,,Right Foot,,,,"[46.0, 28.0]",,Ground Pass,,16.75858,,,,Daniel Wass,6797.0,,,,,,,1,From Kick Off,Fabián Ariel Orellana Valenzuela,7105.0,Center Attacking Midfield,2,Celta Vigo,209,['62815c3f-01c3-4a96-817c-69090b0520a8'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.668,Pass,
,,,,,,,,,,,,,,,,,1.37895,,,,,,,,,,,320f1625-b833-4969-a36d-0acf34aa2396,11,,,"[45.2, 24.7]",3825704,0,,,,,-1.7001513,,Right Foot,,,,"[42.0, 0.1]",,Ground Pass,,24.807257,,,,Carles Planas Antolínez,7577.0,,,,,,,1,From Kick Off,Daniel Wass,6797.0,Left Defensive Midfield,2,Celta Vigo,209,['6c0129df-562f-441b-96fc-b8a508bc5952'],2,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:02.841,Pass,
,,,,,,,,,,,,,,,,,1.101663,,,,,,,,,,,c1443ea3-fef8-4713-916c-a191877b8e55,14,,,"[38.8, 5.3]",3825704,0,,,,,2.389821,,Left Foot,,,,"[21.9, 21.1]",,Ground Pass,,23.135471,,,,Gustavo Daniel Cabral Cáceres,6794.0,,,,,,,1,From Kick Off,Carles Planas Antolínez,7577.0,Left Back,2,Celta Vigo,209,['a908b5f5-03a3-49db-b56b-d5f91f7a356e'],5,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:05.936,Pass,
