bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5c4989eb-5fd3-4e5c-8afd-960c4b05849f,1,,,3825781,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Rayo Vallecano,360,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 24255, 'name': 'Juan Carlos Martín Corral'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26222, 'name': 'José Eduardo Rosa Vale de Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 11298, 'name': 'José Ignacio Martínez García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26607, 'name': 'José Raúl Baena Urdiales'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 7900, 'name': 'Tiago Manuel Dias Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 26685, 'name': 'Nicolás Ladislao Fedor Flores'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c77fb7cd-4a1c-40d9-8279-cbe108af2a63,2,,,3825781,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Rayo Vallecano,360,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6672, 'name': 'Jorge Andújar Moreno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6349, 'name': 'Federico Julián Fazio'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 27483, 'name': 'Benoît Trémoulinas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 7154, 'name': 'Sebastián Carlos Cristóforo Pepe'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5737, 'name': ""Steven N''Kemboanza Mike Christopher Nzonzi""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6841, 'name': 'Víctor Machín Pérez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3497, 'name': 'Vicente Iborra De La Fuente'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 6356, 'name': 'Michael Krohn-Dehli'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 6401, 'name': 'Kevin Gameiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sevilla,213,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,04daa8ab-04e4-4f9b-afba-ac2c6d1c40e8,3,,,3825781,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Rayo Vallecano,360,['825fced5-df45-4ab0-bb25-5aa8cd9170fe'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,825fced5-df45-4ab0-bb25-5aa8cd9170fe,4,,,3825781,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Rayo Vallecano,360,['04daa8ab-04e4-4f9b-afba-ac2c6d1c40e8'],0,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,073e2d05-9681-4db4-a229-a42548bbcae3,1436,,,3825781,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,,104,Rayo Vallecano,360,['053c3a1c-0f19-4c7a-be4f-141d11bf66fb'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,053c3a1c-0f19-4c7a-be4f-141d11bf66fb,1437,,,3825781,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,,104,Rayo Vallecano,360,['073e2d05-9681-4db4-a229-a42548bbcae3'],0,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,0dab870c-186b-4452-ae96-5def3ad55884,5,,"[61.0, 40.1]",3825781,0,,True,,,1.6064954,,Right Foot,,,,"[60.9, 42.9]",,Ground Pass,,2.8017852,,,,Vicente Iborra De La Fuente,3497.0,,,,Kick Off,1,From Kick Off,Kevin Gameiro,6401.0,,Center Forward,2,Sevilla,213,['e6afb013-74ab-4b15-8952-8c19670fb775'],1,,,,,,,,,,,,,,,,,Sevilla,213,00:00:01.036,Pass,
,,,,,,,,,,,,,,,,1.6358,,,,,,,,,,,,,963dcfa5-2f48-4a05-bde7-c48693f13ed4,7,,"[60.4, 43.5]",3825781,0,,,,,-2.8265986,,Right Foot,,,,"[42.6, 37.7]",,Ground Pass,,18.721111,,,,Steven N''Kemboanza Mike Christopher Nzonzi,5737.0,,,,,1,From Kick Off,Vicente Iborra De La Fuente,3497.0,,Center Attacking Midfield,2,Sevilla,213,['861129ec-9925-4268-8670-e96b73878255'],1,,,,,,,,,,,,,,,,,Sevilla,213,00:00:01.236,Pass,
,,,,,,,,,,,,,,,,1.747274,,,,,,,,,,,,,ba217782-46c9-4528-b957-1a71ba44c017,10,,"[42.3, 37.9]",3825781,0,,,,,2.1808703,,Right Foot,,,,"[27.9, 58.5]",,Ground Pass,,25.13404,,,,Adil Rami,3253.0,,,,,1,From Kick Off,Steven N''Kemboanza Mike Christopher Nzonzi,5737.0,,Left Defensive Midfield,2,Sevilla,213,['e1132e96-7230-4551-b962-8b3a5090ed5e'],2,,,,,,,,,,,,,,,,,Sevilla,213,00:00:02.912,Pass,
,,,,,,,,,,,,,,,,2.164677,,,,,,,,,,,,,d8a8eef4-b408-42c3-a999-77b50155b5cd,14,,"[27.2, 57.9]",3825781,0,,,,,0.14985812,,Right Foot,,,,"[67.6, 64.0]",,High Pass,,40.857925,,,,Víctor Machín Pérez,6841.0,,,,,1,From Kick Off,Adil Rami,3253.0,,Right Center Back,2,Sevilla,213,"['4f41ec53-062f-4f5a-9f63-8efc881fc362', 'f3e151da-d49a-4767-b5e4-1e8100076e84']",5,,,,,,,,,,,,,,,,,Sevilla,213,00:00:05.731,Pass,True
