50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fe782ef0-842e-4117-858e-ad2bfbb7797a,1,,,,3825682,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4546, 'name': 'Dimitri Foulquier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 4498, 'name': 'Jean-Sylvain Claude Babin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25707, 'name': 'Francisco Manuel Rico Castro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6680, 'name': 'Rubén Rochina Naixes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6847, 'name': 'Adalberto Peñaranda Maestre'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Granada,1049,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,038a5785-31e9-4bf7-8e1a-ec7c43190504,2,,,,3825682,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 6382, 'name': 'Fernando José Torres Sanz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Atlético Madrid,212,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a1753a35-3836-46f6-9e0a-3924c2904a72,3,,,,3825682,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['e9f2373b-2302-48fe-92ed-7edb3432d521'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e9f2373b-2302-48fe-92ed-7edb3432d521,4,,,,3825682,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['a1753a35-3836-46f6-9e0a-3924c2904a72'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,822f748a-2a6a-4fd3-a3d9-d18b32f29eab,1826,,,,3825682,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Atlético Madrid,212,['29c1f970-ef2c-41be-97f8-541a3262da44'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,29c1f970-ef2c-41be-97f8-541a3262da44,1827,,,,3825682,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Atlético Madrid,212,['822f748a-2a6a-4fd3-a3d9-d18b32f29eab'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.139634,,,,,,,,,,,,,3471204a-2740-439c-86c9-608f333af394,5,,,"[61.0, 40.1]",3825682,0,,True,,,-2.4016178,,Left Foot,,,,"[58.7, 38.0]",,Ground Pass,,3.1144824,,,,,Adalberto Peñaranda Maestre,6847.0,,,,,Kick Off,1,From Kick Off,Youssef El-Arabi,27109.0,Center Forward,2,Granada,1049,['513b324b-60eb-42d3-a88c-c46b7baaa0b2'],0,,,,,,,,,,,,,,,,,Granada,1049,00:00:00.341,Pass,
,,,,,,,,,,,,,,,,,1.650457,,,,,,,,,,,,,7274fd55-267e-4197-9c32-e16a73f33cfe,7,,,"[59.0, 37.4]",3825682,0,,True,,,-2.946012,,Right Foot,,,,"[37.8, 33.2]",,Ground Pass,,21.612034,,,,,David Rodríguez Lombán,6702.0,,,,,,1,From Kick Off,Adalberto Peñaranda Maestre,6847.0,Left Wing,2,Granada,1049,['734280d0-c536-4bf4-a7fc-7518bd7422c3'],1,,,,,,,,,,,,,,,,,Granada,1049,00:00:01.564,Pass,
,,,,,,,,,,,,,,,,,5.121698,,,,,,,,,,,,,a0923fc6-db9d-44d9-a3bd-1e99bcc5d701,9,,,"[37.8, 31.4]",3825682,0,,,,,0.25011507,,Right Foot,,,,"[111.0, 50.1]",,High Pass,,75.55084,,,Incomplete,,,,,,,,,1,From Kick Off,David Rodríguez Lombán,6702.0,Left Center Back,2,Granada,1049,['b569e299-eb01-40f7-8b01-f32bc7ed70b3'],4,,,,,,,,,,,,,,,,,Granada,1049,00:00:04.520,Pass,
,,,,,,,,,,,,,,,,,4.510803,,,,,,,,,,,,,051a2370-b73d-4c53-8185-c350f53de88d,12,,,"[20.3, 38.5]",3825682,0,,,,,-0.22732346,,Right Foot,,,,"[89.9, 22.4]",,High Pass,,71.437874,,,,,Yannick Ferreira Carrasco,5633.0,,,,,,1,Regular Play,Jan Oblak,6378.0,Goalkeeper,3,Atlético Madrid,212,['f375b06f-9673-48c5-9d0a-53c238da364b'],18,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:18.451,Pass,
