ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c059e0a9-3d59-4fce-808c-8a1a6f41d589,1,,,3825592,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 16622, 'name': 'Mikel González de Martín Martínez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6674, 'name': 'Alberto De La Bella Madureño'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6770, 'name': 'Esteban Félix Granero Molina'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 8522, 'name': 'Armindo Tué Na Bangna'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 6673, 'name': 'Sergio Canales Madrazo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 6677, 'name': 'Imanol Agirretxe Arruti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Sociedad,210,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a3aa4325-3369-42db-8073-2c165c945c80,2,,,3825592,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 23974, 'name': 'Roberto Antonio Correa Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4741, 'name': 'Juan Rafael Fuentes Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 5}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,64c7847e-5201-4e62-b808-7c7ca05217bb,3,,,3825592,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['fdd3e56c-b995-4217-a160-f5fd59029cd7'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fdd3e56c-b995-4217-a160-f5fd59029cd7,4,,,3825592,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['64c7847e-5201-4e62-b808-7c7ca05217bb'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dd2a5340-ac50-47ee-ad1a-9f7f3f4bf347,1630,,,3825592,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,105,Real Sociedad,210,['526375b6-29e4-4fed-8830-4139948eb14a'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,526375b6-29e4-4fed-8830-4139948eb14a,1631,,,3825592,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,105,Real Sociedad,210,['dd2a5340-ac50-47ee-ad1a-9f7f3f4bf347'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.586308,,,,,,,,,,,,,,093088d3-da4a-457a-8ba3-a669bdf36bde,5,,"[60.0, 40.0]",3825592,0,,,,2.9942312,,Left Foot,,,,"[34.4, 43.8]",,Ground Pass,,25.880495,,,Álvaro González Soberón,6762.0,,,,,Kick Off,1,From Kick Off,Gerard Moreno Balaguero,6766.0,Center Forward,2,Espanyol,214,['13996817-7b89-4e2a-9dc3-ae954c6db479'],1,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:01.124,Pass,
,,,,,,,,,,,,,,,1.438181,,,,,,,,,,,,,,ad0f6f9e-f926-418d-8af5-89d00744163c,8,,"[34.0, 39.6]",3825592,0,,,,-1.7975951,,Right Foot,,,,"[29.5, 20.1]",,Ground Pass,,20.012497,,,Enzo Pablo Roco Roco,16456.0,,,,,,1,From Kick Off,Álvaro González Soberón,6762.0,Right Center Back,2,Espanyol,214,['044305f2-8b42-46a4-8f59-a563ac4f9098'],4,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:04.099,Pass,
,,,,,,,,,,,,,,,5.662992,,,,,,,,,,,,,,4cba08ff-1972-4b4e-b5ec-12f649993fc3,12,,"[36.6, 8.3]",3825592,0,,,,0.39037874,,Left Foot,,,,"[102.7, 35.5]",,High Pass,,71.477615,Incomplete,,Víctor Guillermo Álvarez Delgado,27241.0,,,,,,1,From Kick Off,Enzo Pablo Roco Roco,16456.0,Left Center Back,2,Espanyol,214,"['05f27c73-6011-4d86-b1c9-8696a6ec8d8b', '518dbec0-8c58-4100-9c3b-9d14a44de7ae', '868c3d45-6c82-40b1-bbe6-ffb882af5771']",7,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:07.407,Pass,True
,,,,,,,,,,,,,,,1.487257,,,,,,,,,,,,,,1a2c2207-655b-492c-8203-26c5bdbfb095,16,,"[16.9, 41.4]",3825592,0,,,,-1.0291821,,Keeper Arm,,,,"[24.3, 29.1]",,Ground Pass,,14.354442,,,Mikel González de Martín Martínez,16622.0,,,,,,1,Regular Play,Gerónimo Rulli,6694.0,Goalkeeper,3,Real Sociedad,210,['92bf1c66-74fa-4457-9385-f9929f42a62c'],14,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:14.576,Pass,
