50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2b36f19d-ed6a-40a2-9e7c-6fdf873e5618,1,,,3825564,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 27305, 'name': 'Germán Darío Lux'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23800, 'name': 'Laureano Sanabria Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 26107, 'name': 'Alberto Lopo García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6733, 'name': 'Pedro Mosquera Parada'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5582, 'name': 'Celso Borges Mora'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6738, 'name': 'Juan Francisco Moreno Fuertes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5724, 'name': 'Fayçal Fajr'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 25921, 'name': 'Rubén Gracia Calmache'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 6}, {'player': {'id': 6732, 'name': 'Lucas Pérez Martínez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,493c05c1-77d3-4464-83f9-c2489f0cd28d,2,,,3825564,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6605, 'name': 'Joseba Zaldúa Bengoetxea'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6674, 'name': 'Alberto De La Bella Madureño'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 8522, 'name': 'Armindo Tué Na Bangna'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 8584, 'name': 'Jonathas Cristian de Jesus'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Real Sociedad,210,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c5f8dc8f-4e00-4609-aa14-d83312b66b39,3,,,3825564,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,['f52590be-6d9c-438e-a0e3-e128611d8e48'],0,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f52590be-6d9c-438e-a0e3-e128611d8e48,4,,,3825564,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,['c5f8dc8f-4e00-4609-aa14-d83312b66b39'],0,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,91dfbb32-278c-4860-8624-5786f36cf7a3,1663,,,3825564,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,RC Deportivo La Coruña,219,['8ebfefd2-e4f8-450b-ab85-1a71b4cfd2ed'],0,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8ebfefd2-e4f8-450b-ab85-1a71b4cfd2ed,1664,,,3825564,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,RC Deportivo La Coruña,219,['91dfbb32-278c-4860-8624-5786f36cf7a3'],0,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.644138,,,,,,,,,,,,e123d01e-865c-4572-b7f9-85dd3c99fee5,5,,"[60.0, 40.0]",3825564,0,,True,,,-2.9613664,,Right Foot,,,"[36.4, 35.7]",Ground Pass,,23.988539,,,,Carlos Alberto Vela Garrido,5560.0,,,,,Kick Off,1,From Kick Off,Rubén Pardo Gutiérrez,6899.0,Right Defensive Midfield,2,Real Sociedad,210,['1d98c817-e34a-4f38-9af5-36eb3a7f24a7'],0,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.366,Pass,
,,,,,,,,,,,,,,,,1.445373,,,,,,,,,,,,f85f051d-bc65-4706-b1f1-e042f5f92955,7,,"[60.4, 38.6]",3825564,0,,True,,,-3.0232952,,Right Foot,,,"[36.0, 35.7]",Ground Pass,,24.571732,,,,Íñigo Martínez Berridi,6665.0,,,,,,1,From Kick Off,Carlos Alberto Vela Garrido,5560.0,Right Center Forward,2,Real Sociedad,210,['d40d8daa-a7d4-4397-bf22-eac94cdecc75'],1,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:01.327,Pass,
,,,,,,,,,,,,,,,,3.841461,,,,,,,,,,,,60b09e2b-e771-48a9-96e9-5c64f260caf4,9,,"[37.3, 36.1]",3825564,0,,,,,0.42129242,,Left Foot,,,"[82.6, 56.4]",High Pass,,49.640507,,Incomplete,,Xabier Prieto Argarate,6690.0,,,,,,1,From Kick Off,Íñigo Martínez Berridi,6665.0,Left Center Back,2,Real Sociedad,210,"['67628e83-59ce-414b-9ebb-cb2a53beb232', 'a5fe15bc-59ae-4fac-aad5-34af8615ad2f']",2,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:02.773,Pass,
,,,,,,,,,,,,,,,,1.073861,,,,,,,,,,,,67628e83-59ce-414b-9ebb-cb2a53beb232,12,,"[37.5, 23.7]",3825564,0,,,,True,-0.85972905,,,,,"[46.2, 13.6]",Low Pass,,13.330417,,,,Rubén Gracia Calmache,25921.0,,,,,Recovery,1,Regular Play,Fernando Navarro i Corbacho,6913.0,Left Back,3,RC Deportivo La Coruña,219,"['60b09e2b-e771-48a9-96e9-5c64f260caf4', 'c546e655-f892-4562-a35e-4e9ddd981e7d', 'd96a95b1-c557-4b58-8623-85fc17daf2c5']",6,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:06.614,Pass,True
