ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.668618,,,,,,,,,,,,f63a8591-99e4-452a-a57d-307405fff975,16,,,"[50.9, 6.9]",3825643,0,,,,0.8488051,,Left Foot,,,,"[56.8, 13.6]",,Ground Pass,,8.927485,,,,Toni Kroos,5574.0,,,,,,,1,From Kick Off,Marcelo Vieira da Silva Júnior,5552.0,Left Back,2,Real Madrid,220,['cafc7711-cdb9-447c-9308-95a1e4dafed4'],10,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:10.749,Pass,
,,,,,,,,,,,,,,,,2.166203,,,,,,,,,,,,a5ae992e-688f-4d6b-a04c-c8278c06666e,20,,,"[50.0, 18.9]",3825643,0,,,,2.1804562,,Right Foot,,,,"[36.8, 37.8]",,Ground Pass,,23.0532,,,,Raphaël Varane,5485.0,,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Center Midfield,2,Real Madrid,220,['40151231-e69f-442f-8b1e-2903d54bca39'],13,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:13.070,Pass,
,,,,,,,,,,,,,,,,1.706998,,,,,,,,,,,,04740ab4-7e56-434a-8812-a5c3b12b6ec3,23,,,"[38.9, 46.6]",3825643,0,,,,1.2982873,,Right Foot,,,,"[47.2, 76.3]",,Ground Pass,,30.837963,,,,Danilo Luiz da Silva,3063.0,,,,,,,1,From Kick Off,Raphaël Varane,5485.0,Right Center Back,2,Real Madrid,220,['eabc9e0d-4daf-4ff4-95a0-c3515dc1de66'],16,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:16.133,Pass,
,,,,,,,,,,,,,,,,0.937191,,,,,,,,,,,,49c5f64f-e8fb-4608-b071-609c650fb686,26,,,"[47.3, 75.8]",3825643,0,,,,-2.4374485,,Right Foot,,,,"[30.7, 61.7]",,Ground Pass,,21.780037,,,,Raphaël Varane,5485.0,,,,,,,1,From Kick Off,Danilo Luiz da Silva,3063.0,Right Back,2,Real Madrid,220,['766573df-6896-4251-92ed-5d27c9754cd6'],18,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:18.168,Pass,
,,,,,,,,,,,,,,,,2.788154,,,,,,,,,,,,a6bb2cf2-9e15-4354-a7ab-f34b86dc6049,29,,,"[27.2, 60.0]",3825643,0,,,,-1.2610934,,Left Foot,,,,"[39.2, 22.5]",,Ground Pass,,39.373215,,,,José Ignacio Fernández Iglesias,5202.0,,,,,,,1,From Kick Off,Raphaël Varane,5485.0,Right Center Back,2,Real Madrid,220,['3ead8450-3b32-45c0-9440-389e7247063b'],20,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:20.625,Pass,
,,,,,,,,,,,,,,,,1.025936,,,,,,,,,,,,2b8a83a1-826c-4a91-85c6-07d8f6b66056,32,,,"[44.5, 18.3]",3825643,0,,,,-1.1551344,,Right Foot,,,,"[50.9, 3.8]",,Low Pass,,15.849606,,,,Marcelo Vieira da Silva Júnior,5552.0,,,,,,,1,From Kick Off,José Ignacio Fernández Iglesias,5202.0,Left Center Back,2,Real Madrid,220,['9984ea7a-16bf-4ee4-b704-0b652922227d'],24,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:24.755,Pass,
,,,,,,,,,,,,,,,,0.790412,,,,,,,,,,,,a5372a87-78d8-417f-9642-217c33823e78,35,,,"[56.4, 4.4]",3825643,0,,,,-0.3045109,,Left Foot,,,,"[63.4, 2.2]",,Ground Pass,,7.3375745,,,,Jesé Rodríguez Ruiz,3990.0,,,,,,,1,From Kick Off,Marcelo Vieira da Silva Júnior,5552.0,Left Back,2,Real Madrid,220,['10868cc1-72d9-4aba-b662-3d050d03ef6e'],28,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:28.147,Pass,
,,,,,,,,,,,,,,,,0.96526,,,,,,,,,,,,bf73b2bc-13fa-4f70-8c89-9af87a04c7bc,38,,,"[63.6, 2.5]",3825643,0,,,,2.7211874,,Right Foot,,,,"[55.1, 6.3]",,Ground Pass,,9.310746,,,,Marcelo Vieira da Silva Júnior,5552.0,,,,,,,1,From Kick Off,Jesé Rodríguez Ruiz,3990.0,Left Wing,2,Real Madrid,220,['7c98df07-becd-49ad-95b1-8a91fd41a887'],28,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:28.986,Pass,
,,,,,,,,,,,,,,,,1.382465,,,,,,,,,,,,a10d9a16-300e-4074-b0d2-1b009eb4460e,41,,,"[55.4, 7.5]",3825643,0,,,,1.85579,,Left Foot,,,,"[47.9, 33.1]",,Ground Pass,,26.67602,,,,Carlos Henrique Casimiro,5539.0,,,,,,,1,From Kick Off,Marcelo Vieira da Silva Júnior,5552.0,Left Back,2,Real Madrid,220,['595787b5-d55d-4248-866e-909538f76c1d'],30,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:30.808,Pass,
,,,,,,,,,,,,,,,,2.542499,,,,,,,,,,,,8c6a56a3-c40d-4b55-93f3-2ae54eb6c31c,45,,,"[51.7, 42.7]",3825643,0,,,,0.9703565,,Right Foot,,,,"[70.6, 70.3]",,Ground Pass,,33.451008,,,,Danilo Luiz da Silva,3063.0,,,,,,,1,From Kick Off,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,2,Real Madrid,220,['cbf37ae1-9b3c-4439-b61f-3cb61b71b9c5'],35,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:35.584,Pass,
,,,,,,,,,,,,,,,,1.226459,,,,,,,,,,,,3c5d2eda-1bee-4ad9-a26a-00f90f459511,48,,,"[69.2, 76.4]",3825643,0,,,,-0.13787563,,Right Foot,,,,"[90.1, 73.5]",,Low Pass,,21.100237,,Pass Offside,,Francisco Román Alarcón Suárez,4926.0,,,,,,,1,From Kick Off,Danilo Luiz da Silva,3063.0,Right Back,2,Real Madrid,220,['a6758c5d-285f-4fe4-af84-86471fa466d3'],38,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:38.816,Pass,
,,,,,,,,,,,,,,,,1.980494,,,,,,,,,,,,2e91543c-23ca-4e2f-96fe-11d3f3a1438e,50,,,"[29.2, 7.6]",3825643,0,,,,1.6240792,,Left Foot,,,,"[28.4, 22.6]",,Ground Pass,,15.021318,,,,José Vicente Gómez Umpiérrez,6929.0,,,,,,Free Kick,1,From Free Kick,Pedro Bigas Rigo,7907.0,Left Center Back,3,Las Palmas,208,['713e7c3f-aede-463b-bc63-256570804242'],43,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:43.858,Pass,
,,,,,,,,,,,,,,,,1.376325,,,,,,,,,,,,bd610e89-5d15-45c9-b085-53f20ff61a3f,53,,,"[27.0, 22.7]",3825643,0,,,,-1.515806,,Left Foot,,,,"[27.6, 11.8]",,Ground Pass,,10.916501,,,,Pedro Bigas Rigo,7907.0,,,,,,,1,From Free Kick,José Vicente Gómez Umpiérrez,6929.0,Center Defensive Midfield,3,Las Palmas,208,['d1b1ac3c-1de2-4a38-91ff-81e49a2e97d7'],46,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:46.764,Pass,
,,,,,,,,,,,,,,,,0.962028,,,,,,,,,,,,1dfef8bc-aea1-4a4c-ac6e-e2e983f91d18,56,,,"[34.2, 12.3]",3825643,0,,,,1.2772074,,Left Foot,,,,"[38.1, 25.2]",,Ground Pass,,13.476646,,,,Hernán Daniel Santana Trujillo,15805.0,,,,,,,1,From Free Kick,Pedro Bigas Rigo,7907.0,Left Center Back,3,Las Palmas,208,['f3b90673-1963-4bb9-9e90-d819c8ef3e98'],49,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:49.183,Pass,
,,,,,,,,,,,,,,,,1.660467,,,,,,,,,,,,73ff19dd-d3d8-4181-88c3-019ed5764229,59,,,"[37.6, 22.7]",3825643,0,,,,-3.0334885,,Right Foot,,,,"[24.7, 21.3]",,Ground Pass,,12.975746,,,,Aythami Artiles Oliva,8440.0,,,,,,,1,From Free Kick,Hernán Daniel Santana Trujillo,15805.0,Left Center Midfield,3,Las Palmas,208,['eb7974e3-100e-4f5c-845b-84de43470f09'],50,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:50.842,Pass,
,,,,,,,,,,,,,,,,1.618581,,,,,,,,,,,,c3022464-706a-44e4-9045-c4f058ce0e51,64,,,"[25.3, 6.5]",3825643,0,,,,-0.48603192,,Left Foot,,,,"[35.9, 0.9]",,High Pass,,11.988328,,Out,,,,,,,,,,1,From Free Kick,Aythami Artiles Oliva,8440.0,Right Center Back,3,Las Palmas,208,['18c6e334-45a7-4ea4-9499-015711712885'],54,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:54.334,Pass,True
,,,,,,,,,,,,,,,,1.101314,,,,,,,,,,,,177aec53-dbe3-4696-9ecb-27bfe7d1b25c,65,,,"[90.1, 80.0]",3825643,1,,,,-2.38058,,,,,,"[81.7, 72.0]",,Low Pass,,11.6,,,,Luka Modrić,5463.0,,,,,,Throw-in,1,From Throw In,Danilo Luiz da Silva,3063.0,Right Back,4,Real Madrid,220,['ee6b436a-880e-4993-8664-cef3ca08fe4c'],5,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:05.884,Pass,
,,,,,,,,,,,,,,,,1.389044,,,,,,,,,,,,897d86b4-ecd8-44d2-add2-4ae476cca094,69,,,"[70.1, 74.4]",3825643,1,,,,-3.1044004,,Right Foot,,,,"[48.6, 73.6]",,Ground Pass,,21.51488,,,,Raphaël Varane,5485.0,,,,,,,1,From Throw In,Luka Modrić,5463.0,Right Center Midfield,4,Real Madrid,220,"['3c6393a6-8b77-4131-87f3-68ad33f6c711', '65d8f033-3b4f-40fd-849d-86c311107a85']",10,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:10.304,Pass,True
,,,,,,,,,,,,,,,,2.393327,,,,,,,,,,,,b52716ee-feb8-42e6-be34-172d72fb880e,72,,,"[49.0, 73.1]",3825643,1,,,,-1.7831161,,Left Foot,,,,"[41.8, 39.7]",,Ground Pass,,34.167236,,,,José Ignacio Fernández Iglesias,5202.0,,,,,,,1,From Throw In,Raphaël Varane,5485.0,Right Center Back,4,Real Madrid,220,['fc5dda17-f209-4370-a76a-afc35e1dce0f'],12,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:12.144,Pass,
,,,,,,,,,,,,,,,,1.019559,,,,,,,,,,,,b9a34d4b-095e-4a66-a423-e9ceea502d3b,75,,,"[47.3, 39.2]",3825643,1,,,,-0.4562128,,Right Foot,,,,"[58.1, 33.9]",,Ground Pass,,12.030378,,,,Toni Kroos,5574.0,,,,,,,1,From Throw In,José Ignacio Fernández Iglesias,5202.0,Left Center Back,4,Real Madrid,220,['bb543d8b-8774-4b27-a9e3-de9fe6f3c121'],15,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:15.916,Pass,
,,,,,,,,,,,,,,,,1.010429,,,,,,,,,,,,da285b15-b327-4cf3-afa1-1a4777f38853,78,,,"[57.0, 36.3]",3825643,1,,,,1.5430257,,Right Foot,,,,"[57.2, 43.5]",,Ground Pass,,7.2027774,,,,Carlos Henrique Casimiro,5539.0,,,,,,,1,From Throw In,Toni Kroos,5574.0,Left Center Midfield,4,Real Madrid,220,['aa9dfab6-fa3b-42d9-bdd1-89d3e1950808'],17,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:17.785,Pass,
,,,,,,,,,,,,,,,,0.505717,,,,,,,,,,,,ff012e75-3037-4877-b16c-14b801a33c9f,80,,,"[56.5, 44.2]",3825643,1,,,,-1.665748,,Right Foot,,,,"[55.7, 35.8]",,Ground Pass,,8.438009,,,,Toni Kroos,5574.0,,,,,,,1,From Throw In,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,4,Real Madrid,220,['aa3e54fd-149a-44f5-9551-c0e0336e9dbb'],18,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:18.795,Pass,
,,,,,,,,,,,,,,,,1.266656,,,,,,,,,,,,137e16f5-c37d-4b24-ab02-b59201c2dfc3,83,,,"[55.7, 35.8]",3825643,1,,,,1.996844,,Right Foot,,,,"[49.8, 48.8]",,Ground Pass,,14.276204,,,,Raphaël Varane,5485.0,,,,,,,1,From Throw In,Toni Kroos,5574.0,Left Center Midfield,4,Real Madrid,220,['da3acfec-53af-4dc5-816c-0b286475f875'],19,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:19.356,Pass,
,,,,,,,,,,,,,,,,1.599018,,,,,,,,,,,,0d0cd0ce-f936-4d04-8bb3-8ea082767662,86,,,"[51.1, 47.0]",3825643,1,,,,-1.6017599,,Right Foot,,,,"[50.4, 24.4]",,Ground Pass,,22.610838,,,,José Ignacio Fernández Iglesias,5202.0,,,,,,,1,From Throw In,Raphaël Varane,5485.0,Right Center Back,4,Real Madrid,220,['8675beed-58fd-4cd8-9fe5-361f960eaa68'],21,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:21.692,Pass,
