50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e2a37a80-42d3-4498-8240-1022697276f8,1,,,3825831,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Valencia,207,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5c49ec1f-3294-43d4-a3fb-7808f64421e2,2,,,3825831,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6672, 'name': 'Jorge Andújar Moreno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6349, 'name': 'Federico Julián Fazio'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 6718, 'name': 'Sergio Escudero Palomo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7154, 'name': 'Sebastián Carlos Cristóforo Pepe'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 23802, 'name': 'Juan Muñoz Muñoz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 6356, 'name': 'Michael Krohn-Dehli'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3486, 'name': 'Fernando Llorente Torres'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Sevilla,213,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b0c9ce8c-717d-4140-aadc-a547c7cece04,3,,,3825831,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['3518c0fe-e0c9-435a-9cf9-045f835953ec'],0,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3518c0fe-e0c9-435a-9cf9-045f835953ec,4,,,3825831,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['b0c9ce8c-717d-4140-aadc-a547c7cece04'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d1ecf508-58fa-4daf-beea-128fb25e5db4,1659,,,3825831,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,95,Valencia,207,['3633e462-3600-4f17-9c93-f3a67428811e'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3633e462-3600-4f17-9c93-f3a67428811e,1660,,,3825831,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,95,Valencia,207,['d1ecf508-58fa-4daf-beea-128fb25e5db4'],0,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,90351169-831f-4784-b00a-6c2a1be7cc38,5,,"[61.0, 40.1]",3825831,0,,,,-1.4288993,,Right Foot,,,"[61.1, 39.4]",,Ground Pass,,0.70710677,,,,,Éver Maximiliano David Banega,5504.0,,,,,Kick Off,1,From Kick Off,Fernando Llorente Torres,3486.0,Center Forward,2,Sevilla,213,['cd940623-0fb0-423b-a137-e6ebc12a98ed'],0,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.624,Pass,
,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,cf766db5-25b8-468e-b4c8-da9cb561302d,8,,"[61.2, 39.6]",3825831,0,,,,2.9499443,,Right Foot,,,"[34.4, 44.8]",,Ground Pass,,27.299816,,,,,Adil Rami,3253.0,,,,,,1,From Kick Off,Éver Maximiliano David Banega,5504.0,Center Attacking Midfield,2,Sevilla,213,['6618ae53-a2ae-4042-8f70-4d06683dd769'],1,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:01.939,Pass,
,,,,,,,,,,,,,,,,,6.572881,,,,,,,,,,,,,c2503ec0-2bbc-4f80-9e8c-b137590694d9,11,,"[36.5, 44.8]",3825831,0,,,,-0.36909845,,Right Foot,,,"[120.0, 12.5]",,High Pass,,89.52955,,,Out,,Fernando Llorente Torres,3486.0,,,,,,1,From Kick Off,Adil Rami,3253.0,Right Center Back,2,Sevilla,213,['f9b35b2d-acb7-4c51-aca1-01a24f0638de'],5,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:05.540,Pass,
,,,,,,,,,,,,,,,,,3.134682,,,,,,,,,,,,,abb934d7-1ecf-4260-b648-67907af358d6,13,,"[6.0, 44.0]",3825831,0,,,,0.53589976,,Left Foot,,,"[58.2, 75.0]",,High Pass,,60.71112,,,,,Antonio Barragán Fernández,6663.0,,,,,Goal Kick,1,From Goal Kick,Diego Alves Carreira,25144.0,Goalkeeper,3,Valencia,207,['c1f843fe-b874-487e-b154-8c9a59eba754'],25,,,,,,,,,,,,,,,,,,Valencia,207,00:00:25.127,Pass,
