bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,090b2940-110f-410c-b0c3-85e660ef49df,1,,,3825723,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6787, 'name': 'Pedro López Muñoz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 26012, 'name': 'David Navarro Pedrós'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6784, 'name': 'Antonio García Aranda'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 27463, 'name': 'Mauricio Andrés Cuero Castillo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 27250, 'name': 'Nabil Ghilas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Levante UD,221,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ba7f3ad1-e3e0-46c4-bab0-d87008ba04c0,2,,,3825723,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 10612, 'name': 'Yoel Rodríguez Oterino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 24138, 'name': 'Joaquín José Marín Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 11543, 'name': 'José Antonio Dorado Ramírez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 11298, 'name': 'José Ignacio Martínez García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26607, 'name': 'José Raúl Baena Urdiales'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 11539, 'name': 'Adrián Embarba Blázquez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 11542, 'name': 'Javier Guerra Rodríguez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 26685, 'name': 'Nicolás Ladislao Fedor Flores'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8a490ead-a882-4cc7-8d8b-ae82c580d45a,3,,,3825723,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['919513f0-8278-4fc1-9261-7f0f02e2cedd'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,919513f0-8278-4fc1-9261-7f0f02e2cedd,4,,,3825723,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['8a490ead-a882-4cc7-8d8b-ae82c580d45a'],0,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1e12fe35-6197-43f9-8dd1-466ee33c82be,1591,,,3825723,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,121,Levante UD,221,['efcb2ab8-ebcc-4001-b7f7-afae7ed77096'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,efcb2ab8-ebcc-4001-b7f7-afae7ed77096,1592,,,3825723,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,121,Levante UD,221,['1e12fe35-6197-43f9-8dd1-466ee33c82be'],0,,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.799998,,,,,,,,,,,,,,,26ea01df-61a3-4b07-9eb5-ce744255300a,5,,"[60.0, 40.0]",3825723,0,,,,1.7454685,,Right Foot,,,,"[59.7, 41.7]",,Ground Pass,,1.7262677,,,Javier Guerra Rodríguez,11542.0,,,,,Kick Off,1,From Kick Off,Nicolás Ladislao Fedor Flores,26685.0,Left Center Forward,2,Rayo Vallecano,360,['21fc3df5-ca97-40ef-b112-1c9eb1c191ed'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.804,Pass,
,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,9e96c04b-1f93-4eed-81ff-1db83b50495c,7,,"[59.5, 41.1]",3825723,0,,,,-2.4209187,,Right Foot,,,,"[48.0, 31.0]",,Ground Pass,,15.305554,,,Jozabed Sánchez Ruiz,6852.0,,,,,,1,From Kick Off,Javier Guerra Rodríguez,11542.0,Right Center Forward,2,Rayo Vallecano,360,['0675db19-e6c7-4c29-b0ef-b70c4e70d94c'],1,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:01.604,Pass,
,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,c5211fe0-8b46-4187-818d-88891514e3e3,10,,"[48.4, 26.6]",3825723,0,,,,-2.456387,,Right Foot,,,,"[38.0, 18.1]",,Ground Pass,,13.431679,,,José Antonio Dorado Ramírez,11543.0,,,,,,1,From Kick Off,Jozabed Sánchez Ruiz,6852.0,Left Defensive Midfield,2,Rayo Vallecano,360,['533e1c9c-278a-4cb5-8750-f9460bf6bf8d'],2,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:02.804,Pass,
,,,,,,,,,,,,,,,0.663191,,,,,,,,,,,,,,,42c816d8-8273-4591-92c9-5689dc77516f,13,,"[39.7, 18.5]",3825723,0,,,,0.5857804,,Left Foot,,,,"[50.1, 25.4]",,Ground Pass,,12.480785,,,Jozabed Sánchez Ruiz,6852.0,,,,,,1,From Kick Off,José Antonio Dorado Ramírez,11543.0,Left Center Back,2,Rayo Vallecano,360,['bded7b27-f3d8-4a45-8a2f-f3d10a230f87'],4,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:04.601,Pass,
