50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,385971b8-4794-4f9a-8f0d-2dd1f9be59b4,1,,,3825586,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6727, 'name': 'Raúl Albentosa Redal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 27184, 'name': 'Marcos Alberto Angeleri'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 27335, 'name': 'Arthur Etienne Boka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 19431, 'name': 'Fernando Damián Tissone'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 10868, 'name': 'Ricardo Jorge Luz Horta'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3302, 'name': 'Nordin Amrabat'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 6559, 'name': 'Juan Carlos Pérez López'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Málaga,223,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a784cd89-2e4c-4985-add3-2964e5585d20,2,,,3825586,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 6837, 'name': 'Mauro Javier Dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6675, 'name': 'Antonio Manuel Luna Rodríguez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6742, 'name': 'Sergio Gontán Gallardo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 6557, 'name': 'Adrián González Morales'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 24070, 'name': 'Saúl Berjón Pérez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Eibar,322,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cf45b693-ebce-44ae-9262-bb9897acb54d,3,,,3825586,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['9448bd9e-e409-4077-8553-ec0f6860dbf3'],0,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9448bd9e-e409-4077-8553-ec0f6860dbf3,4,,,3825586,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['cf45b693-ebce-44ae-9262-bb9897acb54d'],0,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,24ca5558-bd9f-43de-ba3d-fd6f356a72fb,1557,,,3825586,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,95,Eibar,322,['4c446fb4-b527-4ea5-9dc1-02fc784fb871'],0,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4c446fb4-b527-4ea5-9dc1-02fc784fb871,1558,,,3825586,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,95,Eibar,322,['24ca5558-bd9f-43de-ba3d-fd6f356a72fb'],0,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.016313,,,,,,,,,,,,,,a0edefe2-85d7-44b2-96e5-06edad1996a6,5,,"[60.0, 40.0]",3825586,0,,,,,1.487655,,Left Foot,,,,"[60.1, 41.2]",Ground Pass,,1.2041595,,,,Charles Días Barbosa de Oliveira,6707.0,,,,,,Kick Off,1,From Kick Off,Nordin Amrabat,3302.0,Center Attacking Midfield,2,Málaga,223,['74e4ec96-5151-460e-ba91-6cae7a4eb2f0'],1,,,,,,,,,,,,,,,,Málaga,223,00:00:01.502,Pass,
,,,,,,,,,,,,,,,,,0.97624,,,,,,,,,,,,,,1c50f607-a002-4509-8202-2ff796f8933e,7,,"[59.4, 40.7]",3825586,0,,,,,-2.9248152,,Right Foot,,,,"[42.6, 37.0]",Ground Pass,,17.202616,,,,Fernando Damián Tissone,19431.0,,,,,,,1,From Kick Off,Charles Días Barbosa de Oliveira,6707.0,Center Forward,2,Málaga,223,['2f0600d8-ddcb-4288-8cbc-2b16649ff5f6'],2,,,,,,,,,,,,,,,,Málaga,223,00:00:02.519,Pass,
,,,,,,,,,,,,,,,,,1.058223,,,,,,,,,,,,,,bc1504bf-68a6-4a7b-8b5e-ba7cfa7f99a4,10,,"[42.6, 37.0]",3825586,0,,,,,1.752761,,Left Foot,,,,"[40.3, 49.5]",Ground Pass,,12.709839,,,,José Luis García del Pozo,6580.0,,,,,,,1,From Kick Off,Fernando Damián Tissone,19431.0,Left Defensive Midfield,2,Málaga,223,['7efa5460-4096-491a-92fa-58ac7c26d929'],4,,,,,,,,,,,,,,,,Málaga,223,00:00:04.729,Pass,
,,,,,,,,,,,,,,,,,1.377271,,,,,,,,,,,,,,1b2182f2-ba3b-4abd-ac06-41ae3a05111e,13,,"[44.6, 52.0]",3825586,0,,,,,1.5800554,,Right Foot,,,,"[44.4, 73.6]",Ground Pass,,21.600925,,,,Roberto José Rosales Altuve,6569.0,,,,,,,1,From Kick Off,José Luis García del Pozo,6580.0,Right Defensive Midfield,2,Málaga,223,['f1e354ac-2939-4822-a6f6-5754295c77b7'],7,,,,,,,,,,,,,,,,Málaga,223,00:00:07.657,Pass,
