bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,304aa007-c76c-49e8-9ae9-d1bcbee8ef73,1,,,3825595,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3379, 'name': 'Alphonse Areola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3324, 'name': 'Eric Bertrand Bailly'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6828, 'name': 'Jaume Vicent Costa Jordá'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 18867, 'name': 'Matías Nahuel Leiva Esquivel'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 6829, 'name': 'Samuel Castillejo Azuaga'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6862, 'name': 'Cédric Bakambu'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Villarreal,222,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0f0e8894-4b64-46ee-af43-d486448827f5,2,,,3825595,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 26087, 'name': 'Carlos Gurpegi Nausia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6389, 'name': 'Mikel San José Domínguez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6656, 'name': 'Mikel Rico Moreno'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 6666, 'name': 'Sabin Merino Zuloaga'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 6606, 'name': 'Javier Eraso Goñi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 6845, 'name': 'Ager Aketxe Barrutia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 26518, 'name': 'Enrique Sola Clemente'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Athletic Club,215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a8f1c008-c71b-435a-8e97-111dfb9e0b44,3,,,3825595,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['d091ecfb-59be-4a6e-93fb-44e9e94e5434'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d091ecfb-59be-4a6e-93fb-44e9e94e5434,4,,,3825595,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['a8f1c008-c71b-435a-8e97-111dfb9e0b44'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,048461bd-66a4-468c-92f1-cb8fd8c30069,1504,,,3825595,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Athletic Club,215,['594e6a97-792f-4e68-ae0c-fd58fbcd968a'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,594e6a97-792f-4e68-ae0c-fd58fbcd968a,1505,,,3825595,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Athletic Club,215,['048461bd-66a4-468c-92f1-cb8fd8c30069'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.21168,,,,,,,,,,,,,,06959ea4-9b4d-45be-bbdd-e0add16a52d0,5,,"[60.0, 40.0]",3825595,0,,True,,,-1.5707964,,Right Foot,,"[60.0, 35.8]",,Ground Pass,,4.2,,,,Javier Eraso Goñi,6606.0,,,,,Kick Off,1,From Kick Off,Enrique Sola Clemente,26518.0,Center Forward,2,Athletic Club,215,['41450d06-2e2a-426d-86d1-4c4c5a30b504'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.513,Pass,
,,,,,,,,,,,,,,,,,2.050336,,,,,,,,,,,,,,5cd8dfc0-a3f7-4b88-bbc0-1e294b7811f5,7,,"[58.1, 36.2]",3825595,0,,,,,-2.9958088,,Right Foot,,"[32.9, 32.5]",,Ground Pass,,25.470179,,,,Aymeric Laporte,4353.0,,,,,,1,From Kick Off,Javier Eraso Goñi,6606.0,Center Attacking Midfield,2,Athletic Club,215,['480fd13b-78cb-4364-823d-4d699322260c'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.833,Pass,
,,,,,,,,,,,,,,,,,2.70234,,,,,,,,,,,,,,a96ac386-33ca-45c9-85d7-4a61b06f436f,10,,"[33.7, 35.1]",3825595,0,,,,,0.8154643,,Left Foot,,"[72.4, 76.2]",,High Pass,,56.452637,,,,Sabin Merino Zuloaga,6666.0,,True,,,,1,From Kick Off,Aymeric Laporte,4353.0,Left Center Back,2,Athletic Club,215,['bfba133b-0a6e-43be-98f8-17b3a564cd91'],4,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:04.060,Pass,
,,,,,,,,,,,,,,,,,0.670356,,,,,,,,,,,,,,1ccedf77-e5b9-455c-bf6e-6c6accac7acd,14,,"[39.8, 0.1]",3825595,0,,,,,1.7956519,,,,"[35.5, 18.9]",,Low Pass,,19.285486,,,,Bruno Soriano Llido,22819.0,,,,,Throw-in,1,From Throw In,Jaume Vicent Costa Jordá,6828.0,Left Back,3,Villarreal,222,['2cbaf396-e485-47ab-88a9-bdb209bfb335'],13,,,,,,,,,,,,,,,,,Villarreal,222,00:00:13.198,Pass,
