bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f0b74461-7d71-4418-bbf0-07b2be04dd29,1,,,3825615,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6709, 'name': 'Anaitz Arbilla Zabala'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 16456, 'name': 'Enzo Pablo Roco Roco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 18407, 'name': 'José Alberto Cañas Ruiz Herrera'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 5}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Espanyol,214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ecbc994e-f308-445d-b6ff-c28ba380a323,2,,,3825615,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 11537, 'name': 'Alberto García Cabrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26633, 'name': 'Alberto Lora Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6573, 'name': 'Bernardo José Espinosa Zúñiga'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 24686, 'name': 'Roberto Canella Suárez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 13107, 'name': 'Sergio Álvarez Díaz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 18925, 'name': 'Ignacio Cases Mora'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 23994, 'name': 'Alejandro Menéndez Díez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 3}, {'player': {'id': 6880, 'name': 'Arnaldo Antonio Sanabria Ayala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,36ac2b16-d1eb-49af-aee2-5dbc42cff60f,3,,,3825615,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['17488da3-9bf7-40ae-b9f7-1d9336d74950'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,17488da3-9bf7-40ae-b9f7-1d9336d74950,4,,,3825615,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['36ac2b16-d1eb-49af-aee2-5dbc42cff60f'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,67a6ffdf-0355-4d58-8f34-d8dcffb84db7,1914,,,3825615,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,104,Sporting Gijón,1041,['406c3288-b242-4832-b5ec-2dc8605ef990'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,406c3288-b242-4832-b5ec-2dc8605ef990,1915,,,3825615,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,104,Sporting Gijón,1041,['67a6ffdf-0355-4d58-8f34-d8dcffb84db7'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.184101,,,,,,,,,,,,,,518ec2b3-0a13-497f-9068-206b974429e8,5,,"[61.0, 40.1]",3825615,0,,True,,,3.0848355,,Right Foot,,,,"[52.2, 40.6]",,Ground Pass,,8.814193,,,,,Marco Asensio Willemsen,5719.0,,,,,Kick Off,1,From Kick Off,Felipe Salvador Caicedo Corozo,7781.0,Center Forward,2,Espanyol,214,['bf52dfba-dcdf-4084-a7ea-1157565ad0a5'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.329,Pass,
,,,,,,,,,,,,,,,,1.671113,,,,,,,,,,,,,,861d24a6-61f2-43ed-8d71-5b84ba1b4140,7,,"[59.5, 40.4]",3825615,0,,True,,,2.6592557,,Right Foot,,,,"[38.3, 51.5]",,Ground Pass,,23.930107,,,,,Álvaro González Soberón,6762.0,,,,,,1,From Kick Off,Marco Asensio Willemsen,5719.0,Center Attacking Midfield,2,Espanyol,214,['c384bb03-cc83-4789-80fd-166010894b5f'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.513,Pass,
,,,,,,,,,,,,,,,,2.964,,,,,,,,,,,,,,eb7756f5-3c27-4693-9db4-7cbb05b61cad,9,,"[39.0, 51.5]",3825615,0,,,,,0.28079575,,Right Foot,,,,"[81.3, 63.7]",,High Pass,,44.024197,,,Incomplete,,Felipe Salvador Caicedo Corozo,7781.0,,,,,,1,From Kick Off,Álvaro González Soberón,6762.0,Right Center Back,2,Espanyol,214,"['0570ccdb-f55a-466e-a676-a6a1dfbaa266', 'eb613a4d-eb46-461a-bc87-c7e2acef7be0']",3,,,,,,,,,,,,,,,,,Espanyol,214,00:00:03.458,Pass,
,,,,,,,,,,,,,,,,1.5672,,,,,,,,,,,,,,0fa0258e-b7ea-42b6-aa93-99efa712189b,13,,"[67.6, 59.0]",3825615,0,,,,,0.13390884,,Head,,,,"[86.9, 61.6]",,High Pass,,19.474342,,,Incomplete,,Hernán Arsenio Pérez González,6838.0,,,,,Recovery,1,From Kick Off,Víctor Sánchez Mata,6758.0,Right Defensive Midfield,2,Espanyol,214,"['659b5a9b-1b5e-4d54-b49e-684b847a035e', 'd08eb083-6553-4464-9e40-9126a5b314bb']",8,,,,,,,,,,,,,,,,,Espanyol,214,00:00:08.175,Pass,
,,,,,,,,,,,,,,,,2.022959,,,,,,,,,,,,,,d08eb083-6553-4464-9e40-9126a5b314bb,15,,"[33.2, 18.5]",3825615,0,,,,,1.1166421,,Head,,,,"[39.4, 31.2]",,High Pass,,14.1325865,,,,,Sergio Álvarez Díaz,13107.0,,,,,Recovery,1,From Kick Off,Bernardo José Espinosa Zúñiga,6573.0,Left Center Back,2,Espanyol,214,"['0fa0258e-b7ea-42b6-aa93-99efa712189b', '844d6665-d5d4-4664-a7c9-0ddb79823bb3']",9,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:09.742,Pass,
,,,,,,,,,,,,,,,,2.090107,,,,,,,,,,,,,,ff748433-5456-43c7-9789-76c0d8bc37a9,18,,"[39.4, 31.4]",3825615,0,,,,,-0.35877067,,Right Foot,,,,"[63.4, 22.4]",,High Pass,,25.632011,,,Incomplete,,Arnaldo Antonio Sanabria Ayala,6880.0,,,,,,1,From Kick Off,Sergio Álvarez Díaz,13107.0,Right Defensive Midfield,2,Espanyol,214,"['00b66348-ecb2-4622-9ffb-80a2bfe7f012', '6ace9700-c9a2-445b-ac66-114a66f72116']",11,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:11.805,Pass,
,,,,,,,,,,,,,,,,1.15333,,,,,,,,,,,,,,6ace9700-c9a2-445b-ac66-114a66f72116,21,,"[56.7, 57.7]",3825615,0,,,,True,-0.83082145,,,,,,"[65.1, 48.5]",,Low Pass,,12.45793,,,,,José Alberto Cañas Ruiz Herrera,18407.0,,,,,Recovery,1,From Kick Off,Álvaro González Soberón,6762.0,Right Center Back,2,Espanyol,214,"['a7c84f5c-09b2-4c73-b911-c22eb28e201d', 'af02ca25-3c36-403a-b736-04dade9ba719', 'ff748433-5456-43c7-9789-76c0d8bc37a9']",13,,,,,,,,,,,,,,,,,Espanyol,214,00:00:13.895,Pass,True
,,,,,,,,,,,,,,,,0.65473,,,,,,,,,,,,,,d34f5054-a79f-468f-8b18-5768e698a595,25,,"[63.8, 55.1]",3825615,0,,,,,2.3737366,,Right Foot,,,,"[58.0, 60.7]",,Ground Pass,,8.062258,,,,,Víctor Sánchez Mata,6758.0,,,,,,1,From Kick Off,José Alberto Cañas Ruiz Herrera,18407.0,Left Defensive Midfield,2,Espanyol,214,['f5341f53-3cdd-465f-8a09-55ae95dc5a2e'],16,,,,,,,,,,,,,,,,,Espanyol,214,00:00:16.135,Pass,
,,,,,,,,,,,,,,,,0.823663,,,,,,,,,,,,,,f5ca7270-e7c5-4355-ad2e-841065913fb4,28,,"[58.0, 60.7]",3825615,0,,,,,0.9723774,,Right Foot,,,,"[68.5, 76.1]",,Ground Pass,,18.638937,,,,,Hernán Arsenio Pérez González,6838.0,,,,,,1,From Kick Off,Víctor Sánchez Mata,6758.0,Right Defensive Midfield,2,Espanyol,214,['06e74df5-f9cd-419a-ae3e-693141c69ed4'],17,,,,,,,,,,,,,,,,,Espanyol,214,00:00:17.561,Pass,
,,,,,,,,,,,,,,,,1.708888,,,,,,,,,,,,,,899dfc4d-bca7-45e7-8be2-7c4920118b01,32,,"[63.1, 75.7]",3825615,0,,,,,3.1308403,,Right Foot,,,,"[44.5, 75.9]",,Ground Pass,,18.601076,,,,,Anaitz Arbilla Zabala,6709.0,,,,,,1,From Kick Off,Hernán Arsenio Pérez González,6838.0,Right Wing,2,Espanyol,214,['7000885a-7937-4448-b5ad-ebd598aef2eb'],19,,,,,,,,,,,,,,,,,Espanyol,214,00:00:19.627,Pass,
,,,,,,,,,,,,,,,,1.627627,,,,,,,,,,,,,,81575aaf-2c36-43d1-b778-8baa396ff3e4,35,,"[43.7, 75.2]",3825615,0,,,,,-2.3620768,,Right Foot,,,,"[26.6, 58.3]",,Ground Pass,,24.042046,,,,,Álvaro González Soberón,6762.0,,,,,,1,From Kick Off,Anaitz Arbilla Zabala,6709.0,Right Back,2,Espanyol,214,['1b51d736-27dc-474d-8a4d-6c8a74b4bb3d'],23,,,,,,,,,,,,,,,,,Espanyol,214,00:00:23.068,Pass,
,,,,,,,,,,,,,,,,1.768279,,,,,,,,,,,,,,4a037147-3eac-4735-84f9-eeb43ef59d70,38,,"[38.9, 60.6]",3825615,0,,,,,-0.05287546,,Right Foot,,,,"[74.8, 58.7]",,High Pass,,35.950245,,,Incomplete,,Felipe Salvador Caicedo Corozo,7781.0,,,,,,1,From Kick Off,Álvaro González Soberón,6762.0,Right Center Back,2,Espanyol,214,"['3089e6a7-2012-429b-ab3a-c46defe9c1f1', 'a27e7dc1-eb6b-4dc9-ae98-c66d779ceb46']",28,,,,,,,,,,,,,,,,,Espanyol,214,00:00:28.494,Pass,
,,,,,,,,,,,,,,,,1.33683,,,,,,,,,,,,,,27fd38b5-9aec-4ab6-b2e4-937830f87b38,43,,"[60.7, 43.0]",3825615,0,,,,,-0.12010874,,Right Foot,,,,"[83.9, 40.2]",,Ground Pass,,23.368355,,,Incomplete,,Marco Asensio Willemsen,5719.0,,,,,Recovery,1,From Kick Off,José Alberto Cañas Ruiz Herrera,18407.0,Left Defensive Midfield,2,Espanyol,214,"['dd5d6b9b-585f-4e94-af83-8f3fa0d481c0', 'f8a72158-e109-4117-80ab-a51fe6359cb0']",32,,,,,,,,,,,,,,,,,Espanyol,214,00:00:32.221,Pass,
,,,,,,,,,,,,,,,,0.68626,,,,,,,,,,,,,,f8a72158-e109-4117-80ab-a51fe6359cb0,45,,"[36.2, 39.9]",3825615,0,,,,,0.6532253,,Right Foot,,,,"[46.0, 47.4]",,Ground Pass,,12.340584,,,,,Jonathan Rodríguez Menéndez,6581.0,,,,,Recovery,1,From Kick Off,Luis Hernández Rodríguez,6561.0,Right Center Back,2,Espanyol,214,"['07a8dd0c-4de4-41e8-9962-8e1d870af830', '27fd38b5-9aec-4ab6-b2e4-937830f87b38']",33,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:33.558,Pass,
,,,,,,,,,,,,,,,,0.682119,,,,,,,,,,,,,,f89feed6-e675-4cab-b862-25129480275c,48,,"[45.8, 47.8]",3825615,0,,,,,-0.7072965,,Left Foot,,,,"[52.0, 42.5]",,Ground Pass,,8.156592,,,Incomplete,,,,,,,,,1,From Kick Off,Jonathan Rodríguez Menéndez,6581.0,Right Wing,2,Espanyol,214,['9fbb5ad2-3fb9-492d-8ce2-e89c8687c881'],34,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:34.324,Pass,
,,,,,,,,,,,,,,,,0.64275,,,,,,,,,,,,,,9fbb5ad2-3fb9-492d-8ce2-e89c8687c881,49,,"[68.1, 37.6]",3825615,0,,,,,-0.3105986,,Right Foot,,,,"[76.2, 35.0]",,Ground Pass,,8.507056,,,,,Marco Asensio Willemsen,5719.0,,,,,Recovery,1,From Kick Off,José Alberto Cañas Ruiz Herrera,18407.0,Left Defensive Midfield,2,Espanyol,214,"['68337ba2-013a-452b-bbf9-3b66063f2c37', 'f89feed6-e675-4cab-b862-25129480275c']",35,,,,,,,,,,,,,,,,,Espanyol,214,00:00:35.006,Pass,
,,,,,,,,,,,,,,,,0.325514,,,,,,,,,,,,,,f346039e-b75f-4365-801c-9df642d3b720,56,,"[74.3, 41.0]",3825615,0,,,,,0.8233546,,Left Foot,,,,"[78.1, 45.1]",,Ground Pass,,5.59017,,,Incomplete,,Felipe Salvador Caicedo Corozo,7781.0,,,,,,1,From Kick Off,Marco Asensio Willemsen,5719.0,Center Attacking Midfield,2,Espanyol,214,"['0af83f3e-0198-45cf-81a0-235d26d79387', '462f43d9-d238-436a-a004-029282d8e368']",39,,,,,,,,,,,,,,,,,Espanyol,214,00:00:39.275,Pass,
,,,,,,,,,,,,,,,,1.500472,,,,,,,,,,,,,,a634cf60-cd19-4fc0-9d82-78647c5fcdee,62,,"[59.3, 35.9]",3825615,0,,,,,-1.6180797,,Right Foot,,,,"[57.8, 4.2]",,Ground Pass,,31.73547,,,,,Alejandro Menéndez Díez,23994.0,,,,,,1,Regular Play,Sergio Álvarez Díaz,13107.0,Right Defensive Midfield,3,Sporting Gijón,1041,['0e1ea47e-022b-4040-b62c-0f9f88b3608f'],44,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:44.717,Pass,
,,,,,,,,,,,,,,,,1.938487,,,,,,,,,,,,,,ee4b838e-7ecf-4f77-b130-245be28d030b,65,,"[57.8, 4.2]",3825615,0,,,,,2.8240438,,Left Foot,,,,"[43.5, 8.9]",,Ground Pass,,15.052574,,,,,Roberto Canella Suárez,24686.0,,,,,,1,Regular Play,Alejandro Menéndez Díez,23994.0,Left Wing,3,Sporting Gijón,1041,['097f0f4f-80de-4f6d-a75e-2ee28c1af7ef'],46,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:46.285,Pass,
,,,,,,,,,,,,,,,,1.9071,,,,,,,,,,,,,,ab4fbc98-739e-4d0b-9a12-b1579702fafc,68,,"[43.7, 8.9]",3825615,0,,,,,2.5818563,,Left Foot,,,,"[27.9, 18.8]",,Ground Pass,,18.645374,,,,,Bernardo José Espinosa Zúñiga,6573.0,,,,,,1,Regular Play,Roberto Canella Suárez,24686.0,Left Back,3,Sporting Gijón,1041,['dd73ddf7-9289-45f2-93fc-4cc6801e930a'],49,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:49.889,Pass,
,,,,,,,,,,,,,,,,1.669901,,,,,,,,,,,,,,217eedef-78d7-4c6d-a8f5-cff37cafdff0,71,,"[26.6, 19.0]",3825615,0,,,,,1.3845309,,Right Foot,,,,"[32.8, 51.9]",,Ground Pass,,33.4791,,,,,Luis Hernández Rodríguez,6561.0,,,,,,1,Regular Play,Bernardo José Espinosa Zúñiga,6573.0,Left Center Back,3,Sporting Gijón,1041,['d314b6db-0ac4-4336-91b6-952a1a003e5b'],53,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:53.096,Pass,
,,,,,,,,,,,,,,,,1.211303,,,,,,,,,,,,,,4a3b1d6f-0f89-4736-8bbc-2af7620c0717,74,,"[43.3, 54.5]",3825615,0,,,,,-0.8045529,,Right Foot,,,,"[56.1, 41.2]",,Ground Pass,,18.458874,,,Incomplete,,Alen Halilović,6926.0,,,,,,1,Regular Play,Luis Hernández Rodríguez,6561.0,Right Center Back,3,Sporting Gijón,1041,"['2933f8ad-2ba7-474a-8637-bb01192d5d61', 'b8c5cbc0-db45-4b8b-8a34-1de16deca305']",57,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:57.045,Pass,
,,,,,,,,,,,,,,,,2.563431,,,,,,,,,,,,,,2933f8ad-2ba7-474a-8637-bb01192d5d61,77,,"[64.0, 38.9]",3825615,0,,,,,-1.3716371,,Right Foot,,,,"[70.6, 6.2]",,High Pass,,33.359406,,,Incomplete,,Marco Asensio Willemsen,5719.0,,,,,Interception,1,Regular Play,Víctor Sánchez Mata,6758.0,Right Defensive Midfield,3,Sporting Gijón,1041,"['4a3b1d6f-0f89-4736-8bbc-2af7620c0717', '994d8a10-d2db-4e96-ab69-0b661a04c2d2', 'af748d7f-cec6-4fad-aa2b-94fb180dc952']",58,,,,,,,,,,,,,,,,,Espanyol,214,00:00:58.256,Pass,
,,,,,,,,,,,,,,,,2.129569,,,,,,,,,,,,,,cae5837d-d506-4e88-b55c-d16913b94dae,81,,"[49.5, 75.2]",3825615,1,,,,,-0.5627372,,Right Foot,,,,"[82.0, 54.7]",,High Pass,,38.42525,,,Incomplete,,Alen Halilović,6926.0,,,,,,1,Regular Play,Alberto Lora Ramos,26633.0,Right Back,3,Sporting Gijón,1041,"['a8be835e-634b-4d01-8c51-a2727f88dd7e', 'f82bdb5f-3412-4a84-893b-e04d1b8f48e7']",1,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:01:01.967,Pass,
,,,,,,,,,,,,,,,,2.459608,,,,,,,,,,,,,,01601f79-84e7-4744-8412-117219aa74db,85,,"[29.6, 26.3]",3825615,1,,,,,2.5171824,,Right Foot,,,,"[9.2, 41.0]",,Ground Pass,,25.144583,,,,,Pau López Sabata,6792.0,,,,,,1,Regular Play,Enzo Pablo Roco Roco,16456.0,Left Center Back,4,Espanyol,214,['933863fc-d60b-460a-b650-88d8678d5fed'],5,,,,,,,,,,,,,,,,,Espanyol,214,00:01:05.662,Pass,
