50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2f5f1a07-d8f2-4fb9-bbec-62a552ff06ca,1,,,3825743,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,,0,,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 24255, 'name': 'Juan Carlos Martín Corral'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 24138, 'name': 'Joaquín José Marín Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 26222, 'name': 'José Eduardo Rosa Vale de Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 11298, 'name': 'José Ignacio Martínez García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 7900, 'name': 'Tiago Manuel Dias Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 26685, 'name': 'Nicolás Ladislao Fedor Flores'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,66dd999d-181b-46ce-986a-26c6c2c3b8ed,2,,,3825743,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,,0,,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 75537, 'name': 'David Goldar Gómez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 7577, 'name': 'Carles Planas Antolínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 13552, 'name': 'Borja Fernández Fernández'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 6796, 'name': 'Nemanja Radoja'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 27340, 'name': 'Dejan Dražić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 27342, 'name': 'Josep Señé Escudero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 23785, 'name': ""Théo Bongonda Mbul''Ofeko Batombo""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 6600, 'name': 'Claudio Beauvue'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Celta Vigo,209,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4857368e-709b-45cc-b39f-72bf27eb54f0,3,,,3825743,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,['53f57153-fd79-4b92-980c-3a758c665cc7'],0,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,53f57153-fd79-4b92-980c-3a758c665cc7,4,,,3825743,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,['4857368e-709b-45cc-b39f-72bf27eb54f0'],0,,,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7a72012b-3047-44b6-a169-082b9835f1c4,1220,,,3825743,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Rayo Vallecano,360,['29a84ea3-8d46-4b7b-9914-874c3cb70718'],0,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,29a84ea3-8d46-4b7b-9914-874c3cb70718,1221,,,3825743,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Rayo Vallecano,360,['7a72012b-3047-44b6-a169-082b9835f1c4'],0,,,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.662986,,,,,,,,,,,,,,,c61ea69d-266e-4456-af2e-f8259e119a39,5,,"[61.0, 40.1]",3825743,0,,,,,-2.0533097,,Right Foot,,,"[59.9, 38.0]",,Ground Pass,,2.3706539,,,,Josep Señé Escudero,27342.0,,,,,Kick Off,1,From Kick Off,Claudio Beauvue,6600.0,Center Forward,2,Celta Vigo,209,['ac4ba92d-dc22-4696-b6c6-27d7d44dad72'],0,,,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.801,Pass,
,,,,,,,,,,,,,,,,,,0.966355,,,,,,,,,,,,,,,921cde09-d31f-4d76-b859-0ec9fc54f861,8,,"[56.7, 38.0]",3825743,0,,,,,2.3561945,,Right Foot,,,"[47.3, 47.4]",,Ground Pass,,13.293608,,,,Borja Fernández Fernández,13552.0,,,,,,1,From Kick Off,Josep Señé Escudero,27342.0,Center Attacking Midfield,2,Celta Vigo,209,['bc3188e2-3c72-40d5-b86c-04ea571a546a'],1,,,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:01.879,Pass,
,,,,,,,,,,,,,,,,,,1.152758,,,,,,,,,,,,,,,95dac5e2-07d8-4fbe-906e-25f74faa05dc,11,,"[44.7, 48.5]",3825743,0,,,,,2.954459,,Right Foot,,,"[27.8, 51.7]",,Ground Pass,,17.20029,,,,David Goldar Gómez,75537.0,,,,,,1,From Kick Off,Borja Fernández Fernández,13552.0,Right Defensive Midfield,2,Celta Vigo,209,['84a09f60-04a8-469f-a043-2d1b4a8a6cec'],3,,,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:03.575,Pass,
,,,,,,,,,,,,,,,,,,0.390833,,,,,,,,,,,,,,,93efce04-a4cf-4ab4-90de-bf3fbb7e0965,13,,"[27.8, 51.7]",3825743,0,,,,,-0.016665123,,Right Foot,,,"[39.8, 51.5]",,Low Pass,,12.001667,,Incomplete,,Josep Señé Escudero,27342.0,,,,,,1,From Kick Off,David Goldar Gómez,75537.0,Right Center Back,2,Celta Vigo,209,"['9e677e1d-fced-47a9-9ed7-b35378a90058', 'c76d8d7a-5924-40ed-ab0d-ea7d7732f395']",4,,,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:04.728,Pass,
