bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,79918fa6-b5cc-4bcb-a6fb-ebb266b30001,1,,,,3825824,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 6837, 'name': 'Mauro Javier Dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 27239, 'name': 'Aleksandar Pantić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6776, 'name': 'David Juncà Reñé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6742, 'name': 'Sergio Gontán Gallardo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 9462, 'name': 'José Ignacio Peleteiro Ramallo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Eibar,322,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fc3d54bd-0400-4ae7-bac2-3ae20e2bce28,2,,,,3825824,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3379, 'name': 'Alphonse Areola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5588, 'name': 'Antonio Rukavina'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3324, 'name': 'Eric Bertrand Bailly'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6935, 'name': 'Adrián Marín Gómez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 27}, {'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 6829, 'name': 'Samuel Castillejo Azuaga'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6735, 'name': 'Adrián López Álvarez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Villarreal,222,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5c2bff1e-5cef-488e-a6ab-0ebcb7dd7980,3,,,,3825824,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,['75b5cafb-e8e2-44f9-85fe-7849c39e8c34'],0,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,75b5cafb-e8e2-44f9-85fe-7849c39e8c34,4,,,,3825824,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,['5c2bff1e-5cef-488e-a6ab-0ebcb7dd7980'],0,,,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,640b00ef-e826-4416-aff0-ed6a3782b348,1768,,,,3825824,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,110,Villarreal,222,['9d5b71f8-d867-47f6-8d9a-f2b0323263c2'],0,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9d5b71f8-d867-47f6-8d9a-f2b0323263c2,1769,,,,3825824,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,110,Villarreal,222,['640b00ef-e826-4416-aff0-ed6a3782b348'],0,,,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.451671,,,,,,,,,,,,,,414c9854-3415-4018-b655-9335263a0014,5,,,"[61.0, 40.1]",3825824,0,,True,,,-2.1353657,,Right Foot,,,,"[59.1, 37.1]",Ground Pass,,3.5510561,,,,,Borja González Tomás,6566.0,,,,,,Kick Off,1,From Kick Off,José Ignacio Peleteiro Ramallo,9462.0,Center Attacking Midfield,2,Eibar,322,['9469274a-73b8-48e3-b262-d6c8e43c9c7b'],0,,,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.926,Pass,
,,,,,,,,,,,,,,,,0.672609,,,,,,,,,,,,,,a491b0d3-e3d4-43af-83dc-c8ed7efb3bb7,7,,,"[59.6, 37.1]",3825824,0,,True,,,3.0578196,,Right Foot,,,,"[46.5, 38.2]",Ground Pass,,13.146102,,,,,Daniel García Carrillo,6775.0,,,,,,,1,From Kick Off,Borja González Tomás,6566.0,Center Forward,2,Eibar,322,['02baa369-a6ff-4006-a7af-3a24a4df7ad8'],1,,,,,,,,,,,,,,,,,,,Eibar,322,00:00:01.513,Pass,
,,,,,,,,,,,,,,,,1.510665,,,,,,,,,,,,,,f13c4f4f-5c00-4c7b-9069-431e5f11782e,9,,,"[45.9, 38.7]",3825824,0,,True,,,-1.7758722,,Right Foot,,,,"[40.7, 13.7]",Ground Pass,,25.535074,,,,,David Juncà Reñé,6776.0,,,,,,,1,From Kick Off,Daniel García Carrillo,6775.0,Left Defensive Midfield,2,Eibar,322,['ecab42c2-9169-4c8d-8f8e-6e59e31d6785'],2,,,,,,,,,,,,,,,,,,,Eibar,322,00:00:02.256,Pass,
,,,,,,,,,,,,,,,,1.97451,,,,,,,,,,,,,,90dc04b9-c56f-47ba-993a-3f4c4a3d423b,11,,,"[46.1, 12.4]",3825824,0,,,,,2.7486236,,Left Foot,,,,"[22.7, 22.1]",Ground Pass,,25.33081,,,,,Aleksandar Pantić,27239.0,,,,,,,1,From Kick Off,David Juncà Reñé,6776.0,Left Back,2,Eibar,322,['902f2954-4131-4984-94a7-3c1f0e5a44cd'],6,,,,,,,,,,,,,,,,,,,Eibar,322,00:00:06.489,Pass,
