ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,27b4864c-f4e4-452e-962f-b9750ff293b3,1,,,3825563,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 20669, 'name': 'Tiago Cardoso Mendes'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 12021, 'name': 'Óliver Torres Muñoz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 17622, 'name': 'Jackson Arley Martínez Valencia'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Atlético Madrid,212,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,02e692a0-4109-4de7-8c50-0f339a4631cc,2,,,3825563,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 7905, 'name': 'Raúl Lizoáin Cruz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 27522, 'name': 'Antolín Alcáraz Viveros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 7906, 'name': 'David Simón Rodríguez Santana'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 23}, {'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 7904, 'name': 'Javi Castellano Betancor'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 8167, 'name': 'Sergio Ezequiel Araújo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Las Palmas,208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1efc544f-8f64-47d3-a447-2499d32b7332,3,,,3825563,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['d0f6cb26-4de3-4e72-9f64-cae0a2ff0914'],0,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d0f6cb26-4de3-4e72-9f64-cae0a2ff0914,4,,,3825563,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['1efc544f-8f64-47d3-a447-2499d32b7332'],0,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ebda5348-ff29-4f6c-b3e3-c98081b23db7,2023,,,3825563,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,90,Atlético Madrid,212,['34115dc9-c562-4477-ad98-b9f214eae01a'],0,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,34115dc9-c562-4477-ad98-b9f214eae01a,2024,,,3825563,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,90,Atlético Madrid,212,['ebda5348-ff29-4f6c-b3e3-c98081b23db7'],0,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,2.609248,,,,,,,,,,,,,,16332c59-0283-40f7-bc76-1a4e9487c966,5,,"[61.0, 40.1]",3825563,0,,True,,,3.0220244,,Right Foot,,,,"[32.7, 43.5]",Ground Pass,,28.503508,,,,Aythami Artiles Oliva,8440.0,,,,Kick Off,1,From Kick Off,Jonathan Viera Ramos,10755.0,Left Wing,2,Las Palmas,208,['b289ef8f-c78e-4ebb-9247-8bfe71077b61'],1,,,,,,,,,,,,,,,,Las Palmas,208,00:00:01.131,Pass,
,,,,,,,,,,,,,,,,1.376254,,,,,,,,,,,,,,048c17b5-3bed-491d-95b7-bafa3af2e8e6,7,,"[32.4, 43.8]",3825563,0,,,,,1.5279654,,Right Foot,,,,"[33.3, 64.8]",Ground Pass,,21.019278,,,,Antolín Alcáraz Viveros,27522.0,,,,,1,From Kick Off,Aythami Artiles Oliva,8440.0,Center Back,2,Las Palmas,208,['c65c8f1d-b9cb-4d28-9308-4e7183d6f92b'],5,,,,,,,,,,,,,,,,Las Palmas,208,00:00:05.148,Pass,
,,,,,,,,,,,,,,,,2.531814,,,,,,,,,,,,,,8be4922b-8686-4e7a-b49f-cfc6b11a2b75,11,,"[50.8, 74.6]",3825563,0,,,,,-0.36310628,,Right Foot,,,,"[93.7, 58.3]",High Pass,,45.892265,,,,Sergio Ezequiel Araújo,8167.0,,,,,1,From Kick Off,Antolín Alcáraz Viveros,27522.0,Right Center Back,2,Las Palmas,208,"['262c8f26-be43-4ce9-9364-82e92af43e98', '8837b5ee-ac10-484e-bd9d-729c82fd06c7']",10,,,,,,,,,,,,,,,,Las Palmas,208,00:00:10.376,Pass,True
,,,,,,,,,,,,,,,,1.80009,,,,,,,,,,,,,,7913641b-1912-4ad3-887f-2436549cfd0f,13,,"[93.7, 58.3]",3825563,0,,,,,-1.4619842,,Head,,,,"[95.0, 46.4]",High Pass,,11.970798,,Incomplete,,Jonathan Viera Ramos,10755.0,,,,,1,From Kick Off,Sergio Ezequiel Araújo,8167.0,Center Forward,2,Las Palmas,208,"['c75eda1d-bc86-46c9-8610-d5fed142e6e0', 'f4a3a12f-fca3-4828-a24a-02855e71b08d']",12,,,,,,,,,,,,,,,,Las Palmas,208,00:00:12.947,Pass,
