bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5d955734-d433-4b76-a4c5-f2f90fc0911c,1,,,3825736,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 27482, 'name': 'Aderllan Leandro de Jesus Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 10037, 'name': 'Danilo Barbosa da Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 20542, 'name': 'Álvaro Negredo Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Valencia,207,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f4a9a309-d802-4c12-9411-b78ae9d57ddb,2,,,3825736,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 24255, 'name': 'Juan Carlos Martín Corral'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 24138, 'name': 'Joaquín José Marín Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 26222, 'name': 'José Eduardo Rosa Vale de Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 11298, 'name': 'José Ignacio Martínez García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 11539, 'name': 'Adrián Embarba Blázquez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 26685, 'name': 'Nicolás Ladislao Fedor Flores'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,86312448-e9db-4d5e-b85f-e6b6bd299ee3,3,,,3825736,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['2cfe8502-e808-4e11-aa93-7a187b95eb71'],0,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2cfe8502-e808-4e11-aa93-7a187b95eb71,4,,,3825736,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['86312448-e9db-4d5e-b85f-e6b6bd299ee3'],0,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bc8ccc9b-201d-414c-9a07-606cc837ddd8,1822,,,3825736,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,121,Rayo Vallecano,360,['8a4121c0-192f-40bc-a91e-d8536b081ce0'],0,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8a4121c0-192f-40bc-a91e-d8536b081ce0,1823,,,3825736,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,121,Rayo Vallecano,360,['bc8ccc9b-201d-414c-9a07-606cc837ddd8'],0,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.813761,,,,,,,,,,,,,99aa5f69-4800-444e-8347-afeb9249c504,5,,"[61.0, 40.1]",3825736,0,,True,,,-2.1730838,,Right Foot,,,"[59.9, 38.5]",,Ground Pass,,1.9416488,,,Roberto Trashorras Gayoso,26848.0,,,,,,Kick Off,1,From Kick Off,Nicolás Ladislao Fedor Flores,26685.0,Center Forward,2,Rayo Vallecano,360,['bec3dc1e-ce4a-498e-a77b-8b2c6796392a'],1,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:01.386,Pass,
,,,,,,,,,,,,,,,,,,,,2.283913,,,,,,,,,,,,,9e49705a-0313-47c9-9e75-8b851e252260,7,,"[65.1, 42.5]",3825736,0,,,,,1.9299743,,Right Foot,,,"[55.0, 69.4]",,Ground Pass,,28.733604,,,Joaquín José Marín Ruiz,24138.0,,,,,,,1,From Kick Off,Roberto Trashorras Gayoso,26848.0,Right Defensive Midfield,2,Rayo Vallecano,360,['6ca406a7-90a7-4526-acd5-498029c1b03b'],4,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:04.472,Pass,
,,,,,,,,,,,,,,,,,,,,3.031631,,,,,,,,,,,,,c3e9d938-4fa4-45a6-80e1-d4cdc4ffe730,13,,"[37.5, 68.8]",3825736,0,,,,,-0.1590615,,Right Foot,,,"[85.5, 61.1]",,High Pass,,48.61368,,,Nicolás Ladislao Fedor Flores,26685.0,,,,,,Recovery,1,From Kick Off,José Eduardo Rosa Vale de Castro,26222.0,Right Center Back,2,Rayo Vallecano,360,['4772b8bd-e303-4554-a3c4-dbc756e14708'],10,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:10.621,Pass,
,,,,,,,,,,,,,,,,,,,,1.489017,,,,,,,,,,,,,f95f8b0a-9eda-47cb-bafa-9731df11954f,16,,"[85.5, 61.1]",3825736,0,,,,True,0.70418185,,,,,"[94.8, 69.0]",,High Pass,,12.202458,,,Adrián Embarba Blázquez,11539.0,,,,,,,1,From Kick Off,Nicolás Ladislao Fedor Flores,26685.0,Center Forward,2,Rayo Vallecano,360,"['109a9de1-57d1-40cf-a731-065f7a649ad5', '8aa40873-5937-4cb9-8b71-156876f627fc']",13,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:13.653,Pass,True
