50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,97726c71-e28f-400f-910e-c3fc66ea16c9,1,,,3825858,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10612, 'name': 'Yoel Rodríguez Oterino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26222, 'name': 'José Eduardo Rosa Vale de Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 11298, 'name': 'José Ignacio Martínez García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6743, 'name': 'Manuel Rolando Iturra Urrutia'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 26797, 'name': 'Francisco Medina Luna'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 16073, 'name': 'Aras Özbiliz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 7900, 'name': 'Tiago Manuel Dias Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 26685, 'name': 'Nicolás Ladislao Fedor Flores'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6cd19575-56c9-4c71-8db8-a56e195b7b16,2,,,3825858,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 6837, 'name': 'Mauro Javier Dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6776, 'name': 'David Juncà Reñé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 24453, 'name': 'Josip Radošević'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6557, 'name': 'Adrián González Morales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 24}, {'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Eibar,322,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5b889f37-7906-4260-9cb7-dd8890dc40e9,3,,,3825858,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,['fbd56bd7-e9c9-45d2-97df-e7254e101cbc'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fbd56bd7-e9c9-45d2-97df-e7254e101cbc,4,,,3825858,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,['5b889f37-7906-4260-9cb7-dd8890dc40e9'],0,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,522e7afe-2757-489d-b87a-63df196f5691,1429,,,3825858,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,108,Eibar,322,['1027cfa6-4de0-4e69-a188-e785e2572792'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1027cfa6-4de0-4e69-a188-e785e2572792,1430,,,3825858,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,108,Eibar,322,['522e7afe-2757-489d-b87a-63df196f5691'],0,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.33536,,,,,,,,,,,,3f5a72fc-306a-4740-90ab-bbaa5edf1015,5,,"[61.0, 40.1]",3825858,0,,True,,,1.7628443,,Right Foot,,,,"[60.3, 43.7]",,Ground Pass,,3.6674242,,,,Aras Özbiliz,16073.0,,,,,Kick Off,1,From Kick Off,Nicolás Ladislao Fedor Flores,26685.0,Center Forward,2,Rayo Vallecano,360,['8174bbc1-71c7-4cdb-a192-383a7129b75c'],0,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.179,Pass,
,,,,,,,,,,,,,,,,1.352692,,,,,,,,,,,,a60df196-b8ea-427d-a490-018c96ebd216,7,,"[60.3, 43.7]",3825858,0,,True,,,-2.5115588,,Left Foot,,,,"[55.5, 40.2]",,Ground Pass,,5.940539,,,,Roberto Trashorras Gayoso,26848.0,,,,,,1,From Kick Off,Aras Özbiliz,16073.0,Center Attacking Midfield,2,Rayo Vallecano,360,['11f3d261-c36e-4ec0-a90b-a894c199ba32'],0,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.617,Pass,
,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,01dbca0b-59c5-48a6-b87d-2790aa5fc511,9,,"[56.6, 38.3]",3825858,0,,,,,-1.5073365,,Right Foot,,,,"[58.5, 8.4]",,Ground Pass,,29.960306,,,,José Ignacio Martínez García,11298.0,,,,,,1,From Kick Off,Roberto Trashorras Gayoso,26848.0,Left Defensive Midfield,2,Rayo Vallecano,360,['79fdcdf0-9117-46f4-8110-b89fd386d6c9'],2,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:02.898,Pass,
,,,,,,,,,,,,,,,,0.872727,,,,,,,,,,,,07fa18db-6988-4a25-88e5-c6deed2fcc55,12,,"[58.2, 8.4]",3825858,0,,,,,-0.13111165,,Left Foot,,,,"[76.4, 6.0]",,Ground Pass,,18.35756,,,,Tiago Manuel Dias Correia,7900.0,,,,,,1,From Kick Off,José Ignacio Martínez García,11298.0,Left Back,2,Rayo Vallecano,360,['f8e42553-a734-44a3-8c14-41ce534a438b'],4,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:04.428,Pass,
