ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cf9b3e39-987c-41e6-af35-4ea58f2b714c,1,,,3825652,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 7906, 'name': 'David Simón Rodríguez Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 26448, 'name': 'Javier Garrido Behovide'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6608, 'name': 'Nabil El Zhar'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 8167, 'name': 'Sergio Ezequiel Araújo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Las Palmas,208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a6c65790-bd3b-4d97-8c98-e900daff8131,2,,,3825652,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8724, 'name': 'Carlos Martínez Díez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 6740, 'name': 'Gonzalo Castro Irizábal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 6677, 'name': 'Imanol Agirretxe Arruti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Sociedad,210,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e6f49895-9468-46c5-9c93-cd8ce998a84b,3,,,3825652,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['aced0de7-230b-4e70-96c1-c0a91a538222'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,aced0de7-230b-4e70-96c1-c0a91a538222,4,,,3825652,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['e6f49895-9468-46c5-9c93-cd8ce998a84b'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a40533e9-78a4-4a67-be0e-22fa2e2a5f10,1779,,,3825652,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,126,Las Palmas,208,['f29c5700-eda1-44ec-88cb-899b8c7ea7ff'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f29c5700-eda1-44ec-88cb-899b8c7ea7ff,1780,,,3825652,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,126,Las Palmas,208,['a40533e9-78a4-4a67-be0e-22fa2e2a5f10'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.331457,,,,,,,,,,,,,,9bb85bc7-4871-4d6e-87f0-6e813a0978d2,5,,"[61.0, 40.1]",3825652,0,,,,,1.8251644,,Right Foot,,,"[59.7, 45.1]",,Ground Pass,,5.1662364,,,,Sergio Ezequiel Araújo,8167.0,,,,,Kick Off,1,From Kick Off,Pedro Taunausú Domínguez Placeres,6928.0,Right Center Forward,2,Las Palmas,208,['19ff52e6-b1c3-423e-b8c0-1db04df4e73c'],0,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.991,Pass,
,,,,,,,,,,,,,,2.126275,,,,,,,,,,,,,,cc97822f-0021-4e7b-a7b7-04ea99ab0e28,8,,"[59.5, 45.7]",3825652,0,,,,,3.0151236,,Right Foot,,,"[30.4, 49.4]",,Ground Pass,,29.33428,,,,Aythami Artiles Oliva,8440.0,,,,,,1,From Kick Off,Sergio Ezequiel Araújo,8167.0,Left Center Forward,2,Las Palmas,208,['eced4925-82c0-451d-a1ac-caf9b7499fb9'],1,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:01.878,Pass,
,,,,,,,,,,,,,,2.494329,,,,,,,,,,,,,,0568f3b6-b00d-4940-9c69-92ff3f349711,11,,"[30.4, 49.4]",3825652,0,,,,,-3.0009348,,Right Foot,,,"[7.8, 46.2]",,Ground Pass,,22.825424,,,,Javier Varas Herrera,26753.0,,,,,,1,From Kick Off,Aythami Artiles Oliva,8440.0,Right Center Back,2,Las Palmas,208,['a7dd1c24-c9ea-4db9-bc37-a7f1fe52b8a8'],4,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:04.770,Pass,
,,,,,,,,,,,,,,3.037639,,,,,,,,,,,,,,8c164221-06c4-4002-896d-675b8b3b3358,14,,"[7.8, 46.2]",3825652,0,,,,,-0.114285804,,Right Foot,,,"[59.2, 40.3]",,High Pass,,51.73751,,Unknown,,Pedro Taunausú Domínguez Placeres,6928.0,,,,,,1,From Kick Off,Javier Varas Herrera,26753.0,Goalkeeper,2,Las Palmas,208,['7a968c7a-4627-4591-9f10-62bb9cc06a24'],8,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:08.121,Pass,
