bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.953694,,,,,,,,,,,,b5346c29-97ea-4fe7-9a24-15919e1f755e,20,,"[30.0, 46.6]",3825648,0,,,,,-0.05258306,,Right Foot,,,"[39.5, 46.1]",Ground Pass,,9.513149,,,José Raúl Baena Urdiales,26607.0,,,,,,1,Regular Play,José Eduardo Rosa Vale de Castro,26222.0,Left Center Back,3,Rayo Vallecano,360,"['7ab2bccd-3498-4e30-b394-b099db1a4f11', 'cbf3488c-a9c6-427a-8029-b582c60a2cb9']",11,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:11.189,Pass,True
,,,,,,,,,,,,,,,,,,0.585348,,,,,,,,,,,,66e3501d-c0bb-4d5e-a4a7-95be67ff09df,25,,"[40.1, 45.0]",3825648,0,,,,,0.893546,,Right Foot,,,"[47.9, 54.7]",Ground Pass,,12.447088,,,Roberto Trashorras Gayoso,26848.0,,,,,,1,Regular Play,José Raúl Baena Urdiales,26607.0,Left Defensive Midfield,3,Rayo Vallecano,360,"['0b38019f-351e-4c09-b27d-5c85148bef8c', '4f742158-0454-4300-90dc-b90f45f7485f', '62260ba7-bd39-43b6-a176-ae29d5b22f3e']",12,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:12.705,Pass,True
,,,,,,,,,,,,,,,,,,1.301865,,,,,,,,,,,,ed7a8a17-37aa-4b45-9890-9a84a1f841d7,29,,"[55.6, 26.4]",3825648,0,,,,,-1.0098141,,Right Foot,,,"[69.8, 3.8]",Ground Pass,,26.690823,,,Tiago Manuel Dias Correia,7900.0,,,,,,1,Regular Play,Roberto Trashorras Gayoso,26848.0,Right Defensive Midfield,3,Rayo Vallecano,360,['7f2248d5-06e0-456e-9685-9ee72ab8026c'],17,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:17.548,Pass,
,,,,,,,,,,,,,,,,,,1.352448,,,,,,,,,,,,414950df-9cb3-4eb8-b7de-2a551b5a3180,32,,"[69.8, 3.8]",3825648,0,,,,,1.110406,,Right Foot,,,"[75.9, 16.1]",Ground Pass,,13.72953,,,Javier Guerra Rodríguez,11542.0,,,,,,1,Regular Play,Tiago Manuel Dias Correia,7900.0,Left Wing,3,Rayo Vallecano,360,['ba42a5a0-77bb-4802-8c01-e91973aa739c'],18,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:18.944,Pass,
,,,,,,,,,,,,,,,,,,1.251142,,,,,,,,,,,,b8053b56-f064-4a42-a47b-5f1ffec7681d,36,,"[75.1, 16.6]",3825648,0,,,,,-1.6697627,,Left Foot,,,"[73.7, 2.5]",Ground Pass,,14.169333,,,Răzvan Dincă Raț,10727.0,,,,,,1,Regular Play,Javier Guerra Rodríguez,11542.0,Center Forward,3,Rayo Vallecano,360,"['5dccb51f-7c51-4588-ae5d-083b2b39662f', '9dc69127-5e40-4a2b-91fd-10d80b987b92']",23,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:23.137,Pass,True
,,,,,,,,,,,,,,,,,,2.849489,,,,,,,,,,,,fbfef052-2c01-4363-8417-fe451582d929,39,,"[73.7, 2.5]",3825648,0,,,,,0.5534674,,Left Foot,,,"[110.6, 25.3]",High Pass,,43.375683,Pass Offside,,Javier Guerra Rodríguez,11542.0,,,,,,1,Regular Play,Răzvan Dincă Raț,10727.0,Left Back,3,Rayo Vallecano,360,['04420880-ac99-4994-8f2b-762bec855116'],25,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:25.257,Pass,
,,,,,,,,,,,,,,,,,,3.166582,,,,,,,,,,,,0f98d42b-5354-4c0d-a17d-dc93640c7444,41,,"[14.2, 54.8]",3825648,0,,,,,0.10522052,,Right Foot,,,"[74.8, 61.2]",High Pass,,60.937016,,,Borja González Tomás,6566.0,,,,,Free Kick,1,From Free Kick,Asier Riesgo Unamuno,10763.0,Goalkeeper,4,Eibar,322,['addec513-93b4-4b79-ba87-d22b00c908d1'],52,,,,,,,,,,,,,,,,Eibar,322,00:00:52.680,Pass,
,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,2c65fc3b-f34b-44f5-92ed-56c931718dc4,43,,"[74.8, 61.2]",3825648,0,,,,True,-0.119428925,,,,,"[77.3, 60.9]",Low Pass,,2.5179358,Incomplete,,,,,,,,,1,From Free Kick,Borja González Tomás,6566.0,Center Forward,4,Eibar,322,"['5dc9ca20-b20b-4db2-9a33-e184b694ddbd', 'd5cd85c7-2eaa-44a7-a82e-1cbe5060b6d1']",55,,,,,,,,,,,,,,,,Eibar,322,00:00:55.847,Pass,True
,,,,,,,,,,,,,,,,,,1.015556,,,,,,,,,,,,43c3f24a-13da-4477-b35f-94983408ea7e,46,,"[80.8, 60.7]",3825648,0,,,,,-0.31874755,,Right Foot,,,"[90.8, 57.4]",Low Pass,,10.530432,,,Simone Verdi,7170.0,,,,,Recovery,1,From Free Kick,Sergio Gontán Gallardo,6742.0,Right Wing,4,Eibar,322,['3ce1b281-5465-4cf4-bb5f-6f154302e580'],57,,,,,,,,,,,,,,,,Eibar,322,00:00:57.662,Pass,
,,,,,,,,,,,,,,,,,,1.91088,,,,,,,,,,,,2f03c887-8ba2-4af1-b462-627d4c46799d,50,,"[90.1, 57.6]",3825648,0,,,,,-0.49839297,28b8c0b7-915c-49b0-91d8-392965dc25a7,Right Foot,,,"[104.8, 49.6]",Ground Pass,,16.73589,,,Borja González Tomás,6566.0,True,,,,,1,From Free Kick,Simone Verdi,7170.0,Center Attacking Midfield,4,Eibar,322,['7522a68f-8d5d-444d-9139-d0b99ffb4d8e'],59,,,,,,,,,,,,,,,,Eibar,322,00:00:59.348,Pass,
