ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,e14cee6d-22b8-4ee8-8d9b-301ddef8e8de,2745,,"[80.6, 77.2]",3825801,70,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Manuel Castellano Castro,24508.0,Right Back,154,Eibar,322,['05b80260-1e02-45ae-9a9c-9f460be782df'],37,,,,,,,,,,,,,,,,,Eibar,322,00:25:37.569,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,f022a658-57e3-467b-8a6f-d137c87ff875,2748,,"[101.1, 54.4]",3825801,70,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergio Enrich Ametller,6700.0,Left Center Forward,154,Eibar,322,['048578d3-96aa-4a15-a8d1-0aced1ea6228'],40,,,,,,,,,,,,,,,,,Eibar,322,00:25:40.674,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0ad98f11-4a6d-482a-8aa7-2768e6fe32f4,2754,,"[45.8, 38.4]",3825801,70,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Víctor Machín Pérez,6841.0,Right Wing,154,Eibar,322,['a0737019-040b-4877-aa9c-2577509e3c74'],45,,,,,,,,,,,,,,,,,Sevilla,213,00:25:45.689,Ball Receipt*,
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,6272a1aa-8f9f-4c49-bd8c-f12086610e12,2758,,"[70.9, 75.9]",3825801,70,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mariano Ferreira Filho,21210.0,Right Back,154,Eibar,322,['f0691cc3-e7cf-4f95-b846-9077e1efecb6'],50,,,,,,,,,,,,,,,,,Sevilla,213,00:25:50.720,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ecb1d2c-64fd-45cc-9b04-d098da97057a,2760,,"[52.8, 12.5]",3825801,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Daniel García Carrillo,6775.0,Right Defensive Midfield,155,Eibar,322,['310e1bab-2815-4c31-a179-bf69319703f5'],5,,,,,,,,,,,,,,,,,Eibar,322,00:26:05.973,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,fa719541-fe47-42b6-8ff1-0a2b147a34c2,2762,,"[37.1, 29.9]",3825801,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Aleksandar Pantić,27239.0,Right Center Back,155,Eibar,322,['d0076863-9877-4598-a134-0cc688f7072e'],8,,,,,,,,,,,,,,,,,Eibar,322,00:26:08.007,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,524596f8-bd66-4ef1-944c-a639b604d075,2765,,"[46.8, 59.0]",3825801,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Manuel Castellano Castro,24508.0,Right Back,155,Eibar,322,['a2d8e531-d6aa-4876-a24c-92aa400d66fc'],11,,,,,,,,,,,,,,,,,Eibar,322,00:26:11.429,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3f710fed-38d1-44d6-acf9-f843c4176856,2768,,"[32.4, 53.7]",3825801,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Aleksandar Pantić,27239.0,Right Center Back,155,Eibar,322,['9dcc40b5-aaef-4b84-90e3-928c6f0a846e'],19,,,,,,,,,,,,,,,,,Eibar,322,00:26:19.585,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,db5f4240-43d2-403a-a603-aad21738a3de,2771,,"[35.9, 26.7]",3825801,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Iván Ramis Barrios,6778.0,Left Center Back,155,Eibar,322,['55d5b91b-66c9-44b5-8169-fc7d1c82b596'],22,,,,,,,,,,,,,,,,,Eibar,322,00:26:22.628,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,897bf15c-2b6f-494e-8960-a511e9a397d1,2775,,"[58.1, 18.5]",3825801,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Adrián González Morales,6557.0,Left Midfield,155,Eibar,322,"['8506924d-3028-4745-b98f-749d26694db0', 'beb1ac70-eee3-4204-aafd-128b9c355ff6']",24,,,,,,,,,,,,,,,,,Eibar,322,00:26:24.844,Ball Receipt*,True
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,bd1f219a-b3e5-486c-9394-2bb1046af7d8,2782,,"[68.6, 61.3]",3825801,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Mariano Ferreira Filho,21210.0,Right Back,155,Eibar,322,['3cbfe5d1-35fc-430c-9c12-7d37b3471db2'],29,,,,,,,,,,,,,,,,,Sevilla,213,00:26:29.406,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,761cf787-59c5-420a-a76b-7469cd75f136,2789,,"[40.3, 22.2]",3825801,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Iván Ramis Barrios,6778.0,Left Center Back,155,Eibar,322,['e8413715-cde3-4894-8698-39eca681f599'],32,,,,,,,,,,,,,,,,,Eibar,322,00:26:32.001,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,181c24d7-97a8-47c4-b2c6-b705aefd3cf3,2792,,"[73.8, 63.1]",3825801,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Gonzalo Escalante,6712.0,Right Midfield,155,Eibar,322,['f92dd160-182d-4a1c-89f5-7f1d1c834f1f'],36,,,,,,,,,,,,,,,,,Eibar,322,00:26:36.168,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,bee9ecf2-4d1e-4ee6-bc86-6b6de965f113,2795,,"[79.8, 67.8]",3825801,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Sergio Enrich Ametller,6700.0,Left Center Forward,155,Eibar,322,['75454d52-d1be-4039-9b0f-68d950f1b626'],40,,,,,,,,,,,,,,,,,Eibar,322,00:26:40.295,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1a3ab4bb-7f3f-477a-a5c4-c9f15ff70607,2799,,"[62.1, 71.8]",3825801,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Manuel Castellano Castro,24508.0,Right Back,155,Eibar,322,['1d5ea3c4-5dc6-4968-b834-725a98ee847a'],45,,,,,,,,,,,,,,,,,Eibar,322,00:26:45.031,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,b9f874f0-2d11-45f6-a42f-5e1b5ba8373c,2802,,"[64.2, 67.3]",3825801,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Daniel García Carrillo,6775.0,Right Defensive Midfield,155,Eibar,322,['0d5042bd-1659-497c-b581-a4b3cfd98af1'],49,,,,,,,,,,,,,,,,,Eibar,322,00:26:49.945,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,71ea71ac-3526-40ed-bf8f-e8080a5487d9,2805,,"[88.7, 5.5]",3825801,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Adrián González Morales,6557.0,Left Midfield,155,Eibar,322,['006cdd41-c6d5-4a54-94ff-9b583a2ae535'],54,,,,,,,,,,,,,,,,,Eibar,322,00:26:54.045,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719055e-e4b6-4f53-a725-80c9b5a2ba6b,2809,,"[106.0, 7.6]",3825801,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,David Juncà Reñé,6776.0,Left Back,155,Eibar,322,['b46ddf36-00d8-45b0-bca2-6ad730912c4f'],57,,,,,,,,,,,,,,,,,Eibar,322,00:26:57.653,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17b558a4-513e-4ab9-9a84-1149b0c68111,2817,,"[51.2, 51.3]",3825801,72,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Kevin Gameiro,6401.0,Center Forward,156,Sevilla,213,['36a0c096-f94b-4131-8df9-2e46452b8a8c'],4,,,,,,,,,,,,,,,,,Sevilla,213,00:27:04.678,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ec5c6df-485a-4ac3-93da-710185ed78d4,2820,,"[97.1, 34.5]",3825801,72,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Éver Maximiliano David Banega,5504.0,Center Attacking Midfield,156,Sevilla,213,['5c42d95e-85ea-4967-858d-346856b482cd'],9,,,,,,,,,,,,,,,,,Sevilla,213,00:27:09.993,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9a22abe5-7938-4c83-b848-57eddf0e2151,2825,,"[73.7, 5.5]",3825801,72,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Benoît Trémoulinas,27483.0,Left Back,157,Sevilla,213,['526dd42e-372d-4632-a160-217a57bebbcc'],20,,,,,,,,,,,,,,,,,Sevilla,213,00:27:20.356,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,836e7bb4-d357-415d-bdde-057594de7ff1,2827,,"[90.0, 1.8]",3825801,72,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Michael Krohn-Dehli,6356.0,Left Wing,157,Sevilla,213,['29d7085b-2596-406c-95e8-585481f6735e'],23,,,,,,,,,,,,,,,,,Sevilla,213,00:27:23.117,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,d0d39919-6882-4038-a621-a963ca1ef5c6,2830,,"[93.7, 10.1]",3825801,72,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Éver Maximiliano David Banega,5504.0,Center Attacking Midfield,157,Sevilla,213,['ac484533-8bae-4be4-9651-7013d36302bd'],25,,,,,,,,,,,,,,,,,Sevilla,213,00:27:25.379,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,c4312b74-e6f6-442b-9a7a-9211cb3ff682,2834,,"[80.3, 24.4]",3825801,72,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Steven N''Kemboanza Mike Christopher Nzonzi,5737.0,Left Defensive Midfield,157,Sevilla,213,['15e1c06b-d545-467d-9e75-817f56836819'],28,,,,,,,,,,,,,,,,,Sevilla,213,00:27:28.657,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,96a9069a-bf25-43ab-8788-e2cf31f1dc16,2837,,"[96.6, 69.7]",3825801,72,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Mariano Ferreira Filho,21210.0,Right Back,157,Sevilla,213,['9ba5ed93-c97e-451c-b897-26abb5a9d2ab'],32,,,,,,,,,,,,,,,,,Sevilla,213,00:27:32.885,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecb0e74c-652f-4559-8523-98a7bfc74c09,2847,,"[32.9, 72.1]",3825801,73,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Manuel Castellano Castro,24508.0,Right Back,160,Eibar,322,['7b96d19c-68f3-4541-aeab-f01f4a30d5c3'],44,,,,,,,,,,,,,,,,,Eibar,322,00:28:44.840,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1207427e-b48d-44ee-9e17-f3a4911acad2,2850,,"[14.3, 46.8]",3825801,73,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Asier Riesgo Unamuno,10763.0,Goalkeeper,160,Eibar,322,['c129f844-d8a0-4c0e-b022-b9ffe3cf062a'],48,,,,,,,,,,,,,,,,,Eibar,322,00:28:48.090,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,bc866027-c405-4c90-94ca-3f941a568c1a,2854,,"[53.6, 18.6]",3825801,73,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Adrián González Morales,6557.0,Left Midfield,160,Eibar,322,['7fe38fdd-9653-432b-b729-2701fa5b00f9'],52,,,,,,,,,,,,,,,,,Eibar,322,00:28:52.497,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13ee54e9-8198-4651-abaf-72cc7c112720,2856,,"[37.7, 8.9]",3825801,73,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,David Juncà Reñé,6776.0,Left Back,160,Eibar,322,['f99b155f-d2fa-4739-83bc-268826b7af7d'],54,,,,,,,,,,,,,,,,,Eibar,322,00:28:54.560,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,dd6a492d-8f05-4683-88d8-1e0e5c9af295,2858,,"[58.1, 7.3]",3825801,73,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Adrián González Morales,6557.0,Left Midfield,160,Eibar,322,['aa169b7b-c43c-4501-9715-9134042ed2fd'],56,,,,,,,,,,,,,,,,,Eibar,322,00:28:56.549,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,59cfdc5c-4659-48ef-a8ca-3c92d8e0c4fd,2867,,"[65.5, 17.5]",3825801,74,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Adrián González Morales,6557.0,Left Midfield,160,Eibar,322,"['56cd8f53-bf0e-4ba5-aebb-17bbb92da7e5', 'c2e744a0-1597-47e4-9906-d651d630348e']",3,,,,,,,,,,,,,,,,,Eibar,322,00:29:03.532,Ball Receipt*,True
