50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b3748da1-73e4-4a33-8052-512af86aaff6,1,,,3825880,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 27305, 'name': 'Germán Darío Lux'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6738, 'name': 'Juan Francisco Moreno Fuertes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6869, 'name': 'Alejandro Arribas Garrido'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6734, 'name': 'Luis Carlos Correia Pinto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 5582, 'name': 'Celso Borges Mora'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6733, 'name': 'Pedro Mosquera Parada'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5724, 'name': 'Fayçal Fajr'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 7782, 'name': 'Luis Alberto Romero Alconchel'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 25921, 'name': 'Rubén Gracia Calmache'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 6}, {'player': {'id': 6732, 'name': 'Lucas Pérez Martínez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,31872278-aa4e-4c71-a5b3-49b2ffca2c7a,2,,,3825880,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5678, 'name': 'Jefferson Andrés Lerma Solís'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 27656, 'name': 'Carl Medjani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 27122, 'name': 'Simão Mate'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 26211, 'name': 'Joan Verdú Fernández'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 25}, {'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Levante UD,221,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b5e1be3d-e9dc-40b2-bd09-d672f7cdb33b,3,,,3825880,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,['c4c4b3d7-477a-49a6-a9c0-22bc7a63faec'],0,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c4c4b3d7-477a-49a6-a9c0-22bc7a63faec,4,,,3825880,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RC Deportivo La Coruña,219,['b5e1be3d-e9dc-40b2-bd09-d672f7cdb33b'],0,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7b5cce46-18f6-4113-9cfd-a77ad71158b9,1687,,,3825880,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,100,RC Deportivo La Coruña,219,['b9d50a68-bfe4-4ba4-954d-62828eda35bb'],0,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b9d50a68-bfe4-4ba4-954d-62828eda35bb,1688,,,3825880,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,100,RC Deportivo La Coruña,219,['7b5cce46-18f6-4113-9cfd-a77ad71158b9'],0,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.573673,,,,,,,,,,,,,c3e09b6a-2446-43c2-9be1-c20b38da4038,5,,"[60.0, 40.0]",3825880,0,,,,-1.8113306,,Right Foot,,,"[58.7, 34.7]",,Ground Pass,,5.4571056,,,Luis Alberto Romero Alconchel,7782.0,,,,,Kick Off,1,From Kick Off,Lucas Pérez Martínez,6732.0,Center Forward,2,RC Deportivo La Coruña,219,['93a5af72-e1dd-459a-a58d-f41dea508629'],0,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.120,Pass,
,,,,,,,,,,,,,,,,,,0.726399,,,,,,,,,,,,,697529ae-7a09-4fbc-964d-3b616027712d,8,,"[60.1, 34.7]",3825880,0,,,,-0.7140907,,Right Foot,,,"[67.6, 28.2]",,Ground Pass,,9.924717,,,Rubén Gracia Calmache,25921.0,,,,,,1,From Kick Off,Luis Alberto Romero Alconchel,7782.0,Center Attacking Midfield,2,RC Deportivo La Coruña,219,['1cc7da8d-bae1-4b44-8ce1-6cbfd38017f1'],2,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:02.019,Pass,
,,,,,,,,,,,,,,,,,,0.126298,,,,,,,,,,,,,d481c297-7b7c-452e-a3bc-88c4eb10c093,17,,"[25.3, 69.7]",3825880,0,,,,0.30400094,,Right Foot,,,"[30.4, 71.3]",,High Pass,,5.3450913,,Incomplete,,,,,,,,1,Regular Play,Carl Medjani,27656.0,Right Center Back,3,Levante UD,221,['2bc6aa8b-8ee4-4084-a531-d0758b7ab947'],9,,,,,,,,,,,,,,,,Levante UD,221,00:00:09.048,Pass,
,,,,,,,,,,,,,,,,,,1.869287,,,,,,,,,,,,,96e6b3c4-644a-4847-aa49-74febd8e733e,19,,"[44.2, 13.4]",3825880,0,,,True,-0.49513325,,,,,"[54.2, 8.0]",,Low Pass,,11.364858,,Incomplete,,,,,,,Recovery,1,Regular Play,Alejandro Arribas Garrido,6869.0,Right Center Back,3,Levante UD,221,"['96496f01-9983-4d4a-b3c8-974d6de1b73d', 'ad020e5d-eb01-4202-a861-cc8ba9439b68']",12,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:12.326,Pass,True
