ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,88721833-cdce-48e4-9cfe-423ccc6a4171,1,,,3825776,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 21210, 'name': 'Mariano Ferreira Filho'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10476, 'name': 'Timothée Kolodziejczak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 27483, 'name': 'Benoît Trémoulinas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 5737, 'name': ""Steven N''Kemboanza Mike Christopher Nzonzi""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 7154, 'name': 'Sebastián Carlos Cristóforo Pepe'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 23816, 'name': 'José Antonio Reyes Calderón'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 8523, 'name': 'Yevhen Konoplyanka'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 6401, 'name': 'Kevin Gameiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Sevilla,213,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5edfbba6-c665-436a-9f70-7499341781e9,2,,,3825776,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6927, 'name': 'David García Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 26448, 'name': 'Javier Garrido Behovide'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6608, 'name': 'Nabil El Zhar'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 12}, {'player': {'id': 6721, 'name': 'Willian José da Silva'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Las Palmas,208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,548b0bc8-72f9-41e5-a5d1-d65c1f820c0f,3,,,3825776,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['65e305c7-8a1b-4de3-bcba-360a8524d8c6'],0,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,65e305c7-8a1b-4de3-bcba-360a8524d8c6,4,,,3825776,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['548b0bc8-72f9-41e5-a5d1-d65c1f820c0f'],0,,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f3ee2528-0ce5-46fd-8eb1-7f0960597d58,1743,,,3825776,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,94,Sevilla,213,['12394489-5c25-43d1-a15f-8a5be2992b90'],0,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,12394489-5c25-43d1-a15f-8a5be2992b90,1744,,,3825776,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,94,Sevilla,213,['f3ee2528-0ce5-46fd-8eb1-7f0960597d58'],0,,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.273302,,,,,,,,,,,,,79c97d68-d944-4d85-b374-dc8a70a04b92,5,,"[60.0, 40.0]",3825776,0,,,,1.6373645,,Right Foot,,,,"[59.9, 41.5]",,Ground Pass,,1.5033296,,,Jonathan Viera Ramos,10755.0,,,,,Kick Off,1,From Kick Off,Willian José da Silva,6721.0,Center Forward,2,Las Palmas,208,['588dc948-5a3c-45c1-aa0e-04fc9eecf934'],0,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.788,Pass,
,,,,,,,,,,,,,,,1.128806,,,,,,,,,,,,,4f9aad40-db5f-454e-8a86-26d588e276aa,8,,"[59.5, 41.9]",3825776,0,,,,-2.8753407,,Right Foot,,,,"[48.5, 38.9]",,Ground Pass,,11.401754,,,Roque Mesa Quevedo,3610.0,,,,,,1,From Kick Off,Jonathan Viera Ramos,10755.0,Left Center Midfield,2,Las Palmas,208,['9e970a39-55b3-4048-860f-cf27a0ee5875'],1,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:01.181,Pass,
,,,,,,,,,,,,,,,2.160621,,,,,,,,,,,,,fea53aaa-e8a8-4100-ad9d-0166b8a8451f,11,,"[48.5, 38.9]",3825776,0,,,,-2.4970732,,Right Foot,,,,"[32.8, 27.1]",,Ground Pass,,19.64001,,,Pedro Bigas Rigo,7907.0,,,,,,1,From Kick Off,Roque Mesa Quevedo,3610.0,Center Defensive Midfield,2,Las Palmas,208,['6281c8f8-f7b2-4ce9-95e0-5978c3dde64f'],2,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:02.755,Pass,
,,,,,,,,,,,,,,,2.332859,,,,,,,,,,,,,bdc4d271-7b69-4e4d-b0a3-91fbf8ed52c4,14,,"[32.8, 26.9]",3825776,0,,,,2.6192849,,Left Foot,,,,"[9.0, 40.6]",,Ground Pass,,27.461428,,,Javier Varas Herrera,26753.0,,,,,,1,From Kick Off,Pedro Bigas Rigo,7907.0,Left Center Back,2,Las Palmas,208,['53024cbe-5702-4947-95f4-11d237964b55'],5,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:05.322,Pass,
