ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5fd2898f-b8f3-41bb-ab95-0e15a1fb6d18,1,,,3825747,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6662, 'name': 'Iago Herrerín Buisán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 6386, 'name': 'Eneko Bóveda Altube'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6389, 'name': 'Mikel San José Domínguez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6842, 'name': 'Iker Muniain Goñi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 6666, 'name': 'Sabin Merino Zuloaga'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Athletic Club,215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ab402513-17e1-4b1f-9d9b-0d28ecbdaae0,2,,,3825747,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 6837, 'name': 'Mauro Javier Dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6776, 'name': 'David Juncà Reñé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6557, 'name': 'Adrián González Morales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 6742, 'name': 'Sergio Gontán Gallardo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 24070, 'name': 'Saúl Berjón Pérez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Eibar,322,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3f80bfff-cdee-448d-af49-e5db13c02823,3,,,3825747,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['731ae6e7-4df6-4038-94c6-f25bd1d14ef6'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,731ae6e7-4df6-4038-94c6-f25bd1d14ef6,4,,,3825747,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['3f80bfff-cdee-448d-af49-e5db13c02823'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4269c3cc-d581-4e87-8b08-6f47f64eaa6d,1571,,,3825747,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,Eibar,322,['d8f42f05-8e0d-4ec4-a3b4-eef5675e0bdb'],0,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d8f42f05-8e0d-4ec4-a3b4-eef5675e0bdb,1572,,,3825747,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,Eibar,322,['4269c3cc-d581-4e87-8b08-6f47f64eaa6d'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.613658,,,,,,,,,,,,,,e499d091-c753-4f64-b90a-b12c1fe932f1,5,,"[61.0, 40.1]",3825747,0,,,,,1.9004208,,Right Foot,,,"[59.7, 43.9]",,Ground Pass,4.016217,,,,,Beñat Etxebarria Urkiaga,6396.0,,,,,,Kick Off,1,From Kick Off,Iker Muniain Goñi,6842.0,Center Attacking Midfield,2,Athletic Club,215,['98f1e153-1b11-4c74-94a2-b9b8fca303e0'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.583,Pass,
,,,,,,,,,,,,,1.927014,,,,,,,,,,,,,,fcf9ad92-bb97-4a85-bd99-91a0a40671c6,8,,"[58.9, 44.1]",3825747,0,,,,,-2.9153736,,Right Foot,,,"[33.7, 38.3]",,Ground Pass,25.858847,,,,,Aymeric Laporte,4353.0,,,,,,,1,From Kick Off,Beñat Etxebarria Urkiaga,6396.0,Left Defensive Midfield,2,Athletic Club,215,['f8d24665-cf52-4fdd-8cb0-6488875e3131'],1,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:01.595,Pass,
,,,,,,,,,,,,,3.135396,,,,,,,,,,,,,,ec0cf838-b372-4720-a583-e895fa324e28,11,,"[33.7, 38.3]",3825747,0,,,,,0.60644585,,Left Foot,,,"[85.6, 74.3]",,High Pass,63.16336,,,Incomplete,,Markel Susaeta Laskurain,6390.0,,,,,,,1,From Kick Off,Aymeric Laporte,4353.0,Left Center Back,2,Athletic Club,215,"['bd383426-59e5-4b22-9288-726b8c165164', 'c1b6c8fd-25c7-4c38-b3a0-e4df2a4572da']",4,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:04.759,Pass,
,,,,,,,,,,,,,0.752787,,,,,,,,,,,,,,3d649c9c-56a2-4b5d-b758-1de5bd8de3bf,14,,"[83.7, 80.0]",3825747,0,,,,,-1.706324,,,,,"[82.5, 71.2]",,Low Pass,8.881441,,,,,Iker Muniain Goñi,6842.0,,,,,,Throw-in,1,From Throw In,Óscar de Marcos Arana,6649.0,Right Back,3,Athletic Club,215,['6e4077e1-05ef-4020-92ed-75151c611479'],14,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:14.527,Pass,
