50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.542066,,,,,,,,,,,,,,0cb08f08-8ff7-40b6-bb35-34c9249514fe,1545,,"[31.0, 12.4]",3825623,43,,,,0.5569015,,Left Foot,,,"[36.3, 15.7]",Ground Pass,,6.2433963,,,,Pablo Fornals Malla,6764.0,,,,,,,1,Regular Play,Miguel Torres Gómez,6878.0,Left Back,80,Málaga,223,['85865d76-c4a2-4f9c-978f-d21fd00c81ed'],25,,,,,,,,,,,,,,,,,,Málaga,223,00:43:25.222,Pass,
,,,,,,,,,,,,,,,,0.943021,,,,,,,,,,,,,,92e86eb8-f684-4922-92bc-981b55b76a84,1548,,"[53.1, 28.6]",3825623,43,,,,0.43490154,,Right Foot,,,"[65.8, 34.5]",Ground Pass,,14.003571,,,,Charles Días Barbosa de Oliveira,6707.0,,,,,,,1,Regular Play,Pablo Fornals Malla,6764.0,Left Defensive Midfield,80,Málaga,223,['801128bf-f508-40a3-a65a-64526d5df0de'],28,,,,,,,,,,,,,,,,,,Málaga,223,00:43:28.184,Pass,
,,,,,,,,,,,,,,,,1.211455,,,,,,,,,,,,,,d54e3978-626b-49ff-89fe-edc5d7ebdaa4,1552,,"[62.4, 26.2]",3825623,43,,,,-1.7787548,,Right Foot,,,"[60.1, 15.3]",Ground Pass,,11.1400175,,,,Sérgio Paulo Barbosa Valente,25859.0,,,,,,,1,Regular Play,Charles Días Barbosa de Oliveira,6707.0,Center Forward,80,Málaga,223,['611ea1f8-8d9e-40e5-af44-bf0337550c48'],30,,,,,,,,,,,,,,,,,,Málaga,223,00:43:30.243,Pass,
,,,,,,,,,,,,,,,,0.773227,,,,,,,,,,,,,,9391a9e0-7266-4582-b645-8b8d6eb0e9ee,1556,,"[58.4, 14.6]",3825623,43,,,,-0.86217004,,Left Foot,,,"[68.6, 2.7]",Ground Pass,,15.673225,,,,Juan Carlos Pérez López,6559.0,,,,,,,1,Regular Play,Sérgio Paulo Barbosa Valente,25859.0,Center Attacking Midfield,80,Málaga,223,"['1e75d52d-fe31-4466-ad61-19c2a94e5dc0', 'ea3c9dfe-e5f5-417e-8283-d585c5f86214']",32,,,,,,,,,,,,,,,,,,Málaga,223,00:43:32.057,Pass,True
,,,,,,,,,,,,,,,,1.309692,,,,,,,,,,,,,,b49a6cd1-fc77-4287-8fd4-5a259947e541,1559,,"[70.9, 1.9]",3825623,43,,,,1.5572836,,Left Foot,,,"[71.0, 9.3]",Ground Pass,,7.400676,,Incomplete,,Charles Días Barbosa de Oliveira,6707.0,,,,,,,1,Regular Play,Juan Carlos Pérez López,6559.0,Left Wing,80,Málaga,223,"['10f31312-726f-4b9c-a861-55fb1da2e717', 'd743f13d-e6e1-499c-ac86-b3f2c7dd84c4']",33,,,,,,,,,,,,,,,,,,Málaga,223,00:43:33.070,Pass,
,,,,,,,,,,,,,,,,1.422156,,,,,,,,,,,,,,840ea3c6-64be-4d68-b406-2948534ab147,1564,,"[46.6, 78.8]",3825623,43,,,,-0.25255427,,Right Foot,,,"[65.2, 74.0]",High Pass,,19.209373,,Incomplete,,Santiago Mina Lorenzo,6594.0,,,,,,,1,Regular Play,Shkodran Mustafi,3638.0,Right Center Back,80,Málaga,223,"['1e023ac3-ba9b-42ee-adce-7505e61ac593', 'b08fffc6-42b1-4489-92d4-29d6e9baec79']",36,,,,,,,,,,,,,,,,,,Valencia,207,00:43:36.043,Pass,
,,,,,,,,,,,,,,,,0.635434,,,,,,,,,,,,,,b08fffc6-42b1-4489-92d4-29d6e9baec79,1567,,"[54.9, 6.1]",3825623,43,,,True,-0.4636476,,,,,"[61.7, 2.7]",Low Pass,,7.602631,,,,Miguel Torres Gómez,6878.0,,,,,,Recovery,1,Regular Play,Ignacio Camacho Barnola,8234.0,Right Defensive Midfield,80,Málaga,223,"['5c02e47d-b8b5-4cb4-92e1-fe765d894473', '840ea3c6-64be-4d68-b406-2948534ab147', '9390f8be-0c8c-4c5d-9362-c4864c3b8c59']",37,,,,,,,,,,,,,,,,,,Málaga,223,00:43:37.466,Pass,True
,,,,,,,,,,,,,,,,0.811284,,,,,,,,,,,,,,c6736857-8e2e-4663-a462-e250aed2cfb1,1570,,"[64.7, 3.2]",3825623,43,,,,0.5345943,,Right Foot,,,"[72.3, 7.7]",Ground Pass,,8.832327,,,,Juan Carlos Pérez López,6559.0,,,,,,,1,Regular Play,Miguel Torres Gómez,6878.0,Left Back,80,Málaga,223,['2ef7fa44-e025-4e19-ba8d-73a4b4deb53e'],39,,,,,,,,,,,,,,,,,,Málaga,223,00:43:39.127,Pass,
,,,,,,,,,,,,,,,,0.907358,,,,,,,,,,,,,,4da1da39-a221-4045-a397-076bb1477609,1573,,"[73.1, 7.1]",3825623,43,,,,-2.5308666,,Left Foot,,,"[69.1, 4.3]",Ground Pass,,4.8826222,,,,Charles Días Barbosa de Oliveira,6707.0,,,,,,,1,Regular Play,Juan Carlos Pérez López,6559.0,Left Wing,80,Málaga,223,['3e5cdd29-e58b-4ced-9735-39436f1f1369'],40,,,,,,,,,,,,,,,,,,Málaga,223,00:43:40.059,Pass,
,,,,,,,,,,,,,,,,0.991442,,,,,,,,,,,,,,dbb7ae07-0da6-45db-9b25-308f77b8ff23,1576,,"[71.3, 6.5]",3825623,43,,,,1.815775,,Right Foot,,,"[70.0, 11.7]",Ground Pass,,5.3600373,,,,Pablo Fornals Malla,6764.0,,,,,,,1,Regular Play,Charles Días Barbosa de Oliveira,6707.0,Center Forward,80,Málaga,223,['1060a211-3ef4-4264-8a17-a34e21a41d59'],41,,,,,,,,,,,,,,,,,,Málaga,223,00:43:41.084,Pass,
