bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0ead618a-52a0-4b10-aa2a-495fa94ab349,1,,,3825793,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 27482, 'name': 'Aderllan Leandro de Jesus Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6596, 'name': 'José Luis Gayà Peña'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5186, 'name': 'Denis Cheryshev'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 24}, {'player': {'id': 20542, 'name': 'Álvaro Negredo Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Valencia,207,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d8675621-81ef-49fd-b582-78d08db2eaaa,2,,,3825793,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6386, 'name': 'Eneko Bóveda Altube'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 12191, 'name': 'Gorka Elustondo Urkola'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 6656, 'name': 'Mikel Rico Moreno'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 6842, 'name': 'Iker Muniain Goñi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 6666, 'name': 'Sabin Merino Zuloaga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Athletic Club,215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,52c5d576-1dbd-4dcc-871d-d5c4d2ed836b,3,,,3825793,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['3eb75da9-ec9d-4fb6-b86c-7c4d3d945a82'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3eb75da9-ec9d-4fb6-b86c-7c4d3d945a82,4,,,3825793,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['52c5d576-1dbd-4dcc-871d-d5c4d2ed836b'],0,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9b23634e-21d2-4689-bca4-d664387cb4e7,2068,,,3825793,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,96,Athletic Club,215,['af1128bd-47b0-4954-a005-f8d00027fb6d'],0,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,af1128bd-47b0-4954-a005-f8d00027fb6d,2069,,,3825793,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,96,Athletic Club,215,['9b23634e-21d2-4689-bca4-d664387cb4e7'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.978049,,,,,,,,,,,,331cab15-9327-405a-9fa4-c645715fa172,5,,"[61.0, 40.1]",3825793,0,,,,,2.25021,,Right Foot,,,"[58.9, 42.7]",,Ground Pass,,3.342155,,,Mikel Rico Moreno,6656.0,,,,,,Kick Off,1,From Kick Off,Iker Muniain Goñi,6842.0,Left Wing,2,Athletic Club,215,['16277443-16e0-4e80-baa4-3af41b63f6bf'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.353,Pass,
,,,,,,,,,,,,,,,,2.000419,,,,,,,,,,,,f08aece7-0d8c-45be-8a5c-e214e29f03ca,8,,"[58.6, 42.7]",3825793,0,,,,,-3.0622616,,Right Foot,,,"[34.7, 40.8]",,Ground Pass,,23.975405,,,Aymeric Laporte,4353.0,,,,,,,1,From Kick Off,Mikel Rico Moreno,6656.0,Center Attacking Midfield,2,Athletic Club,215,['dec0a37d-2e28-47f3-a5de-c9a50de95280'],1,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:01.407,Pass,
,,,,,,,,,,,,,,,,1.625831,,,,,,,,,,,,4d450d11-269f-4262-ab47-fe3e7ffc6528,11,,"[35.0, 40.2]",3825793,0,,,,,1.7701336,,Left Foot,,,"[31.0, 60.0]",,Ground Pass,,20.2,,,Xabier Etxeita Gorritxategi,6788.0,,,,,,,1,From Kick Off,Aymeric Laporte,4353.0,Left Center Back,2,Athletic Club,215,['2d1e4e70-ac84-4683-8dd4-4493e8b96fb9'],4,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:04.337,Pass,
,,,,,,,,,,,,,,,,0.95802,,,,,,,,,,,,e3b94739-5d84-4c27-a8c6-c42a53efb588,14,,"[32.6, 59.3]",3825793,0,,,,,-1.0368422,,Right Foot,,,"[40.7, 45.6]",,Ground Pass,,15.915401,,,Beñat Etxebarria Urkiaga,6396.0,,,,,,,1,From Kick Off,Xabier Etxeita Gorritxategi,6788.0,Right Center Back,2,Athletic Club,215,['dc336eab-3731-4ccc-9388-48eb61bf33a3'],6,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:06.220,Pass,
